language	nc	image	caption
Chinese	黑箱	23086440420.png	The image shows a stack of orange boxes with a smooth, rounded surface. Each box has a label with text and a yellow sticker on the top right corner. The boxes are stacked in a pyramid formation, with the largest box at the bottom and the smallest at the top. The background is plain white, emphasizing the boxes. The image is a digital illustration with a clean and simple style.
Chinese	黑箱	95235295557.png	The image shows a three-dimensional rendering of an orange traffic cone with white stripes. The cone is placed on a flat surface, and its shadow is cast on the ground beneath it. The background is plain white, emphasizing the cone as the sole object in the image. There is no visible text.
Chinese	黑箱	40892042938.png	The image shows a three-dimensional rendering of a cube with a complex, glowing design on its surface. The design consists of numerous small, glowing elements that resemble circuitry or electronic components, with a mix of orange and yellow hues. The cube is set against a dark background, which contrasts with the bright, illuminated elements on the cube. There is no visible text in the image. The style of the image is digital and appears to be a conceptual or artistic representation, possibly related to technology or electronics.
Chinese	黑箱	29824057753.png	The image features two animated characters, both dressed in suits and hats, standing side by side. The character on the left is holding a briefcase and has a beard and mustache. The character on the right is also holding a briefcase and has a beard and mustache, but is wearing a different hat. Both characters are wearing glasses and have a serious expression. There is no visible text in the image. The style of the image is cartoonish and the characters appear to be engaged in a conversation or meeting.
Chinese	黑箱	22375425421.png	The image shows a three-dimensional rendering of a black rectangular box with a smooth surface. The box has a visible seam along its edges, indicating a solid construction. The top and bottom edges of the box are slightly raised, giving it a slightly angled appearance. The box is set against a plain white background, which contrasts with the black color of the box. There is no visible text or additional objects in the image. The style of the image is a simple, clean product representation, commonly used in product catalogs or online stores.
Chinese	谋生之道	49289377128.png	The image depicts an animated character sitting on a park bench. The character is wearing a hard hat, a gray vest, and orange shoes. The bench is situated in a park setting with a tree and a fence in the background. There are also flowers visible in the scene. The character appears to be resting or sleeping, with their eyes closed.
Chinese	谋生之道	63783635329.png	The image depicts a solitary figure walking away from the viewer on a road. The person is dressed in dark clothing and appears to be carrying a backpack. The road is flanked by a grassy area with patches of orange and yellow, suggesting a change of seasons. The sky is overcast, and the overall atmosphere is one of solitude and perhaps a sense of journey or travel. There is no visible text in the image.
Chinese	谋生之道	16821056139.png	The image depicts a plate of spaghetti with tomato sauce. The spaghetti is orange and appears to be cooked, with some pieces overlapping. A silver fork is inserted into the spaghetti, suggesting it is ready to be eaten. The plate is white and has a shadow beneath it, indicating a light source from above. The background is plain and does not contain any text or additional objects. The style of the image is illustrative, with a focus on the food item.
Chinese	谋生之道	74217904944.png	The image depicts a stylized illustration of a rural scene. A man is walking down a road that cuts through a small town. The road is flanked by houses and buildings on both sides, with a variety of architectural styles and colors. The town appears to be in a valley, with a hill or small mountain in the background. The sky is overcast with clouds, and there are several birds flying in the distance. The road is marked with an orange line, and there are power lines and poles visible. The overall style of the image is reminiscent of a digital painting with a limited color palette. There is no visible text in the image.
Chinese	谋生之道	51989636373.png	The image depicts an animated character, a bearded man, engaged in manual labor. He is wearing a hard hat and a high-visibility vest, suggesting a construction or industrial setting. The man is using a hammer to drive a nail into a wooden plank. He is kneeling on the plank, which is placed on a flat surface. The character is also wearing work boots and has a tool belt with pouches. The background is plain and does not provide any additional context. There is no visible text in the image. The style of the image is cartoonish and appears to be designed for illustrative purposes, possibly for a storyboard or a similar medium.
Chinese	道路反光标记	59492661352.png	The image depicts a stylized, nighttime scene of a curved highway with a series of streetlights lining its sides. The lights are on, casting a warm glow on the road and the surrounding area. The highway is elevated, with a railing on the left side, and it appears to be a multi-lane road. In the background, there are silhouettes of buildings, suggesting an urban environment. The image has a digital art style, with a limited color palette that emphasizes the lights and the road. There is no visible text in the image.
Chinese	道路反光标记	51131344804.png	The image shows a close-up of a weathered, rectangular object with a reflective surface, placed on a textured surface that appears to be wet. The object has a rusted, orange-red color with visible spots of rust and paint peeling off. There are two small, round protrusions on the top corners of the object. The reflection in the water-like surface beneath the object mirrors its shape and color, creating a symmetrical effect. The background is a uniform, light gray color, providing a neutral backdrop that contrasts with the vibrant color of the object. There is no visible text in the image.
Chinese	道路反光标记	70189136261.png	The image shows a stylized, cartoon-like depiction of a traffic light. The traffic light has a black pole with a red stripe at the bottom and a white stripe at the top. It features six circular lights, each with a different color: three are orange, two are yellow, and one is red. The lights are arranged in a vertical column, with the red light at the bottom and the yellow lights above it. The background is plain and white, which contrasts with the darker tones of the traffic light. There is no visible text in the image.
Chinese	道路反光标记	67403558212.png	The image depicts a long, straight road at night, illuminated by a series of streetlights. The lights cast a warm glow on the road, creating a tunnel-like effect. The road is lined with reflective markers, which are also illuminated and appear to be glowing orbs. The sky is dark, suggesting it is nighttime. There are no visible texts or distinguishing features that provide additional context. The image is a digital rendering or photograph with a focus on the play of light and shadow.
Chinese	道路反光标记	63270568336.png	The image shows a stylized, cartoon-like depiction of a green ball with a shiny, metallic band around its middle. The ball has a textured surface with speckles and spots, giving it a somewhat mottled appearance. The band is a solid, reflective material with a golden hue. The ball is set against a plain, light background that provides a stark contrast to the green color of the ball. There is no visible text in the image. The style of the image is reminiscent of a digital illustration, with clean lines and a limited color palette.
Chinese	九牛一毛	59731214310.png	The image shows a rock with a smooth, rounded shape resting on a sandy beach. The rock has a black surface with a translucent, crystalline appearance, and it is covered with a layer of orange-brown material that resembles a type of algae or seaweed. The background features a blurred ocean with waves breaking on the shore, suggesting the rock is near the water's edge. The overall scene conveys a natural, coastal setting.
Chinese	九牛一毛	98490627148.png	The image features an animated depiction of a small, brown and white dog sitting inside a large, black bag with a plaid pattern. The dog has a happy expression, with its tongue slightly out and eyes looking upwards. The bag is tied with a red string and has a small, orange tag hanging from it. Inside the bag, there are various snacks, including what appear to be fried chicken pieces and possibly some other food items. The background is plain white, emphasizing the subject. There is no visible text in the image.
Chinese	九牛一毛	30206506042.png	The image is a digital illustration of a man in a suit holding a small pile of coins in his right hand. The man is depicted with a neutral expression, wearing a dark suit with a tie, and a green shirt. The coins are golden with a detailed texture, and there are three of them visible. The background is plain white, emphasizing the subject. There is no visible text in the image.
Chinese	九牛一毛	26510820913.png	The image features a stylized, cartoonish depiction of a bull's head with a prominent set of curved horns. The horns are black with orange tips, and the bull's fur is a mix of orange and black, giving it a somewhat shaggy appearance. The background is plain white, which contrasts with the vivid colors of the bull's head. There is no visible text in the image.
Chinese	九牛一毛	96038878319.png	The image shows a line of longhorn cattle walking in a straight line. The cattle are brown and white with prominent curved horns. The background is plain and white, emphasizing the cattle. There is no visible text in the image. The style of the image is a realistic photograph with a focus on the animals.
Chinese	千钧一发	30652490999.png	The image depicts a stylized illustration of a person walking on a tightrope between two cliffs. The person is wearing an orange sweater and dark pants, and is holding a rope with both hands. The cliffs are rocky and have orange flames at their base, suggesting a fiery or dangerous environment. There is no visible text in the image. The style of the illustration is cartoonish and appears to be designed for a digital medium.
Chinese	千钧一发	79027994353.png	The image depicts an animated scene with a stylized, orange car that appears to be in motion, as indicated by the dynamic lines and the car's tilted to the side. The car is on a road with a yellow crosswalk. To the right of the car, there is a young male character with short hair, wearing a dark top and dark pants, who is running towards the car. The character's arms are outstretched, and he seems to be in a state of urgency or surprise. Behind the car, there is a tree with a full canopy. The background is plain white, emphasizing the action in the foreground. There is no visible text in the image. The style of the image is cartoonish and appears to be designed for a humorous or illustrative purpose.
Chinese	千钧一发	12531541750.png	The image depicts an animated character, a young woman, sitting on the ground and knitting. She is wearing a large, orange knitted hat with a pompom on top, a black coat, and a scarf with a pattern of small orange dots. The woman is also wearing glasses and has a surprised or focused expression on her face. She is holding a pair of knitting needles and a ball of yarn, which is orange and has a textured appearance. The background is plain white, emphasizing the character and her activity. There is no visible text in the image.
Chinese	千钧一发	38392588816.png	The image shows a set of four weightlifting plates hanging from a barbell by a rope. The plates are black with orange centers and are connected to the barbell by a metal rod. The barbell has a silver finish and is suspended from a hook by a rope. The background is a plain, light beige color.
Chinese	千钧一发	97499700396.png	The image shows a stylized, abstract representation of a braid. The braid is composed of intertwined strands of hair in shades of orange and brown. The strands are depicted with a smooth, flowing texture, and the braid itself has a dynamic, wavy form. The background is a plain, light color, which contrasts with the darker tones of the hair. There is no visible text in the image. The style of the image is graphic and modern, with a focus on the organic, curved forms of the hair.
Chinese	唱反调	92220317928.png	The image depicts two animated characters, a man and a woman, walking side by side. The man is on the right and the woman is on the left. They are both dressed in casual attire, with the man wearing a backpack and the woman carrying a handbag. They are walking towards an orange car that is parked on the side of the road. The characters are smiling and appear to be in a good mood. The background is plain and does not provide any additional context. There is no visible text in the image. The style of the image is cartoonish and it seems to be a stylized representation rather than a realistic one.
Chinese	唱反调	46506753952.png	The image features a statue of an angel playing a harp. The angel is depicted with wings spread wide, a halo on the head, and is seated on a pedestal. The harp has a large, curved body with a soundboard and strings, and the angel's hands are on the strings, suggesting the act of playing. The statue is detailed, with the angel's robes and the harp's craftsmanship visible. The background is plain and does not distract from the statue. There is no visible text in the image. The style of the image is a realistic, three-dimensional rendering of a classical sculpture.
Chinese	唱反调	50030842230.png	The image is a digital illustration featuring two animated characters. On the left is a female character with brown hair styled in a bun, wearing a yellow blouse with a floral pattern and a black skirt. She has her mouth open as if she is speaking or shouting, and her facial expression conveys surprise or disbelief.  On the right is a male character with brown hair and a beard, wearing glasses, a brown vest, and brown pants. He has his hands outstretched and his mouth open, suggesting he is in the middle of speaking or gesturing. His facial expression is one of shock or disbelief, mirroring the female character's expression.  Between the two characters is a speech bubble with an orange background and two white dots, indicating a conversation or dialogue between them. The style of the illustration is cartoonish and simplistic, with a focus on clear, bold outlines and a limited color palette.
Chinese	唱反调	65271340779.png	The image displays a collection of musical notes and symbols, predominantly in shades of orange and black, against a white background. The notes and symbols are scattered throughout the image, with some appearing larger and closer to the viewer, while others are smaller and further away. The notes include various musical symbols such as treble clefs, whole notes, half notes, quarter notes, and eighth notes, as well as sharps, flats, and natural signs. The image has a playful and artistic style, with the notes and symbols rendered in a stylized manner that gives them a three-dimensional appearance. There is no visible text in the image.
Chinese	唱反调	44855922733.png	The image depicts an animated character, a young woman with dark hair, wearing an orange blouse and a black skirt. She is holding two open sheet music books, with music notes flying out from them. Her mouth is open as if she is singing or speaking. The background is white with a few scattered music notes. There is no visible text in the image.
Chinese	赃款	24018127446.png	The image shows a large, burlap-like sack overflowing with US dollar bills. The sack is tied at the top with a rope, and the money is spilling out from the top, creating a cascade of notes. The notes are predominantly white with green and orange accents. The background is a solid dark color, which contrasts with the sack and money, making them the focal point of the image. There is no visible text in the image. The style of the image is a realistic digital illustration.
Chinese	赃款	51097554662.png	The image shows an open suitcase filled with a large amount of money. The money appears to be in various denominations, with some notes stacked on top of each other. The suitcase has a black body with orange corners and handles. The background is plain white, emphasizing the suitcase and its contents. There is no visible text in the image. The style of the image is illustrative, with a cartoon-like quality to the depiction of the money and the suitcase.
