language	compound	folder	nc sim	avg img sim	img sim matrix	lit ct sim	idm ct sim	cp sim
Chinese	情感专栏作家	情感专栏作家	{'23295382866.png': 0.2679708, '53846971385.png': 0.2530795, '46375643255.png': 0.22071011, '74140941633.png': 0.20947497, '90240587988.png': 0.20818861}	{'23295382866.png': 0.6471728, '74140941633.png': 0.59853953, '46375643255.png': 0.59002596, '90240587988.png': 0.5745877, '53846971385.png': 0.52294004}	{'74140941633.png': {'23295382866.png': 0.6804144382476807, '90240587988.png': 0.5789308547973633, '53846971385.png': 0.4350445568561554, '46375643255.png': 0.6997683644294739}, '23295382866.png': {'74140941633.png': 0.6804144382476807, '90240587988.png': 0.6590952277183533, '53846971385.png': 0.6210516691207886, '46375643255.png': 0.6281298398971558}, '90240587988.png': {'74140941633.png': 0.5789308547973633, '23295382866.png': 0.6590952277183533, '53846971385.png': 0.5318914651870728, '46375643255.png': 0.528433084487915}, '53846971385.png': {'74140941633.png': 0.4350445568561554, '23295382866.png': 0.6210516691207886, '90240587988.png': 0.5318914651870728, '46375643255.png': 0.503772497177124}, '46375643255.png': {'74140941633.png': 0.6997683644294739, '23295382866.png': 0.6281298398971558, '90240587988.png': 0.528433084487915, '53846971385.png': 0.503772497177124}}	[{'90240587988.png': 0.15279999375343323, '23295382866.png': 0.14650000631809235, '74140941633.png': 0.1386999934911728, '53846971385.png': 0.12849999964237213, '46375643255.png': 0.10740000009536743}, {'23295382866.png': 0.21170000731945038, '90240587988.png': 0.17499999701976776, '74140941633.png': 0.16449999809265137, '53846971385.png': 0.11100000143051147, '46375643255.png': 0.1096000000834465}]	[]	{'23295382866.png': [0.18850309, 0.20614381, 0.20109445, 0.19279474, 0.23200446, 0.17859766], '74140941633.png': [0.18541555, 0.20635904, 0.18449812, 0.18979713, 0.20132163, 0.19241211], '53846971385.png': [0.1778045, 0.19932622, 0.19899091, 0.18454567, 0.21925378, 0.16886851], '46375643255.png': [0.16708368, 0.18735401, 0.19515443, 0.17741105, 0.18644652, 0.18112612], '90240587988.png': [0.16497363, 0.18526204, 0.19148263, 0.19007736, 0.19487181, 0.17242956]}
Chinese	学院奖	学院奖	{'15724359858.png': 0.27647245, '49003627968.png': 0.24876374, '19482454005.png': 0.220124, '13212394411.png': 0.21646017, '26712162360.png': 0.20224914}	{'49003627968.png': 0.6033909, '13212394411.png': 0.5900146, '26712162360.png': 0.5447379, '15724359858.png': 0.5270051, '19482454005.png': 0.46245995}	{'49003627968.png': {'13212394411.png': 0.6392923593521118, '15724359858.png': 0.5892577171325684, '26712162360.png': 0.6222827434539795, '19482454005.png': 0.5627307295799255}, '13212394411.png': {'49003627968.png': 0.6392923593521118, '15724359858.png': 0.5457311272621155, '26712162360.png': 0.7706254720687866, '19482454005.png': 0.40440937876701355}, '15724359858.png': {'49003627968.png': 0.5892577171325684, '13212394411.png': 0.5457311272621155, '26712162360.png': 0.43818745017051697, '19482454005.png': 0.5348439812660217}, '26712162360.png': {'49003627968.png': 0.6222827434539795, '13212394411.png': 0.7706254720687866, '15724359858.png': 0.43818745017051697, '19482454005.png': 0.34785571694374084}, '19482454005.png': {'49003627968.png': 0.5627307295799255, '13212394411.png': 0.40440937876701355, '15724359858.png': 0.5348439812660217, '26712162360.png': 0.34785571694374084}}	[{'13212394411.png': 0.16300000250339508, '49003627968.png': 0.1340000033378601, '26712162360.png': 0.13339999318122864, '15724359858.png': 0.1103999987244606, '19482454005.png': 0.09629999846220016}]	[{'15724359858.png': 0.15780000388622284, '49003627968.png': 0.12729999423027039, '19482454005.png': 0.09059999883174896, '13212394411.png': 0.08829999715089798, '26712162360.png': 0.08550000190734863}]	{'26712162360.png': [0.22545426, 0.1463636, 0.15632966], '13212394411.png': [0.20059806, 0.14083979, 0.19386072], '49003627968.png': [0.19452861, 0.15401362, 0.26930797], '19482454005.png': [0.18955943, 0.14452942, 0.21797243], '15724359858.png': [0.17155525, 0.15807244, 0.26598662]}
Chinese	互相推诿	互相推诿	{'63395425951.png': 0.27709538, '64315997906.png': 0.2476296, '30922721891.png': 0.24588211, '29618699566.png': 0.20279011, '14013898186.png': 0.1918177}	{'30922721891.png': 0.6591382, '64315997906.png': 0.6588524, '63395425951.png': 0.63691306, '14013898186.png': 0.62598515, '29618699566.png': 0.5903021}	{'30922721891.png': {'29618699566.png': 0.5802938938140869, '63395425951.png': 0.7003243565559387, '14013898186.png': 0.6324385404586792, '64315997906.png': 0.7234960198402405}, '29618699566.png': {'30922721891.png': 0.5802938938140869, '63395425951.png': 0.5888941884040833, '14013898186.png': 0.5644266605377197, '64315997906.png': 0.6275938153266907}, '63395425951.png': {'30922721891.png': 0.7003243565559387, '29618699566.png': 0.5888941884040833, '14013898186.png': 0.6405946016311646, '64315997906.png': 0.6178390383720398}, '14013898186.png': {'30922721891.png': 0.6324385404586792, '29618699566.png': 0.5644266605377197, '63395425951.png': 0.6405946016311646, '64315997906.png': 0.6664807796478271}, '64315997906.png': {'30922721891.png': 0.7234960198402405, '29618699566.png': 0.6275938153266907, '63395425951.png': 0.6178390383720398, '14013898186.png': 0.6664807796478271}}	[]	[{'30922721891.png': 0.156700000166893, '64315997906.png': 0.15230000019073486, '63395425951.png': 0.13989999890327454, '29618699566.png': 0.13449999690055847, '14013898186.png': 0.09080000221729279}, {'30922721891.png': 0.2460000067949295, '64315997906.png': 0.24140000343322754, '63395425951.png': 0.2282000035047531, '29618699566.png': 0.2167000025510788, '14013898186.png': 0.17579999566078186}, {'63395425951.png': 0.20880000293254852, '64315997906.png': 0.1932000070810318, '30922721891.png': 0.18970000743865967, '29618699566.png': 0.17329999804496765, '14013898186.png': 0.15320000052452087}, {'30922721891.png': 0.25290000438690186, '63395425951.png': 0.251800000667572, '64315997906.png': 0.23880000412464142, '29618699566.png': 0.22599999606609344, '14013898186.png': 0.19589999318122864}]	{'63395425951.png': [0.24419066, 0.20394084, 0.21141294, 0.21267413], '30922721891.png': [0.23010033, 0.2048133, 0.192941, 0.20217088], '64315997906.png': [0.22290799, 0.18338093, 0.2423903, 0.1981102], '29618699566.png': [0.21253392, 0.16404638, 0.18396619, 0.19670269], '14013898186.png': [0.19597264, 0.15253496, 0.19768429, 0.18895589]}
Chinese	厚颜无耻	厚颜无耻	{'82495885984.png': 0.21708056, '31474743967.png': 0.21132113, '11408847180.png': 0.20487767, '83539424221.png': 0.18725975, '45573532692.png': 0.17366222}	{'82495885984.png': 0.58394843, '83539424221.png': 0.5619553, '11408847180.png': 0.5173337, '31474743967.png': 0.48796216, '45573532692.png': 0.48448342}	{'31474743967.png': {'83539424221.png': 0.5464438796043396, '82495885984.png': 0.5242176055908203, '11408847180.png': 0.44778549671173096, '45573532692.png': 0.43340161442756653}, '83539424221.png': {'31474743967.png': 0.5464438796043396, '82495885984.png': 0.6399587392807007, '11408847180.png': 0.581619381904602, '45573532692.png': 0.47979918122291565}, '82495885984.png': {'31474743967.png': 0.5242176055908203, '83539424221.png': 0.6399587392807007, '11408847180.png': 0.593407154083252, '45573532692.png': 0.578210175037384}, '11408847180.png': {'31474743967.png': 0.44778549671173096, '83539424221.png': 0.581619381904602, '82495885984.png': 0.593407154083252, '45573532692.png': 0.4465227723121643}, '45573532692.png': {'31474743967.png': 0.43340161442756653, '83539424221.png': 0.47979918122291565, '82495885984.png': 0.578210175037384, '11408847180.png': 0.4465227723121643}}	[]	[{'31474743967.png': 0.2078000009059906, '82495885984.png': 0.19820000231266022, '45573532692.png': 0.19089999794960022, '11408847180.png': 0.1860000044107437, '83539424221.png': 0.1673000007867813}, {'11408847180.png': 0.24150000512599945, '82495885984.png': 0.21850000321865082, '31474743967.png': 0.20469999313354492, '45573532692.png': 0.1931000053882599, '83539424221.png': 0.17550000548362732}]	{'31474743967.png': [0.21954188, 0.20932382, 0.19435555, 0.21734151], '82495885984.png': [0.2112735, 0.16092181, 0.1801849, 0.1804833], '83539424221.png': [0.17617813, 0.15259647, 0.19422215, 0.19132066], '11408847180.png': [0.1759944, 0.13146377, 0.17957178, 0.20422748], '45573532692.png': [0.16351685, 0.14253747, 0.18853429, 0.17116606]}
Chinese	伴郎	伴郎	{'32726110554.png': 0.2763044, '19705451896.png': 0.25884318, '46534022430.png': 0.2534586, '99985955991.png': 0.23341231, '50138606103.png': 0.20890321}	{'32726110554.png': 0.6877451, '46534022430.png': 0.6467714, '99985955991.png': 0.6406745, '19705451896.png': 0.63248855, '50138606103.png': 0.53615385}	{'99985955991.png': {'32726110554.png': 0.7152162194252014, '19705451896.png': 0.6142123341560364, '50138606103.png': 0.47494760155677795, '46534022430.png': 0.7583218812942505}, '32726110554.png': {'99985955991.png': 0.7152162194252014, '19705451896.png': 0.7246814966201782, '50138606103.png': 0.6030625104904175, '46534022430.png': 0.7080202698707581}, '19705451896.png': {'99985955991.png': 0.6142123341560364, '32726110554.png': 0.7246814966201782, '50138606103.png': 0.5684611201286316, '46534022430.png': 0.6225991249084473}, '50138606103.png': {'99985955991.png': 0.47494760155677795, '32726110554.png': 0.6030625104904175, '19705451896.png': 0.5684611201286316, '46534022430.png': 0.4981442093849182}, '46534022430.png': {'99985955991.png': 0.7583218812942505, '32726110554.png': 0.7080202698707581, '19705451896.png': 0.6225991249084473, '50138606103.png': 0.4981442093849182}}	[{'19705451896.png': 0.211899995803833, '32726110554.png': 0.1898999959230423, '46534022430.png': 0.18700000643730164, '50138606103.png': 0.1860000044107437, '99985955991.png': 0.1306000053882599}, {'46534022430.png': 0.1873999983072281, '19705451896.png': 0.1746000051498413, '32726110554.png': 0.15029999613761902, '99985955991.png': 0.125, '50138606103.png': 0.11299999803304672}]	[]	{'46534022430.png': [0.20860969, 0.16932689], '19705451896.png': [0.17403549, 0.13906837], '32726110554.png': [0.17312339, 0.17245345], '50138606103.png': [0.17183058, 0.14904317], '99985955991.png': [0.16995686, 0.17852427]}
Chinese	死胡同	死胡同	{'92675110697.png': 0.29107773, '56904263597.png': 0.24408755, '21888824781.png': 0.23281452, '47730804870.png': 0.21669929, '63992868407.png': 0.20759764}	{'92675110697.png': 0.62149984, '21888824781.png': 0.60548615, '56904263597.png': 0.5892874, '47730804870.png': 0.5750851, '63992868407.png': 0.5661267}	{'21888824781.png': {'47730804870.png': 0.5996665954589844, '63992868407.png': 0.5653150081634521, '56904263597.png': 0.5959694981575012, '92675110697.png': 0.6609935760498047}, '47730804870.png': {'21888824781.png': 0.5996665954589844, '63992868407.png': 0.517362654209137, '56904263597.png': 0.6071316003799438, '92675110697.png': 0.5761796236038208}, '63992868407.png': {'21888824781.png': 0.5653150081634521, '47730804870.png': 0.517362654209137, '56904263597.png': 0.5435256361961365, '92675110697.png': 0.6383033990859985}, '56904263597.png': {'21888824781.png': 0.5959694981575012, '47730804870.png': 0.6071316003799438, '63992868407.png': 0.5435256361961365, '92675110697.png': 0.6105227470397949}, '92675110697.png': {'21888824781.png': 0.6609935760498047, '47730804870.png': 0.5761796236038208, '63992868407.png': 0.6383033990859985, '56904263597.png': 0.6105227470397949}}	[{'21888824781.png': 0.23340000212192535, '92675110697.png': 0.22190000116825104, '47730804870.png': 0.20839999616146088, '56904263597.png': 0.19689999520778656, '63992868407.png': 0.1420000046491623}, {'92675110697.png': 0.26510000228881836, '21888824781.png': 0.25130000710487366, '63992868407.png': 0.2434999942779541, '56904263597.png': 0.23319999873638153, '47730804870.png': 0.2076999992132187}]	[{'47730804870.png': 0.23980000615119934, '56904263597.png': 0.22300000488758087, '21888824781.png': 0.21879999339580536, '92675110697.png': 0.19099999964237213, '63992868407.png': 0.17080000042915344}, {'21888824781.png': 0.25119999051094055, '56904263597.png': 0.249099999666214, '92675110697.png': 0.2460000067949295, '47730804870.png': 0.21060000360012054, '63992868407.png': 0.19419999420642853}]	{'56904263597.png': [0.2041417, 0.19055673, 0.21172161], '47730804870.png': [0.20282733, 0.19903108, 0.20584555], '92675110697.png': [0.18483913, 0.1921601, 0.20892954], '21888824781.png': [0.18431547, 0.20151408, 0.2265035], '63992868407.png': [0.16482575, 0.17660078, 0.2045849]}
Chinese	千锤百炼	千锤百炼	{'20864949212.png': 0.26046026, '68457856786.png': 0.22929482, '40753958843.png': 0.22837773, '67371624634.png': 0.18655565, '14395733356.png': 0.16901016}	{'68457856786.png': 0.5883027, '20864949212.png': 0.5712801, '67371624634.png': 0.5525863, '40753958843.png': 0.51269066, '14395733356.png': 0.4570732}	{'68457856786.png': {'14395733356.png': 0.46774762868881226, '20864949212.png': 0.6820172071456909, '40753958843.png': 0.5636823773384094, '67371624634.png': 0.639763593673706}, '14395733356.png': {'68457856786.png': 0.46774762868881226, '20864949212.png': 0.41131433844566345, '40753958843.png': 0.4485281705856323, '67371624634.png': 0.5007026791572571}, '20864949212.png': {'68457856786.png': 0.6820172071456909, '14395733356.png': 0.41131433844566345, '40753958843.png': 0.5802310705184937, '67371624634.png': 0.6115579605102539}, '40753958843.png': {'68457856786.png': 0.5636823773384094, '14395733356.png': 0.4485281705856323, '20864949212.png': 0.5802310705184937, '67371624634.png': 0.4583210051059723}, '67371624634.png': {'68457856786.png': 0.639763593673706, '14395733356.png': 0.5007026791572571, '20864949212.png': 0.6115579605102539, '40753958843.png': 0.4583210051059723}}	[]	[{'67371624634.png': 0.13740000128746033, '14395733356.png': 0.11940000206232071, '68457856786.png': 0.0989999994635582, '40753958843.png': 0.08550000190734863, '20864949212.png': 0.0851999968290329}, {'67371624634.png': 0.1670999974012375, '40753958843.png': 0.15320000052452087, '14395733356.png': 0.15000000596046448, '68457856786.png': 0.14319999516010284, '20864949212.png': 0.1339000016450882}]	{'68457856786.png': [0.18389452, 0.16219506, 0.18178661, 0.23287424], '40753958843.png': [0.18321708, 0.1625064, 0.1824434, 0.19074911], '20864949212.png': [0.18053016, 0.2201832, 0.18757007, 0.23582791], '67371624634.png': [0.17683163, 0.13388723, 0.17632686, 0.17345996], '14395733356.png': [0.15445769, 0.12865381, 0.17961732, 0.16701473]}
Chinese	小抄	小抄	{'28353835520.png': 0.25578916, '95148492311.png': 0.23064093, '94918325169.png': 0.22979873, '46693656403.png': 0.19237411, '86924643836.png': 0.16045713}	{'94918325169.png': 0.6187124, '28353835520.png': 0.61759377, '46693656403.png': 0.603239, '95148492311.png': 0.57927245, '86924643836.png': 0.481587}	{'28353835520.png': {'94918325169.png': 0.6418218612670898, '46693656403.png': 0.6433630585670471, '86924643836.png': 0.5814290046691895, '95148492311.png': 0.6037612557411194}, '94918325169.png': {'28353835520.png': 0.6418218612670898, '46693656403.png': 0.6991357207298279, '86924643836.png': 0.4470203220844269, '95148492311.png': 0.6868718862533569}, '46693656403.png': {'28353835520.png': 0.6433630585670471, '94918325169.png': 0.6991357207298279, '86924643836.png': 0.4709496796131134, '95148492311.png': 0.5995075106620789}, '86924643836.png': {'28353835520.png': 0.5814290046691895, '94918325169.png': 0.4470203220844269, '46693656403.png': 0.4709496796131134, '95148492311.png': 0.42694902420043945}, '95148492311.png': {'28353835520.png': 0.6037612557411194, '94918325169.png': 0.6868718862533569, '46693656403.png': 0.5995075106620789, '86924643836.png': 0.42694902420043945}}	[{'28353835520.png': 0.2888000011444092, '94918325169.png': 0.2214999943971634, '95148492311.png': 0.1981000006198883, '46693656403.png': 0.17069999873638153, '86924643836.png': 0.16249999403953552}]	[{'28353835520.png': 0.2459000051021576, '94918325169.png': 0.20900000631809235, '95148492311.png': 0.16660000383853912, '86924643836.png': 0.14319999516010284, '46693656403.png': 0.14259999990463257}, {'94918325169.png': 0.29159998893737793, '28353835520.png': 0.25119999051094055, '46693656403.png': 0.19859999418258667, '95148492311.png': 0.19859999418258667, '86924643836.png': 0.19519999623298645}, {'28353835520.png': 0.29249998927116394, '94918325169.png': 0.20600000023841858, '95148492311.png': 0.20329999923706055, '86924643836.png': 0.17270000278949738, '46693656403.png': 0.16750000417232513}]	{'86924643836.png': [0.20786512, 0.17574981], '28353835520.png': [0.20694627, 0.21625087], '94918325169.png': [0.20005436, 0.21737184], '95148492311.png': [0.19738959, 0.20499983], '46693656403.png': [0.1885198, 0.17177789]}
Chinese	熊市	熊市	{'58767233313.png': 0.26802742, '81633790636.png': 0.24563698, '85129050537.png': 0.22852784, '82339690852.png': 0.22165176, '81992921885.png': 0.20234302}	{'58767233313.png': 0.5415288, '81992921885.png': 0.52145386, '85129050537.png': 0.5034842, '82339690852.png': 0.48847428, '81633790636.png': 0.4408999}	{'81992921885.png': {'58767233313.png': 0.6296602487564087, '85129050537.png': 0.4803309440612793, '81633790636.png': 0.5401368141174316, '82339690852.png': 0.43568745255470276}, '58767233313.png': {'81992921885.png': 0.6296602487564087, '85129050537.png': 0.524616539478302, '81633790636.png': 0.5256054997444153, '82339690852.png': 0.48623305559158325}, '85129050537.png': {'81992921885.png': 0.4803309440612793, '58767233313.png': 0.524616539478302, '81633790636.png': 0.3374350965023041, '82339690852.png': 0.6715542674064636}, '81633790636.png': {'81992921885.png': 0.5401368141174316, '58767233313.png': 0.5256054997444153, '85129050537.png': 0.3374350965023041, '82339690852.png': 0.3604222536087036}, '82339690852.png': {'81992921885.png': 0.43568745255470276, '58767233313.png': 0.48623305559158325, '85129050537.png': 0.6715542674064636, '81633790636.png': 0.3604222536087036}}	[{'81633790636.png': 0.2669000029563904, '58767233313.png': 0.243599995970726, '81992921885.png': 0.13860000669956207, '82339690852.png': 0.13030000030994415, '85129050537.png': 0.09350000321865082}, {'58767233313.png': 0.29750001430511475, '81633790636.png': 0.23399999737739563, '82339690852.png': 0.16099999845027924, '85129050537.png': 0.14790000021457672, '81992921885.png': 0.14309999346733093}]	[{'85129050537.png': 0.25189998745918274, '81992921885.png': 0.22709999978542328, '81633790636.png': 0.22509999573230743, '58767233313.png': 0.22300000488758087, '82339690852.png': 0.21739999949932098}, {'82339690852.png': 0.23600000143051147, '85129050537.png': 0.2037000060081482, '58767233313.png': 0.14880000054836273, '81633790636.png': 0.14499999582767487, '81992921885.png': 0.12039999663829803}]	{'58767233313.png': [0.27655602, 0.2370705], '81633790636.png': [0.25870365, 0.13862577], '81992921885.png': [0.21430096, 0.16746801], '85129050537.png': [0.18540236, 0.19448546], '82339690852.png': [0.16974431, 0.19176327]}
Chinese	售票处	售票处	{'15526113624.png': 0.307621, '52341276245.png': 0.2912044, '34803822721.png': 0.26112008, '10786598161.png': 0.2524029, '72074217009.png': 0.24078621}	{'34803822721.png': 0.7636919, '72074217009.png': 0.75159466, '52341276245.png': 0.75014424, '10786598161.png': 0.7313976, '15526113624.png': 0.69437563}	{'10786598161.png': {'72074217009.png': 0.761246919631958, '15526113624.png': 0.6205403804779053, '34803822721.png': 0.7681533694267273, '52341276245.png': 0.7756497263908386}, '72074217009.png': {'10786598161.png': 0.761246919631958, '15526113624.png': 0.716958224773407, '34803822721.png': 0.7730035781860352, '52341276245.png': 0.7551698088645935}, '15526113624.png': {'10786598161.png': 0.6205403804779053, '72074217009.png': 0.716958224773407, '34803822721.png': 0.7419284582138062, '52341276245.png': 0.6980752944946289}, '34803822721.png': {'10786598161.png': 0.7681533694267273, '72074217009.png': 0.7730035781860352, '15526113624.png': 0.7419284582138062, '52341276245.png': 0.7716822028160095}, '52341276245.png': {'10786598161.png': 0.7756497263908386, '72074217009.png': 0.7551698088645935, '15526113624.png': 0.6980752944946289, '34803822721.png': 0.7716822028160095}}	[{'52341276245.png': 0.27459999918937683, '15526113624.png': 0.24959999322891235, '34803822721.png': 0.24150000512599945, '10786598161.png': 0.23090000450611115, '72074217009.png': 0.2117999941110611}, {'52341276245.png': 0.2345999926328659, '10786598161.png': 0.1964000016450882, '34803822721.png': 0.18860000371932983, '15526113624.png': 0.18140000104904175, '72074217009.png': 0.1679999977350235}]	[]	{'10786598161.png': [0.20513955, 0.2245839, 0.19375764], '15526113624.png': [0.20218827, 0.26362634, 0.19354312], '34803822721.png': [0.19624788, 0.23793834, 0.18500283], '52341276245.png': [0.19175138, 0.2651644, 0.20003432], '72074217009.png': [0.16587955, 0.22177583, 0.17654638]}
