language	compound	folder	nc sim	avg img sim	img sim matrix	lit ct sim	idm ct sim	cp sim
Chinese	情感专栏作家	情感专栏作家	{'23295382866.png': 0.2265455, '74140941633.png': 0.21107507, '46375643255.png': 0.20094587, '53846971385.png': 0.20059146, '90240587988.png': 0.19906199}	{'23295382866.png': 0.6471728, '74140941633.png': 0.59853953, '46375643255.png': 0.59002596, '90240587988.png': 0.5745877, '53846971385.png': 0.52294004}	{'74140941633.png': {'23295382866.png': 0.6804144382476807, '90240587988.png': 0.5789308547973633, '53846971385.png': 0.4350445568561554, '46375643255.png': 0.6997683644294739}, '23295382866.png': {'74140941633.png': 0.6804144382476807, '90240587988.png': 0.6590952277183533, '53846971385.png': 0.6210516691207886, '46375643255.png': 0.6281298398971558}, '90240587988.png': {'74140941633.png': 0.5789308547973633, '23295382866.png': 0.6590952277183533, '53846971385.png': 0.5318914651870728, '46375643255.png': 0.528433084487915}, '53846971385.png': {'74140941633.png': 0.4350445568561554, '23295382866.png': 0.6210516691207886, '90240587988.png': 0.5318914651870728, '46375643255.png': 0.503772497177124}, '46375643255.png': {'74140941633.png': 0.6997683644294739, '23295382866.png': 0.6281298398971558, '90240587988.png': 0.528433084487915, '53846971385.png': 0.503772497177124}}	[{'90240587988.png': 0.15569999814033508, '74140941633.png': 0.15139999985694885, '23295382866.png': 0.1467999964952469, '53846971385.png': 0.13950000703334808, '46375643255.png': 0.12139999866485596}, {'23295382866.png': 0.21379999816417694, '74140941633.png': 0.17790000140666962, '90240587988.png': 0.1762000024318695, '53846971385.png': 0.1234000027179718, '46375643255.png': 0.10499999672174454}]	[]	{'74140941633.png': [0.20710585, 0.17391735, 0.1670673, 0.1653677], '46375643255.png': [0.20066167, 0.18075766, 0.19706391, 0.17447576], '23295382866.png': [0.19397113, 0.18175781, 0.2594002, 0.2673328], '53846971385.png': [0.16201258, 0.19573435, 0.24678111, 0.22798559], '90240587988.png': [0.15243348, 0.18670037, 0.22658643, 0.1921552]}
Chinese	学院奖	学院奖	{'15724359858.png': 0.26108873, '49003627968.png': 0.2499257, '13212394411.png': 0.2160246, '26712162360.png': 0.2145217, '19482454005.png': 0.21360983}	{'49003627968.png': 0.6033909, '13212394411.png': 0.5900146, '26712162360.png': 0.5447379, '15724359858.png': 0.5270051, '19482454005.png': 0.46245995}	{'49003627968.png': {'13212394411.png': 0.6392923593521118, '15724359858.png': 0.5892577171325684, '26712162360.png': 0.6222827434539795, '19482454005.png': 0.5627307295799255}, '13212394411.png': {'49003627968.png': 0.6392923593521118, '15724359858.png': 0.5457311272621155, '26712162360.png': 0.7706254720687866, '19482454005.png': 0.40440937876701355}, '15724359858.png': {'49003627968.png': 0.5892577171325684, '13212394411.png': 0.5457311272621155, '26712162360.png': 0.43818745017051697, '19482454005.png': 0.5348439812660217}, '26712162360.png': {'49003627968.png': 0.6222827434539795, '13212394411.png': 0.7706254720687866, '15724359858.png': 0.43818745017051697, '19482454005.png': 0.34785571694374084}, '19482454005.png': {'49003627968.png': 0.5627307295799255, '13212394411.png': 0.40440937876701355, '15724359858.png': 0.5348439812660217, '26712162360.png': 0.34785571694374084}}	[{'13212394411.png': 0.16740000247955322, '49003627968.png': 0.13510000705718994, '26712162360.png': 0.1298999935388565, '15724359858.png': 0.10899999737739563, '19482454005.png': 0.09669999778270721}]	[{'15724359858.png': 0.17499999701976776, '49003627968.png': 0.12870000302791595, '13212394411.png': 0.10639999806880951, '19482454005.png': 0.10429999977350235, '26712162360.png': 0.09809999912977219}]	{'26712162360.png': [0.22397023], '49003627968.png': [0.20042652], '13212394411.png': [0.19873485], '19482454005.png': [0.18209456], '15724359858.png': [0.17165607]}
Chinese	互相推诿	互相推诿	{'63395425951.png': 0.26157105, '64315997906.png': 0.25320733, '30922721891.png': 0.23801592, '29618699566.png': 0.20592663, '14013898186.png': 0.17129984}	{'30922721891.png': 0.6591382, '64315997906.png': 0.6588524, '63395425951.png': 0.63691306, '14013898186.png': 0.62598515, '29618699566.png': 0.5903021}	{'30922721891.png': {'29618699566.png': 0.5802938938140869, '63395425951.png': 0.7003243565559387, '14013898186.png': 0.6324385404586792, '64315997906.png': 0.7234960198402405}, '29618699566.png': {'30922721891.png': 0.5802938938140869, '63395425951.png': 0.5888941884040833, '14013898186.png': 0.5644266605377197, '64315997906.png': 0.6275938153266907}, '63395425951.png': {'30922721891.png': 0.7003243565559387, '29618699566.png': 0.5888941884040833, '14013898186.png': 0.6405946016311646, '64315997906.png': 0.6178390383720398}, '14013898186.png': {'30922721891.png': 0.6324385404586792, '29618699566.png': 0.5644266605377197, '63395425951.png': 0.6405946016311646, '64315997906.png': 0.6664807796478271}, '64315997906.png': {'30922721891.png': 0.7234960198402405, '29618699566.png': 0.6275938153266907, '63395425951.png': 0.6178390383720398, '14013898186.png': 0.6664807796478271}}	[]	[{'30922721891.png': 0.17299999296665192, '64315997906.png': 0.1696999967098236, '29618699566.png': 0.15800000727176666, '63395425951.png': 0.15289999544620514, '14013898186.png': 0.10080000013113022}, {'30922721891.png': 0.24539999663829803, '63395425951.png': 0.2387000024318695, '64315997906.png': 0.23029999434947968, '29618699566.png': 0.2125999927520752, '14013898186.png': 0.1843000054359436}, {'63395425951.png': 0.2142000049352646, '64315997906.png': 0.1932000070810318, '30922721891.png': 0.16419999301433563, '29618699566.png': 0.15700000524520874, '14013898186.png': 0.14180000126361847}, {'30922721891.png': 0.26420000195503235, '63395425951.png': 0.24779999256134033, '64315997906.png': 0.24580000340938568, '29618699566.png': 0.22589999437332153, '14013898186.png': 0.1906999945640564}]	{'63395425951.png': [0.2400926, 0.25482556], '30922721891.png': [0.23098889, 0.23501846], '64315997906.png': [0.23082581, 0.2525996], '14013898186.png': [0.1961002, 0.17292342], '29618699566.png': [0.19020882, 0.19923767]}
Chinese	厚颜无耻	厚颜无耻	{'82495885984.png': 0.23458947, '31474743967.png': 0.22795129, '11408847180.png': 0.22268382, '45573532692.png': 0.19094868, '83539424221.png': 0.18916517}	{'82495885984.png': 0.58394843, '83539424221.png': 0.5619553, '11408847180.png': 0.5173337, '31474743967.png': 0.48796216, '45573532692.png': 0.48448342}	{'31474743967.png': {'83539424221.png': 0.5464438796043396, '82495885984.png': 0.5242176055908203, '11408847180.png': 0.44778549671173096, '45573532692.png': 0.43340161442756653}, '83539424221.png': {'31474743967.png': 0.5464438796043396, '82495885984.png': 0.6399587392807007, '11408847180.png': 0.581619381904602, '45573532692.png': 0.47979918122291565}, '82495885984.png': {'31474743967.png': 0.5242176055908203, '83539424221.png': 0.6399587392807007, '11408847180.png': 0.593407154083252, '45573532692.png': 0.578210175037384}, '11408847180.png': {'31474743967.png': 0.44778549671173096, '83539424221.png': 0.581619381904602, '82495885984.png': 0.593407154083252, '45573532692.png': 0.4465227723121643}, '45573532692.png': {'31474743967.png': 0.43340161442756653, '83539424221.png': 0.47979918122291565, '82495885984.png': 0.578210175037384, '11408847180.png': 0.4465227723121643}}	[]	[{'11408847180.png': 0.2078000009059906, '31474743967.png': 0.20730000734329224, '82495885984.png': 0.19550000131130219, '45573532692.png': 0.19189999997615814, '83539424221.png': 0.16429999470710754}, {'11408847180.png': 0.24169999361038208, '31474743967.png': 0.20399999618530273, '82495885984.png': 0.2037999927997589, '45573532692.png': 0.18000000715255737, '83539424221.png': 0.16189999878406525}]	{'31474743967.png': [0.23008005, 0.19926403], '82495885984.png': [0.18609351, 0.20173642], '45573532692.png': [0.18516949, 0.17188883], '83539424221.png': [0.18476829, 0.16821449], '11408847180.png': [0.1567952, 0.24667941]}
Chinese	伴郎	伴郎	{'32726110554.png': 0.25901687, '46534022430.png': 0.24649644, '19705451896.png': 0.24017924, '99985955991.png': 0.22212361, '50138606103.png': 0.18688963}	{'32726110554.png': 0.6877451, '46534022430.png': 0.6467714, '99985955991.png': 0.6406745, '19705451896.png': 0.63248855, '50138606103.png': 0.53615385}	{'99985955991.png': {'32726110554.png': 0.7152162194252014, '19705451896.png': 0.6142123341560364, '50138606103.png': 0.47494760155677795, '46534022430.png': 0.7583218812942505}, '32726110554.png': {'99985955991.png': 0.7152162194252014, '19705451896.png': 0.7246814966201782, '50138606103.png': 0.6030625104904175, '46534022430.png': 0.7080202698707581}, '19705451896.png': {'99985955991.png': 0.6142123341560364, '32726110554.png': 0.7246814966201782, '50138606103.png': 0.5684611201286316, '46534022430.png': 0.6225991249084473}, '50138606103.png': {'99985955991.png': 0.47494760155677795, '32726110554.png': 0.6030625104904175, '19705451896.png': 0.5684611201286316, '46534022430.png': 0.4981442093849182}, '46534022430.png': {'99985955991.png': 0.7583218812942505, '32726110554.png': 0.7080202698707581, '19705451896.png': 0.6225991249084473, '50138606103.png': 0.4981442093849182}}	[{'19705451896.png': 0.23019999265670776, '32726110554.png': 0.20630000531673431, '46534022430.png': 0.20469999313354492, '50138606103.png': 0.18520000576972961, '99985955991.png': 0.16189999878406525}, {'46534022430.png': 0.17960000038146973, '19705451896.png': 0.17810000479221344, '32726110554.png': 0.15880000591278076, '50138606103.png': 0.1193000003695488, '99985955991.png': 0.1136000007390976}]	[]	{}
Chinese	死胡同	死胡同	{'92675110697.png': 0.27957624, '56904263597.png': 0.24714571, '21888824781.png': 0.23266625, '47730804870.png': 0.21630079, '63992868407.png': 0.20066035}	{'92675110697.png': 0.62149984, '21888824781.png': 0.60548615, '56904263597.png': 0.5892874, '47730804870.png': 0.5750851, '63992868407.png': 0.5661267}	{'21888824781.png': {'47730804870.png': 0.5996665954589844, '63992868407.png': 0.5653150081634521, '56904263597.png': 0.5959694981575012, '92675110697.png': 0.6609935760498047}, '47730804870.png': {'21888824781.png': 0.5996665954589844, '63992868407.png': 0.517362654209137, '56904263597.png': 0.6071316003799438, '92675110697.png': 0.5761796236038208}, '63992868407.png': {'21888824781.png': 0.5653150081634521, '47730804870.png': 0.517362654209137, '56904263597.png': 0.5435256361961365, '92675110697.png': 0.6383033990859985}, '56904263597.png': {'21888824781.png': 0.5959694981575012, '47730804870.png': 0.6071316003799438, '63992868407.png': 0.5435256361961365, '92675110697.png': 0.6105227470397949}, '92675110697.png': {'21888824781.png': 0.6609935760498047, '47730804870.png': 0.5761796236038208, '63992868407.png': 0.6383033990859985, '56904263597.png': 0.6105227470397949}}	[{'21888824781.png': 0.2443999946117401, '92675110697.png': 0.22609999775886536, '47730804870.png': 0.19930000603199005, '56904263597.png': 0.193900004029274, '63992868407.png': 0.15399999916553497}, {'92675110697.png': 0.27730000019073486, '21888824781.png': 0.2583000063896179, '63992868407.png': 0.24529999494552612, '56904263597.png': 0.2387000024318695, '47730804870.png': 0.19300000369548798}]	[{'47730804870.png': 0.2337000072002411, '21888824781.png': 0.23119999468326569, '56904263597.png': 0.22859999537467957, '92675110697.png': 0.2061000019311905, '63992868407.png': 0.1826999932527542}, {'21888824781.png': 0.23229999840259552, '56904263597.png': 0.22759999334812164, '92675110697.png': 0.21780000627040863, '47730804870.png': 0.21719999611377716, '63992868407.png': 0.18279999494552612}]	{'21888824781.png': [0.2603663], '92675110697.png': [0.2546953], '47730804870.png': [0.1981399], '63992868407.png': [0.19738185], '56904263597.png': [0.19123319]}
Chinese	千锤百炼	千锤百炼	{'20864949212.png': 0.2500435, '68457856786.png': 0.2232693, '40753958843.png': 0.20448965, '67371624634.png': 0.19343862, '14395733356.png': 0.1607359}	{'68457856786.png': 0.5883027, '20864949212.png': 0.5712801, '67371624634.png': 0.5525863, '40753958843.png': 0.51269066, '14395733356.png': 0.4570732}	{'68457856786.png': {'14395733356.png': 0.46774762868881226, '20864949212.png': 0.6820172071456909, '40753958843.png': 0.5636823773384094, '67371624634.png': 0.639763593673706}, '14395733356.png': {'68457856786.png': 0.46774762868881226, '20864949212.png': 0.41131433844566345, '40753958843.png': 0.4485281705856323, '67371624634.png': 0.5007026791572571}, '20864949212.png': {'68457856786.png': 0.6820172071456909, '14395733356.png': 0.41131433844566345, '40753958843.png': 0.5802310705184937, '67371624634.png': 0.6115579605102539}, '40753958843.png': {'68457856786.png': 0.5636823773384094, '14395733356.png': 0.4485281705856323, '20864949212.png': 0.5802310705184937, '67371624634.png': 0.4583210051059723}, '67371624634.png': {'68457856786.png': 0.639763593673706, '14395733356.png': 0.5007026791572571, '20864949212.png': 0.6115579605102539, '40753958843.png': 0.4583210051059723}}	[]	[{'14395733356.png': 0.1509999930858612, '67371624634.png': 0.14259999990463257, '68457856786.png': 0.12530000507831573, '40753958843.png': 0.12030000239610672, '20864949212.png': 0.10830000042915344}, {'67371624634.png': 0.18379999697208405, '20864949212.png': 0.17669999599456787, '40753958843.png': 0.1729000061750412, '68457856786.png': 0.17080000042915344, '14395733356.png': 0.15950000286102295}]	{'20864949212.png': [0.19671994], '67371624634.png': [0.18904299], '68457856786.png': [0.18438146], '40753958843.png': [0.16543287], '14395733356.png': [0.12976205]}
Chinese	小抄	小抄	{'28353835520.png': 0.227812, '95148492311.png': 0.21541339, '94918325169.png': 0.21098736, '46693656403.png': 0.18444967, '86924643836.png': 0.17666648}	{'94918325169.png': 0.6187124, '28353835520.png': 0.61759377, '46693656403.png': 0.603239, '95148492311.png': 0.57927245, '86924643836.png': 0.481587}	{'28353835520.png': {'94918325169.png': 0.6418218612670898, '46693656403.png': 0.6433630585670471, '86924643836.png': 0.5814290046691895, '95148492311.png': 0.6037612557411194}, '94918325169.png': {'28353835520.png': 0.6418218612670898, '46693656403.png': 0.6991357207298279, '86924643836.png': 0.4470203220844269, '95148492311.png': 0.6868718862533569}, '46693656403.png': {'28353835520.png': 0.6433630585670471, '94918325169.png': 0.6991357207298279, '86924643836.png': 0.4709496796131134, '95148492311.png': 0.5995075106620789}, '86924643836.png': {'28353835520.png': 0.5814290046691895, '94918325169.png': 0.4470203220844269, '46693656403.png': 0.4709496796131134, '95148492311.png': 0.42694902420043945}, '95148492311.png': {'28353835520.png': 0.6037612557411194, '94918325169.png': 0.6868718862533569, '46693656403.png': 0.5995075106620789, '86924643836.png': 0.42694902420043945}}	[{'28353835520.png': 0.29350000619888306, '94918325169.png': 0.22450000047683716, '95148492311.png': 0.20170000195503235, '46693656403.png': 0.17880000174045563, '86924643836.png': 0.15399999916553497}]	[{'28353835520.png': 0.2442999929189682, '94918325169.png': 0.2021999955177307, '86924643836.png': 0.15160000324249268, '95148492311.png': 0.14630000293254852, '46693656403.png': 0.13750000298023224}, {'94918325169.png': 0.27790001034736633, '28353835520.png': 0.24369999766349792, '95148492311.png': 0.19609999656677246, '46693656403.png': 0.19020000100135803, '86924643836.png': 0.1858000010251999}, {'28353835520.png': 0.28200000524520874, '95148492311.png': 0.20880000293254852, '94918325169.png': 0.1973000019788742, '86924643836.png': 0.1826000064611435, '46693656403.png': 0.1673000007867813}]	{}
Chinese	熊市	熊市	{'58767233313.png': 0.2903401, '81633790636.png': 0.24698338, '82339690852.png': 0.21348469, '85129050537.png': 0.21066093, '81992921885.png': 0.18594566}	{'58767233313.png': 0.5415288, '81992921885.png': 0.52145386, '85129050537.png': 0.5034842, '82339690852.png': 0.48847428, '81633790636.png': 0.4408999}	{'81992921885.png': {'58767233313.png': 0.6296602487564087, '85129050537.png': 0.4803309440612793, '81633790636.png': 0.5401368141174316, '82339690852.png': 0.43568745255470276}, '58767233313.png': {'81992921885.png': 0.6296602487564087, '85129050537.png': 0.524616539478302, '81633790636.png': 0.5256054997444153, '82339690852.png': 0.48623305559158325}, '85129050537.png': {'81992921885.png': 0.4803309440612793, '58767233313.png': 0.524616539478302, '81633790636.png': 0.3374350965023041, '82339690852.png': 0.6715542674064636}, '81633790636.png': {'81992921885.png': 0.5401368141174316, '58767233313.png': 0.5256054997444153, '85129050537.png': 0.3374350965023041, '82339690852.png': 0.3604222536087036}, '82339690852.png': {'81992921885.png': 0.43568745255470276, '58767233313.png': 0.48623305559158325, '85129050537.png': 0.6715542674064636, '81633790636.png': 0.3604222536087036}}	[{'81633790636.png': 0.2671999931335449, '58767233313.png': 0.23770000040531158, '81992921885.png': 0.1606999933719635, '82339690852.png': 0.13930000364780426, '85129050537.png': 0.11389999836683273}, {'58767233313.png': 0.3102000057697296, '81633790636.png': 0.22040000557899475, '85129050537.png': 0.1445000022649765, '82339690852.png': 0.14309999346733093, '81992921885.png': 0.11140000075101852}]	[{'85129050537.png': 0.22759999334812164, '81992921885.png': 0.21199999749660492, '81633790636.png': 0.21040000021457672, '58767233313.png': 0.20589999854564667, '82339690852.png': 0.1941000074148178}, {'82339690852.png': 0.23479999601840973, '85129050537.png': 0.227400004863739, '58767233313.png': 0.18979999423027039, '81633790636.png': 0.1876000016927719, '81992921885.png': 0.14419999718666077}]	{}
Chinese	售票处	售票处	{'52341276245.png': 0.29794568, '15526113624.png': 0.29478872, '34803822721.png': 0.27419114, '10786598161.png': 0.25102338, '72074217009.png': 0.23997274}	{'34803822721.png': 0.7636919, '72074217009.png': 0.75159466, '52341276245.png': 0.75014424, '10786598161.png': 0.7313976, '15526113624.png': 0.69437563}	{'10786598161.png': {'72074217009.png': 0.761246919631958, '15526113624.png': 0.6205403804779053, '34803822721.png': 0.7681533694267273, '52341276245.png': 0.7756497263908386}, '72074217009.png': {'10786598161.png': 0.761246919631958, '15526113624.png': 0.716958224773407, '34803822721.png': 0.7730035781860352, '52341276245.png': 0.7551698088645935}, '15526113624.png': {'10786598161.png': 0.6205403804779053, '72074217009.png': 0.716958224773407, '34803822721.png': 0.7419284582138062, '52341276245.png': 0.6980752944946289}, '34803822721.png': {'10786598161.png': 0.7681533694267273, '72074217009.png': 0.7730035781860352, '15526113624.png': 0.7419284582138062, '52341276245.png': 0.7716822028160095}, '52341276245.png': {'10786598161.png': 0.7756497263908386, '72074217009.png': 0.7551698088645935, '15526113624.png': 0.6980752944946289, '34803822721.png': 0.7716822028160095}}	[{'52341276245.png': 0.28940001130104065, '34803822721.png': 0.2522999942302704, '15526113624.png': 0.2522999942302704, '10786598161.png': 0.23849999904632568, '72074217009.png': 0.2175000011920929}, {'52341276245.png': 0.23489999771118164, '10786598161.png': 0.19439999759197235, '15526113624.png': 0.1873999983072281, '34803822721.png': 0.17569999396800995, '72074217009.png': 0.16369999945163727}]	[]	{'15526113624.png': [0.295665], '52341276245.png': [0.27870035], '34803822721.png': [0.260587], '10786598161.png': [0.25311446], '72074217009.png': [0.23725738]}
