language	compound	folder	images	sentence	type pred
Igbo	emighi emi	emighi emi	['25252717270.png', '66736283298.png', '96845252935.png', '96199053373.png', '91276100687.png']		
Igbo	mmanya na-aba anya	mmanya na-aba anya	['91626497534.png', '33036696841.png', '81974792617.png', '96873669850.png', '36667546521.png']		
Igbo	ilakwuru ndi nnanna	ilakwuru ndi nnanna	['20551876388.png', '62654030660.png', '26630275159.png', '62140073485.png', '56671191229.png']	Mgbe ọ nọchara ọtụtụ afọ n’obodo ọzọ, nwoke ahụ kpebiri ịlakwuru ndị nnanna ya ka o mee emume omenala ma hụkwa ndị ikwu ya niile.	
Igbo	ilakwuru ndi nnanna	ilakwuru ndi nnanna	['20551876388.png', '62654030660.png', '26630275159.png', '62140073485.png', '56671191229.png']	Mgbe ọrịa siri ike rịara ya ruo ogologo oge, akụkọ kọrọ na nwoke ahụ mechara  lakwuru ndị nnanna ya, hapụrụ sọsọ nwunye ya ụmụ ha.	
Igbo	ilakwuru ndi nnanna	ilakwuru ndi nnanna	['20551876388.png', '62654030660.png', '26630275159.png', '62140073485.png', '56671191229.png']	Ndị agbata obi juru n’ihere na mwute mgbe ha nụrụ na agadi nwanyi ahụ, bụ onye a ma ama n’obodo, lakwuru ndị nnanna ya n’enweghị ọrịa ọbụla.	
Igbo	ilakwuru ndi nnanna	ilakwuru ndi nnanna	['20551876388.png', '62654030660.png', '26630275159.png', '62140073485.png', '56671191229.png']	N’oge ezumike nke afọ a, e kwuru na ọ dị mkpa ka ụmụ okorobịa nile lakwuru ndị nnanna ha ka ha mụta akụkọ ezinụlọ na omenala ala nna ha.	
Igbo	oke osisi 3	oke osisi 3	['89524367579.png', '60714567316.png', '57304232724.png', '30218173747.png', '81971134084.png']		
Igbo	ihe odachi	ihe odachi	['52940650045.png', '72678720936.png', '72048510822.png', '23945126892.png', '67899619804.png']	Bupụ ihe ọdachị a ka m gafee n’ihi na ọ na-anọchiri m ụzọ.	
Igbo	ihe odachi	ihe odachi	['52940650045.png', '72678720936.png', '72048510822.png', '23945126892.png', '67899619804.png']	Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi	
Igbo	ihe odachi	ihe odachi	['52940650045.png', '72678720936.png', '72048510822.png', '23945126892.png', '67899619804.png']	Ihe ọdachi ataala isi mmadụ 31 n'emume ụka na Rivas steeti	
Igbo	ihe odachi	ihe odachi	['52940650045.png', '72678720936.png', '72048510822.png', '23945126892.png', '67899619804.png']	Ozugbo anyị nya ụgbọala anyị na-aga Aba, anyị hụrụ ihe ọdachi n’okporoụzọ ahụ ndị agha na-anọ.	
Igbo	ikpa nkata 2	ikpa nkata 2	['97279324270.png', '92595658851.png', '17040924136.png', '38065137289.png', '42413491942.png']		
Igbo	akuko e tinyere nnu na ose	akuko e tinyere nnu na ose	['46639846368.png', '63606292700.png', '25709169244.png', '55984365415.png', '79944802201.png']	Mgbe Maazị Anyanwụ lọtara n’ụlọ, ọ malitere ịkọrọ anyị akụkọ e tinyere nnu na ose gbasara otu o si lụọ ọgụ na agụ n’ọhịa naanị ya.	
Igbo	akuko e tinyere nnu na ose	akuko e tinyere nnu na ose	['46639846368.png', '63606292700.png', '25709169244.png', '55984365415.png', '79944802201.png']	N’oge mmemme ahụ gasịrị, nwa okorobịa ahụ kọrọ m akụkọ gbasara azụ buru ibu o jidere n’osimiri, mana a mara m na ọ na-akọ akụkọ e tinyere nnu na ose.	
Igbo	akuko e tinyere nnu na ose	akuko e tinyere nnu na ose	['46639846368.png', '63606292700.png', '25709169244.png', '55984365415.png', '79944802201.png']	X	
Igbo	ita uta	ita uta	['22134936294.png', '65059783001.png', '12730960102.png', '39079490537.png', '62715964237.png']	Ebe ọ bụ na onye nlekọta nʼahụ ihe banyere chọọchị Chineke, ọ ga-abụ onye na-enweghị ihe ịta ụta.	
Igbo	ita uta	ita uta	['22134936294.png', '65059783001.png', '12730960102.png', '39079490537.png', '62715964237.png']	"N’afọ a enweghị ụdị ọṅụ ọ bụla ga-anọchi ịta ụta na ọnọdụ enweghị enyemaka ndị ụka Alakụba Palestine bị n’ọwụwa anyanwụ Jerusalem na-agabiga."""	
Igbo	ita uta	ita uta	['22134936294.png', '65059783001.png', '12730960102.png', '39079490537.png', '62715964237.png']	X	
Igbo	onye ndonye aja n'ukwu	onye ndonye aja n'ukwu	['56646168610.png', '62330102666.png', '92384305534.png', '93720938821.png', '10790758302.png']		
Igbo	ito akpiri	ito akpiri	['42371773199.png', '19166912850.png', '67605449482.png', '87978699902.png', '47844075379.png']	Emume ndubanye n’otu mmọnwụ a bụ nke e ji eme ka ụmụ okorobịa hapụ agwa ọjọọ dị iche iche ha mụtara mgbe ha dị na nwata dịka  ịsị asị, ito akpịrị, izu ori, ịtụ egwu, ịgba asịrị, ikwu ihe niile ha hụrụ na ihe ndị ọzọ.	
Igbo	ito akpiri	ito akpiri	['42371773199.png', '19166912850.png', '67605449482.png', '87978699902.png', '47844075379.png']	Mana oge nile, ọ diịrị ka o nwere otu onye naara emekarị ya n’ihe ọchị, na amakarị ya na mma, na-ekekari ya n’ekike ọma, ma ọbụ n’ito akpịrị n’ile anya karịa.	
Igbo	ito akpiri	ito akpiri	['42371773199.png', '19166912850.png', '67605449482.png', '87978699902.png', '47844075379.png']	X	
Igbo	uwa mgbede	uwa mgbede	['75076790748.png', '27100477897.png', '23082452363.png', '29928325715.png', '96883810685.png']	Ee, anyị apụtasịa (Ee ụwa mgbede); bịa, mma Nkechi nyekwuo m one bọ, nyekwuo m one bọ, onye akawo.	
Igbo	uwa mgbede	uwa mgbede	['75076790748.png', '27100477897.png', '23082452363.png', '29928325715.png', '96883810685.png']	Otiegwu Mike tiri n'egwu sị na ụwa mgbede ka mma, mana ugbua ụwa mgbede adịla njọ.	
Igbo	uwa mgbede	uwa mgbede	['75076790748.png', '27100477897.png', '23082452363.png', '29928325715.png', '96883810685.png']	X	
Igbo	aja mbele 2	aja mbele 2	['45258001620.png', '58422396085.png', '55482725344.png', '89639893799.png', '29999379478.png']		
Igbo	oke osisi 2	oke osisi 2	['29825092494.png', '41790642602.png', '20191646195.png', '23398108843.png', '85720915294.png']		
Igbo	obi sara sara	obi sara sara	['28083982743.png', '73956645558.png', '38467640292.png', '93593700187.png', '85523792036.png']	Anyị ji obi sara sara anabata gị n'ọnwa Sepụtemba afọ 2025 bụ mmalite ọnwa ndị 'emba'.	
Igbo	obi sara sara	obi sara sara	['28083982743.png', '73956645558.png', '38467640292.png', '93593700187.png', '85523792036.png']	Ha na-aja ya mma maka ntachiobi ya nakwa uchu ya, yana obi sara sara na obi ebere ya.	
Igbo	obi sara sara	obi sara sara	['28083982743.png', '73956645558.png', '38467640292.png', '93593700187.png', '85523792036.png']	X	
Igbo	nta nchocha	nta nchocha	['68398244225.png', '83527430081.png', '65888839772.png', '32578590782.png', '38401758888.png']	Ebe  ndị ọzọ a gara nta nchọcha banyere ihe e dere n’edemede a, bụ n’ọbakwụkwọ na ọwa nzikọrịtaozi  intaneti nke e si na ya chịkọba echiche ndị odee n’ụfọdụ okwu pụtara ihe n’isiokwu nchọcha a.	
Igbo	nta nchocha	nta nchocha	['68398244225.png', '83527430081.png', '65888839772.png', '32578590782.png', '38401758888.png']	N’oge ha na-achụ nta nchọcha banyere asụsụ na omenala Igbo, ha gara n'ọtụtụ ime obodo ka ha na ndị okenye kparịta ụka maka omenala dị iche iche dị n'AlaIgbo.	
Igbo	nta nchocha	nta nchocha	['68398244225.png', '83527430081.png', '65888839772.png', '32578590782.png', '38401758888.png']	X	
Igbo	imepe mmadu anya	imepe mmadu anya	['23916982432.png', '18730492705.png', '31868490484.png', '22518588216.png', '39906556596.png']	Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.	
Igbo	imepe mmadu anya	imepe mmadu anya	['23916982432.png', '18730492705.png', '31868490484.png', '22518588216.png', '39906556596.png']	Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.	
Igbo	imepe mmadu anya	imepe mmadu anya	['23916982432.png', '18730492705.png', '31868490484.png', '22518588216.png', '39906556596.png']	Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.	
