language	compound	folder	nc sim	avg img sim	img sim matrix	lit ct sim	idm ct sim	lit trans sim	idm trans sim
Chinese	情感专栏作家	情感专栏作家	{'74140941633.png': np.float32(0.24521944), '53846971385.png': np.float32(0.22117406), '46375643255.png': np.float32(0.21859515), '23295382866.png': np.float32(0.21628632), '90240587988.png': np.float32(0.1983459)}	{'74140941633.png': np.float32(0.719269), '23295382866.png': np.float32(0.7000283), '46375643255.png': np.float32(0.6963515), '53846971385.png': np.float32(0.6629108), '90240587988.png': np.float32(0.65481615)}	{'74140941633.png': {'23295382866.png': 0.7485784292221069, '90240587988.png': 0.6786491274833679, '53846971385.png': 0.6450150012969971, '46375643255.png': 0.8048334121704102}, '23295382866.png': {'74140941633.png': 0.7485784292221069, '90240587988.png': 0.6689434051513672, '53846971385.png': 0.7005866765975952, '46375643255.png': 0.6820047497749329}, '90240587988.png': {'74140941633.png': 0.6786491274833679, '23295382866.png': 0.6689434051513672, '53846971385.png': 0.6395727396011353, '46375643255.png': 0.6320991516113281}, '53846971385.png': {'74140941633.png': 0.6450150012969971, '23295382866.png': 0.7005866765975952, '90240587988.png': 0.6395727396011353, '46375643255.png': 0.6664689183235168}, '46375643255.png': {'74140941633.png': 0.8048334121704102, '23295382866.png': 0.6820047497749329, '90240587988.png': 0.6320991516113281, '53846971385.png': 0.6664689183235168}}	[{'74140941633.png': 0.24619999527931213, '46375643255.png': 0.2101999968290329, '53846971385.png': 0.2053000032901764, '90240587988.png': 0.20419999957084656, '23295382866.png': 0.20170000195503235}]	[]	[{'23295382866.png': 0.2856000065803528, '53846971385.png': 0.2524999976158142, '90240587988.png': 0.24250000715255737, '46375643255.png': 0.24250000715255737, '74140941633.png': 0.24240000545978546}]	[{'23295382866.png': 0.24490000307559967, '90240587988.png': 0.2280000001192093, '53846971385.png': 0.22750000655651093, '46375643255.png': 0.20980000495910645, '74140941633.png': 0.1973000019788742}, {'23295382866.png': 0.24570000171661377, '46375643255.png': 0.24060000479221344, '90240587988.png': 0.2329999953508377, '53846971385.png': 0.23250000178813934, '74140941633.png': 0.22470000386238098}]
Chinese	学院奖	学院奖	{'26712162360.png': np.float32(0.22763678), '19482454005.png': np.float32(0.20235018), '15724359858.png': np.float32(0.20072284), '13212394411.png': np.float32(0.19485635), '49003627968.png': np.float32(0.1935175)}	{'49003627968.png': np.float32(0.7057846), '15724359858.png': np.float32(0.6775721), '19482454005.png': np.float32(0.6346439), '13212394411.png': np.float32(0.63162214), '26712162360.png': np.float32(0.5994663)}	{'49003627968.png': {'13212394411.png': 0.6479532122612, '15724359858.png': 0.7738243937492371, '26712162360.png': 0.6168219447135925, '19482454005.png': 0.784538984298706}, '13212394411.png': {'49003627968.png': 0.6479532122612, '15724359858.png': 0.6287024021148682, '26712162360.png': 0.7142650485038757, '19482454005.png': 0.5355678200721741}, '15724359858.png': {'49003627968.png': 0.7738243937492371, '13212394411.png': 0.6287024021148682, '26712162360.png': 0.5780354142189026, '19482454005.png': 0.7297261357307434}, '26712162360.png': {'49003627968.png': 0.6168219447135925, '13212394411.png': 0.7142650485038757, '15724359858.png': 0.5780354142189026, '19482454005.png': 0.4887427091598511}, '19482454005.png': {'49003627968.png': 0.784538984298706, '13212394411.png': 0.5355678200721741, '15724359858.png': 0.7297261357307434, '26712162360.png': 0.4887427091598511}}	[]	[]	[{'15724359858.png': 0.3086000084877014, '19482454005.png': 0.2818000018596649, '49003627968.png': 0.25699999928474426, '13212394411.png': 0.210099995136261, '26712162360.png': 0.19850000739097595}]	[{'15724359858.png': 0.2937999963760376, '19482454005.png': 0.2572999894618988, '49003627968.png': 0.2248000055551529, '13212394411.png': 0.20999999344348907, '26712162360.png': 0.19349999725818634}, {'15724359858.png': 0.295199990272522, '19482454005.png': 0.2484000027179718, '13212394411.png': 0.22120000422000885, '49003627968.png': 0.22010000050067902, '26712162360.png': 0.17710000276565552}]
Chinese	互相推诿	互相推诿	{'64315997906.png': np.float32(0.21995936), '29618699566.png': np.float32(0.21727985), '63395425951.png': np.float32(0.20312749), '14013898186.png': np.float32(0.20029509), '30922721891.png': np.float32(0.19855237)}	{'30922721891.png': np.float32(0.75169104), '63395425951.png': np.float32(0.7414794), '29618699566.png': np.float32(0.71520567), '64315997906.png': np.float32(0.7004195), '14013898186.png': np.float32(0.69606364)}	{'30922721891.png': {'29618699566.png': 0.7323262691497803, '63395425951.png': 0.812911331653595, '14013898186.png': 0.7050856351852417, '64315997906.png': 0.7564408779144287}, '29618699566.png': {'30922721891.png': 0.7323262691497803, '63395425951.png': 0.7525529861450195, '14013898186.png': 0.6898025870323181, '64315997906.png': 0.6861406564712524}, '63395425951.png': {'30922721891.png': 0.812911331653595, '29618699566.png': 0.7525529861450195, '14013898186.png': 0.7153616547584534, '64315997906.png': 0.6850916147232056}, '14013898186.png': {'30922721891.png': 0.7050856351852417, '29618699566.png': 0.6898025870323181, '63395425951.png': 0.7153616547584534, '64315997906.png': 0.674004852771759}, '64315997906.png': {'30922721891.png': 0.7564408779144287, '29618699566.png': 0.6861406564712524, '63395425951.png': 0.6850916147232056, '14013898186.png': 0.674004852771759}}	[]	[{'64315997906.png': 0.23000000417232513, '29618699566.png': 0.2143000066280365, '63395425951.png': 0.21050000190734863, '30922721891.png': 0.20630000531673431, '14013898186.png': 0.19679999351501465}, {'64315997906.png': 0.227400004863739, '29618699566.png': 0.22429999709129333, '63395425951.png': 0.2152000069618225, '30922721891.png': 0.20900000631809235, '14013898186.png': 0.20509999990463257}]	[{'63395425951.png': 0.23770000040531158, '64315997906.png': 0.23720000684261322, '29618699566.png': 0.23659999668598175, '30922721891.png': 0.22179999947547913, '14013898186.png': 0.21389999985694885}]	[{'14013898186.png': 0.20559999346733093, '64315997906.png': 0.19910000264644623, '30922721891.png': 0.19200000166893005, '63395425951.png': 0.19140000641345978, '29618699566.png': 0.1876000016927719}, {'64315997906.png': 0.23270000517368317, '30922721891.png': 0.2264000028371811, '29618699566.png': 0.22300000488758087, '63395425951.png': 0.22259999811649323, '14013898186.png': 0.19750000536441803}]
Chinese	厚颜无耻	厚颜无耻	{'82495885984.png': np.float32(0.22107892), '45573532692.png': np.float32(0.2156277), '83539424221.png': np.float32(0.21254884), '11408847180.png': np.float32(0.20370874), '31474743967.png': np.float32(0.18257903)}	{'82495885984.png': np.float32(0.5994259), '11408847180.png': np.float32(0.58524376), '45573532692.png': np.float32(0.55714923), '83539424221.png': np.float32(0.556455), '31474743967.png': np.float32(0.5522074)}	{'31474743967.png': {'83539424221.png': 0.5528689622879028, '82495885984.png': 0.5781638622283936, '11408847180.png': 0.5577046275138855, '45573532692.png': 0.5200923085212708}, '83539424221.png': {'31474743967.png': 0.5528689622879028, '82495885984.png': 0.5864065289497375, '11408847180.png': 0.59554123878479, '45573532692.png': 0.4910033047199249}, '82495885984.png': {'31474743967.png': 0.5781638622283936, '83539424221.png': 0.5864065289497375, '11408847180.png': 0.6016805768013, '45573532692.png': 0.6314526796340942}, '11408847180.png': {'31474743967.png': 0.5577046275138855, '83539424221.png': 0.59554123878479, '82495885984.png': 0.6016805768013, '45573532692.png': 0.5860485434532166}, '45573532692.png': {'31474743967.png': 0.5200923085212708, '83539424221.png': 0.4910033047199249, '82495885984.png': 0.6314526796340942, '11408847180.png': 0.5860485434532166}}	[]	[{'45573532692.png': 0.2362000048160553, '82495885984.png': 0.22709999978542328, '83539424221.png': 0.2142000049352646, '11408847180.png': 0.20550000667572021, '31474743967.png': 0.18639999628067017}, {'82495885984.png': 0.22089999914169312, '45573532692.png': 0.218299999833107, '83539424221.png': 0.2087000012397766, '11408847180.png': 0.2037999927997589, '31474743967.png': 0.19220000505447388}]	[{'82495885984.png': 0.24009999632835388, '31474743967.png': 0.225600004196167, '45573532692.png': 0.2134000062942505, '11408847180.png': 0.1995999962091446, '83539424221.png': 0.19259999692440033}]	[{'82495885984.png': 0.226500004529953, '45573532692.png': 0.2248000055551529, '11408847180.png': 0.21389999985694885, '31474743967.png': 0.20589999854564667, '83539424221.png': 0.20559999346733093}, {'82495885984.png': 0.2214999943971634, '11408847180.png': 0.20010000467300415, '83539424221.png': 0.19120000302791595, '45573532692.png': 0.17069999873638153, '31474743967.png': 0.1696999967098236}]
Chinese	伴郎	伴郎	{'99985955991.png': np.float32(0.26422033), '46534022430.png': np.float32(0.21534874), '32726110554.png': np.float32(0.21014112), '50138606103.png': np.float32(0.19295296), '19705451896.png': np.float32(0.18019551)}	{'46534022430.png': np.float32(0.7128079), '32726110554.png': np.float32(0.70350826), '99985955991.png': np.float32(0.68936217), '19705451896.png': np.float32(0.6563261), '50138606103.png': np.float32(0.64015234)}	{'99985955991.png': {'32726110554.png': 0.7009938359260559, '19705451896.png': 0.6171013712882996, '50138606103.png': 0.6190810203552246, '46534022430.png': 0.8202724456787109}, '32726110554.png': {'99985955991.png': 0.7009938359260559, '19705451896.png': 0.7054530382156372, '50138606103.png': 0.6964354515075684, '46534022430.png': 0.7111507058143616}, '19705451896.png': {'99985955991.png': 0.6171013712882996, '32726110554.png': 0.7054530382156372, '50138606103.png': 0.6140172481536865, '46534022430.png': 0.6887328624725342}, '50138606103.png': {'99985955991.png': 0.6190810203552246, '32726110554.png': 0.6964354515075684, '19705451896.png': 0.6140172481536865, '46534022430.png': 0.6310756206512451}, '46534022430.png': {'99985955991.png': 0.8202724456787109, '32726110554.png': 0.7111507058143616, '19705451896.png': 0.6887328624725342, '50138606103.png': 0.6310756206512451}}	[{'46534022430.png': 0.2320999950170517, '99985955991.png': 0.22190000116825104, '19705451896.png': 0.19519999623298645, '32726110554.png': 0.18970000743865967, '50138606103.png': 0.1762000024318695}]	[]	[{'32726110554.png': 0.24629999697208405, '46534022430.png': 0.2329999953508377, '99985955991.png': 0.218299999833107, '19705451896.png': 0.20909999310970306, '50138606103.png': 0.20309999585151672}]	[{'32726110554.png': 0.28450000286102295, '19705451896.png': 0.2459000051021576, '99985955991.png': 0.2401999980211258, '46534022430.png': 0.22949999570846558, '50138606103.png': 0.22579999268054962}]
Chinese	死胡同	死胡同	{'21888824781.png': np.float32(0.21874008), '63992868407.png': np.float32(0.21118167), '92675110697.png': np.float32(0.20569308), '47730804870.png': np.float32(0.20473947), '56904263597.png': np.float32(0.20401944)}	{'21888824781.png': np.float32(0.7339841), '92675110697.png': np.float32(0.71229255), '47730804870.png': np.float32(0.70076054), '63992868407.png': np.float32(0.69854796), '56904263597.png': np.float32(0.68304616)}	{'21888824781.png': {'47730804870.png': 0.7227981686592102, '63992868407.png': 0.7634880542755127, '56904263597.png': 0.68525230884552, '92675110697.png': 0.7643980979919434}, '47730804870.png': {'21888824781.png': 0.7227981686592102, '63992868407.png': 0.6817402243614197, '56904263597.png': 0.701880931854248, '92675110697.png': 0.6966228485107422}, '63992868407.png': {'21888824781.png': 0.7634880542755127, '47730804870.png': 0.6817402243614197, '56904263597.png': 0.6529327630996704, '92675110697.png': 0.6960306167602539}, '56904263597.png': {'21888824781.png': 0.68525230884552, '47730804870.png': 0.701880931854248, '63992868407.png': 0.6529327630996704, '92675110697.png': 0.6921187043190002}, '92675110697.png': {'21888824781.png': 0.7643980979919434, '47730804870.png': 0.6966228485107422, '63992868407.png': 0.6960306167602539, '56904263597.png': 0.6921187043190002}}	[{'56904263597.png': 0.21089999377727509, '92675110697.png': 0.20810000598430634, '21888824781.png': 0.20810000598430634, '47730804870.png': 0.20640000700950623, '63992868407.png': 0.20350000262260437}, {'21888824781.png': 0.2079000025987625, '63992868407.png': 0.20260000228881836, '92675110697.png': 0.20229999721050262, '56904263597.png': 0.19979999959468842, '47730804870.png': 0.19820000231266022}]	[{'21888824781.png': 0.2087000012397766, '47730804870.png': 0.20419999957084656, '56904263597.png': 0.20080000162124634, '92675110697.png': 0.1965000033378601, '63992868407.png': 0.19269999861717224}, {'21888824781.png': 0.21310000121593475, '56904263597.png': 0.20389999449253082, '92675110697.png': 0.2020999938249588, '47730804870.png': 0.19850000739097595, '63992868407.png': 0.19550000131130219}]	[{'92675110697.png': 0.26899999380111694, '21888824781.png': 0.26260000467300415, '63992868407.png': 0.23839999735355377, '56904263597.png': 0.19740000367164612, '47730804870.png': 0.1881999969482422}]	[{'92675110697.png': 0.25920000672340393, '63992868407.png': 0.2522999942302704, '21888824781.png': 0.2434999942779541, '56904263597.png': 0.21070000529289246, '47730804870.png': 0.19820000231266022}]
Chinese	千锤百炼	千锤百炼	{'14395733356.png': np.float32(0.20609525), '67371624634.png': np.float32(0.20508277), '20864949212.png': np.float32(0.20276406), '40753958843.png': np.float32(0.20071575), '68457856786.png': np.float32(0.18932143)}	{'20864949212.png': np.float32(0.6470412), '40753958843.png': np.float32(0.61677724), '68457856786.png': np.float32(0.6026511), '67371624634.png': np.float32(0.5796913), '14395733356.png': np.float32(0.5714266)}	{'68457856786.png': {'14395733356.png': 0.5800294876098633, '20864949212.png': 0.6657916903495789, '40753958843.png': 0.603787899017334, '67371624634.png': 0.5609952211380005}, '14395733356.png': {'68457856786.png': 0.5800294876098633, '20864949212.png': 0.568972647190094, '40753958843.png': 0.6211839914321899, '67371624634.png': 0.5155202746391296}, '20864949212.png': {'68457856786.png': 0.6657916903495789, '14395733356.png': 0.568972647190094, '40753958843.png': 0.6766438484191895, '67371624634.png': 0.6767565608024597}, '40753958843.png': {'68457856786.png': 0.603787899017334, '14395733356.png': 0.6211839914321899, '20864949212.png': 0.6766438484191895, '67371624634.png': 0.5654931664466858}, '67371624634.png': {'68457856786.png': 0.5609952211380005, '14395733356.png': 0.5155202746391296, '20864949212.png': 0.6767565608024597, '40753958843.png': 0.5654931664466858}}	[]	[{'67371624634.png': 0.19699999690055847, '40753958843.png': 0.19460000097751617, '20864949212.png': 0.19439999759197235, '14395733356.png': 0.1931000053882599, '68457856786.png': 0.18619999289512634}, {'40753958843.png': 0.20010000467300415, '14395733356.png': 0.19550000131130219, '67371624634.png': 0.1881999969482422, '20864949212.png': 0.1875, '68457856786.png': 0.18160000443458557}]	[{'20864949212.png': 0.23890000581741333, '68457856786.png': 0.23839999735355377, '40753958843.png': 0.2329999953508377, '67371624634.png': 0.21719999611377716, '14395733356.png': 0.195700004696846}]	[{'20864949212.png': 0.21770000457763672, '67371624634.png': 0.21739999949932098, '40753958843.png': 0.20909999310970306, '68457856786.png': 0.20630000531673431, '14395733356.png': 0.193900004029274}, {'20864949212.png': 0.22349999845027924, '67371624634.png': 0.2134000062942505, '14395733356.png': 0.2125999927520752, '68457856786.png': 0.21199999749660492, '40753958843.png': 0.20280000567436218}]
Chinese	小抄	小抄	{'86924643836.png': np.float32(0.22307244), '28353835520.png': np.float32(0.2227984), '94918325169.png': np.float32(0.21166256), '46693656403.png': np.float32(0.1985032), '95148492311.png': np.float32(0.19643277)}	{'95148492311.png': np.float32(0.68671155), '46693656403.png': np.float32(0.6750964), '86924643836.png': np.float32(0.6607207), '28353835520.png': np.float32(0.644014), '94918325169.png': np.float32(0.63895255)}	{'28353835520.png': {'94918325169.png': 0.5814716219902039, '46693656403.png': 0.6329535245895386, '86924643836.png': 0.6711256504058838, '95148492311.png': 0.6905051469802856}, '94918325169.png': {'28353835520.png': 0.5814716219902039, '46693656403.png': 0.6687297821044922, '86924643836.png': 0.6219160556793213, '95148492311.png': 0.6836927533149719}, '46693656403.png': {'28353835520.png': 0.6329535245895386, '94918325169.png': 0.6687297821044922, '86924643836.png': 0.6879475116729736, '95148492311.png': 0.7107546329498291}, '86924643836.png': {'28353835520.png': 0.6711256504058838, '94918325169.png': 0.6219160556793213, '46693656403.png': 0.6879475116729736, '95148492311.png': 0.6618934869766235}, '95148492311.png': {'28353835520.png': 0.6905051469802856, '94918325169.png': 0.6836927533149719, '46693656403.png': 0.7107546329498291, '86924643836.png': 0.6618934869766235}}	[{'86924643836.png': 0.2272000014781952, '28353835520.png': 0.21899999678134918, '95148492311.png': 0.20409999787807465, '46693656403.png': 0.19679999351501465, '94918325169.png': 0.19619999825954437}]	[{'86924643836.png': 0.21709999442100525, '28353835520.png': 0.20649999380111694, '95148492311.png': 0.1956000030040741, '94918325169.png': 0.18940000236034393, '46693656403.png': 0.18199999630451202}]	[{'28353835520.png': 0.2363000065088272, '94918325169.png': 0.2362000048160553, '95148492311.png': 0.2287999987602234, '86924643836.png': 0.22550000250339508, '46693656403.png': 0.1981000006198883}]	[{'95148492311.png': 0.225600004196167, '28353835520.png': 0.21699999272823334, '94918325169.png': 0.20880000293254852, '86924643836.png': 0.1899999976158142, '46693656403.png': 0.17489999532699585}]
Chinese	熊市	熊市	{'58767233313.png': np.float32(0.1969564), '81633790636.png': np.float32(0.18461877), '81992921885.png': np.float32(0.18234125), '85129050537.png': np.float32(0.18208113), '82339690852.png': np.float32(0.1756338)}	{'58767233313.png': np.float32(0.6569769), '81992921885.png': np.float32(0.6210543), '85129050537.png': np.float32(0.60715973), '82339690852.png': np.float32(0.6014173), '81633790636.png': np.float32(0.5661757)}	{'81992921885.png': {'58767233313.png': 0.708786129951477, '85129050537.png': 0.5794014930725098, '81633790636.png': 0.6260077953338623, '82339690852.png': 0.5700218677520752}, '58767233313.png': {'81992921885.png': 0.708786129951477, '85129050537.png': 0.6222748160362244, '81633790636.png': 0.7180200219154358, '82339690852.png': 0.5788266658782959}, '85129050537.png': {'81992921885.png': 0.5794014930725098, '58767233313.png': 0.6222748160362244, '81633790636.png': 0.445408433675766, '82339690852.png': 0.7815542221069336}, '81633790636.png': {'81992921885.png': 0.6260077953338623, '58767233313.png': 0.7180200219154358, '85129050537.png': 0.445408433675766, '82339690852.png': 0.47526657581329346}, '82339690852.png': {'81992921885.png': 0.5700218677520752, '58767233313.png': 0.5788266658782959, '85129050537.png': 0.7815542221069336, '81633790636.png': 0.47526657581329346}}	[{'85129050537.png': 0.20309999585151672, '82339690852.png': 0.20059999823570251, '58767233313.png': 0.18970000743865967, '81633790636.png': 0.1835000067949295, '81992921885.png': 0.17509999871253967}, {'85129050537.png': 0.20970000326633453, '82339690852.png': 0.20360000431537628, '58767233313.png': 0.19429999589920044, '81633790636.png': 0.18490000069141388, '81992921885.png': 0.17299999296665192}]	[{'85129050537.png': 0.20260000228881836, '82339690852.png': 0.1964000016450882, '58767233313.png': 0.1932000070810318, '81633790636.png': 0.17470000684261322, '81992921885.png': 0.164900004863739}]	[{'58767233313.png': 0.28139999508857727, '81633790636.png': 0.2660999894142151, '81992921885.png': 0.2387000024318695, '82339690852.png': 0.23690000176429749, '85129050537.png': 0.23479999601840973}]	[{'58767233313.png': 0.2680000066757202, '81633790636.png': 0.257999986410141, '82339690852.png': 0.2542000114917755, '85129050537.png': 0.23909999430179596, '81992921885.png': 0.23890000581741333}]
Chinese	售票处	售票处	{'10786598161.png': np.float32(0.21261524), '52341276245.png': np.float32(0.2065694), '15526113624.png': np.float32(0.19746162), '72074217009.png': np.float32(0.1918127), '34803822721.png': np.float32(0.18139537)}	{'72074217009.png': np.float32(0.7578983), '34803822721.png': np.float32(0.7406819), '10786598161.png': np.float32(0.72644985), '15526113624.png': np.float32(0.7039273), '52341276245.png': np.float32(0.7004076)}	{'10786598161.png': {'72074217009.png': 0.8072337508201599, '15526113624.png': 0.6448377966880798, '34803822721.png': 0.7063868045806885, '52341276245.png': 0.7473412752151489}, '72074217009.png': {'10786598161.png': 0.8072337508201599, '15526113624.png': 0.7485319972038269, '34803822721.png': 0.767769455909729, '52341276245.png': 0.7080578207969666}, '15526113624.png': {'10786598161.png': 0.6448377966880798, '72074217009.png': 0.7485319972038269, '34803822721.png': 0.7823393940925598, '52341276245.png': 0.6399998664855957}, '34803822721.png': {'10786598161.png': 0.7063868045806885, '72074217009.png': 0.767769455909729, '15526113624.png': 0.7823393940925598, '52341276245.png': 0.7062317132949829}, '52341276245.png': {'10786598161.png': 0.7473412752151489, '72074217009.png': 0.7080578207969666, '15526113624.png': 0.6399998664855957, '34803822721.png': 0.7062317132949829}}	[{'15526113624.png': 0.20730000734329224, '52341276245.png': 0.1931000053882599, '72074217009.png': 0.18449999392032623, '34803822721.png': 0.18119999766349792, '10786598161.png': 0.17970000207424164}, {'15526113624.png': 0.21379999816417694, '52341276245.png': 0.20579999685287476, '72074217009.png': 0.193900004029274, '34803822721.png': 0.19249999523162842, '10786598161.png': 0.18950000405311584}]	[]	[{'52341276245.png': 0.2818000018596649, '10786598161.png': 0.25679999589920044, '15526113624.png': 0.25380000472068787, '72074217009.png': 0.2485000044107437, '34803822721.png': 0.23499999940395355}]	[{'10786598161.png': 0.24969999492168427, '52341276245.png': 0.24959999322891235, '15526113624.png': 0.23929999768733978, '72074217009.png': 0.2337000072002411, '34803822721.png': 0.19470000267028809}, {'10786598161.png': 0.24570000171661377, '15526113624.png': 0.24009999632835388, '72074217009.png': 0.2362000048160553, '52341276245.png': 0.22619999945163727, '34803822721.png': 0.21780000627040863}]
