id,nc,sent,rank label,rank pred,input,output,time
0,μαύρο κουτί,Ουσιαστικά σ' αυτό το σενάριο η ψυχή λειτουργεί ως μαύρο κουτί.,,"['98828155265.png', '35772241816.png', '99327556136.png', '66565915983.png', '43282257696.png']","Consider the expression: [μαύρο κουτί] in the Greek language, and its meaning in context: [Ουσιαστικά σ' αυτό το σενάριο η ψυχή λειτουργεί ως μαύρο κουτί.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 2, 4]",4.41518497467041
1,μαύρο κουτί,"Το μαύρο κουτί της γλώσσας του παιδικού ιχνογραφήματος και μάλιστα σε ό,τι αφορά τις οικογενειακές imagos του παιδιού.",,"['98828155265.png', '35772241816.png', '43282257696.png', '66565915983.png', '99327556136.png']","Consider the expression: [μαύρο κουτί] in the Greek language, and its meaning in context: [Το μαύρο κουτί της γλώσσας του παιδικού ιχνογραφήματος και μάλιστα σε ό,τι αφορά τις οικογενειακές imagos του παιδιού.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 3, 5, 1]",1.5498199462890625
2,μαύρο κουτί,Στο μαύρο κουτί βρήκε παλιές φωτογραφίες και γράμματα,,"['98828155265.png', '35772241816.png', '66565915983.png', '43282257696.png', '99327556136.png']","Consider the expression: [μαύρο κουτί] in the Greek language, and its meaning in context: [Στο μαύρο κουτί βρήκε παλιές φωτογραφίες και γράμματα]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 5, 4]",1.1497631072998047
3,μαύρο κουτί,Πάνω στο γραφείο ξεχασμένο ένα μαύρο κουτί.,,"['98828155265.png', '35772241816.png', '43282257696.png', '66565915983.png', '99327556136.png']","Consider the expression: [μαύρο κουτί] in the Greek language, and its meaning in context: [Πάνω στο γραφείο ξεχασμένο ένα μαύρο κουτί.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 4, 2]",3.2304530143737793
4,το άλφα και το ωμέγα,"Το άλφα και το ωμέγα της ευελιξίας αυτής, είναι η χρήση διαφορετικών φελλών ανάλογα με τις συνθήκες που συναντάμε κάθε φορά και φυσικά ανάλογα με τη μορφολογία του εκάστοτε τόπου.",,"['83136473978.png', '62597953967.png', '57242435626.png', '96275304446.png', '42202375841.png']","Consider the expression: [το άλφα και το ωμέγα] in the Greek language, and its meaning in context: [Το άλφα και το ωμέγα της ευελιξίας αυτής, είναι η χρήση διαφορετικών φελλών ανάλογα με τις συνθήκες που συναντάμε κάθε φορά και φυσικά ανάλογα με τη μορφολογία του εκάστοτε τόπου.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",1.2206342220306396
5,το άλφα και το ωμέγα,"Έτσι ο ίδιος έγραψε σε ένα από τα πρώτα του άρθρα, ότι η σειρά με την οποία κολλιούνται διάφορα κομμάτια φιλμ -το μοντάζ- ήταν το άλφα και το ωμέγα της κινηματογραφικής επίδρασης επάνω στον θεατή",,"['83136473978.png', '62597953967.png', '57242435626.png', '96275304446.png', '42202375841.png']","Consider the expression: [το άλφα και το ωμέγα] in the Greek language, and its meaning in context: [Έτσι ο ίδιος έγραψε σε ένα από τα πρώτα του άρθρα, ότι η σειρά με την οποία κολλιούνται διάφορα κομμάτια φιλμ -το μοντάζ- ήταν το άλφα και το ωμέγα της κινηματογραφικής επίδρασης επάνω στον θεατή]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 5, 2, 4]",1.2062878608703613
6,το άλφα και το ωμέγα,"Στο εργαστήριο καλλιγραφίας, ο δάσκαλος έδειχνε στα παιδιά πώς να γράφουν σωστά το άλφα και το ωμέγα.",,"['83136473978.png', '62597953967.png', '57242435626.png', '42202375841.png', '96275304446.png']","Consider the expression: [το άλφα και το ωμέγα] in the Greek language, and its meaning in context: [Στο εργαστήριο καλλιγραφίας, ο δάσκαλος έδειχνε στα παιδιά πώς να γράφουν σωστά το άλφα και το ωμέγα.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 2, 3]",1.15631103515625
7,το άλφα και το ωμέγα,Ο γλύπτης χάραξε το άλφα και το ωμέγα πάνω σε μια πέτρα για να δείξει την αρχή και το τέλος της σειράς.,,"['83136473978.png', '62597953967.png', '96275304446.png', '57242435626.png', '42202375841.png']","Consider the expression: [το άλφα και το ωμέγα] in the Greek language, and its meaning in context: [Ο γλύπτης χάραξε το άλφα και το ωμέγα πάνω σε μια πέτρα για να δείξει την αρχή και το τέλος της σειράς.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",6.341689348220825
8,μάτι της γάτας 1,"Τοποθέτηση ""ματιών γάτας"" για τη μείωση της ταχύτητας στις διασταυρώσεις λόγω διέλευσης ΜΜΜ.",,"['88948057343.png', '56491841058.png', '55986611925.png', '58568802444.png', '58370003326.png']","Consider the expression: [μάτι της γάτας 1] in the Greek language, and its meaning in context: [Τοποθέτηση ""ματιών γάτας"" για τη μείωση της ταχύτητας στις διασταυρώσεις λόγω διέλευσης ΜΜΜ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 2, 4, 3]",3.635114908218384
9,μάτι της γάτας 1,"Τα ""μάτια της γάτας"" είχαν τοποθετηθεί παλαιότερα από τον Δήμο, για να μειώνουν οι οδηγοί την ταχύτητά τους",,"['56491841058.png', '88948057343.png', '55986611925.png', '58568802444.png', '58370003326.png']","Consider the expression: [μάτι της γάτας 1] in the Greek language, and its meaning in context: [Τα ""μάτια της γάτας"" είχαν τοποθετηθεί παλαιότερα από τον Δήμο, για να μειώνουν οι οδηγοί την ταχύτητά τους]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 4, 1]",3.126883029937744
10,μάτι της γάτας 1,Ο κτηνίατρος εξέτασε προσεκτικά το μάτι της γάτας για σημάδια φλεγμονής.,,"['55986611925.png', '58568802444.png', '58370003326.png', '88948057343.png', '56491841058.png']","Consider the expression: [μάτι της γάτας 1] in the Greek language, and its meaning in context: [Ο κτηνίατρος εξέτασε προσεκτικά το μάτι της γάτας για σημάδια φλεγμονής.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 3, 5, 4]",1.577333927154541
11,μάτι της γάτας 1,Η ζωγράφος προσπάθησε να αποδώσει με λεπτομέρεια το μάτι της γάτας στον καμβά.,,"['55986611925.png', '58370003326.png', '58568802444.png', '88948057343.png', '56491841058.png']","Consider the expression: [μάτι της γάτας 1] in the Greek language, and its meaning in context: [Η ζωγράφος προσπάθησε να αποδώσει με λεπτομέρεια το μάτι της γάτας στον καμβά.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 4, 3]",1.1820204257965088
12,ένα κομμάτι ψωμί,Όπως όλος ο πλουτοπαραγωγικός ιστός και ο ορυκτός πλούτος της χώρας εκχωρείται στο κεφάλαιο για ένα κομμάτι ψωμί έτσι και ολόκληρη η Β. Χαλκιδική παραδίδεται στο βωμό του κέρδους.,,"['20001785272.png', '84512325057.png', '26369123164.png', '97485005780.png', '67836774758.png']","Consider the expression: [ένα κομμάτι ψωμί] in the Greek language, and its meaning in context: [Όπως όλος ο πλουτοπαραγωγικός ιστός και ο ορυκτός πλούτος της χώρας εκχωρείται στο κεφάλαιο για ένα κομμάτι ψωμί έτσι και ολόκληρη η Β. Χαλκιδική παραδίδεται στο βωμό του κέρδους.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 5, 4]",2.8413524627685547
13,ένα κομμάτι ψωμί,"Και βέβαια, η νέα γενιά ζει αυτή την έννοια της διαφθοράς, γιατί τι άλλο είναι, παρά διαφθορά, όταν βλέπουμε ότι, πίσω από τα προγράμματα Stage, ουσιαστικά, πετάνε ένα κομμάτι ψωμί σε έναν νέο, ο οποίος είναι άνεργος, για να του εξαγοράσουν την ψήφο, με χρήματα του Ελληνικού λαού.",,"['26369123164.png', '84512325057.png', '20001785272.png', '97485005780.png', '67836774758.png']","Consider the expression: [ένα κομμάτι ψωμί] in the Greek language, and its meaning in context: [Και βέβαια, η νέα γενιά ζει αυτή την έννοια της διαφθοράς, γιατί τι άλλο είναι, παρά διαφθορά, όταν βλέπουμε ότι, πίσω από τα προγράμματα Stage, ουσιαστικά, πετάνε ένα κομμάτι ψωμί σε έναν νέο, ο οποίος είναι άνεργος, για να του εξαγοράσουν την ψήφο, με χρήματα του Ελληνικού λαού.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 2, 3]",1.4000067710876465
14,ένα κομμάτι ψωμί,"Στα καραβάνσαραϊ και τα κοινά συσσίτια ""Μία σούπα και ένα κομμάτι ψωμί "" είναι πάντα έτοιμα να προσφερθούν στον ξένο και στον οποιουδήποτε θρησκεύματος οδοιπόρο. Το πιο συχνό είδος ψωμιού είναι το άσπρο ψωμί.",,"['26369123164.png', '84512325057.png', '20001785272.png', '97485005780.png', '67836774758.png']","Consider the expression: [ένα κομμάτι ψωμί] in the Greek language, and its meaning in context: [Στα καραβάνσαραϊ και τα κοινά συσσίτια ""Μία σούπα και ένα κομμάτι ψωμί "" είναι πάντα έτοιμα να προσφερθούν στον ξένο και στον οποιουδήποτε θρησκεύματος οδοιπόρο. Το πιο συχνό είδος ψωμιού είναι το άσπρο ψωμί.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 4, 5]",1.1998474597930908
15,ένα κομμάτι ψωμί,"Βέβαια, για τότε ήταν σωστό, γιατί ο κόσμος υπέφερε.Δεν είχε να φάει ένα κομμάτι ψωμί και πέθαινε στους δρόμους από τις αρρώστιες.",,"['26369123164.png', '84512325057.png', '97485005780.png', '20001785272.png', '67836774758.png']","Consider the expression: [ένα κομμάτι ψωμί] in the Greek language, and its meaning in context: [Βέβαια, για τότε ήταν σωστό, γιατί ο κόσμος υπέφερε.Δεν είχε να φάει ένα κομμάτι ψωμί και πέθαινε στους δρόμους από τις αρρώστιες.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 2, 1, 5]",4.095245361328125
16,παρά τρίχα,Ένα λεωφορείο που μεταφέρει σχεδόν 50 άτομα αποφεύγει παρα τρίχα μια σύγκρουση στον αυτοκινητόδρομο M40 της Βρετανίας.,,"['51603346523.png', '66294543116.png', '41388627449.png', '15530872282.png', '88905004314.png']","Consider the expression: [παρά τρίχα] in the Greek language, and its meaning in context: [Ένα λεωφορείο που μεταφέρει σχεδόν 50 άτομα αποφεύγει παρα τρίχα μια σύγκρουση στον αυτοκινητόδρομο M40 της Βρετανίας.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 2, 5]",1.0121064186096191
17,παρά τρίχα,"Σαν σήμερα λοιπόν, τo καλοκαίρι του 1976, μόλις έχω ξεφορτώσει από την πλάτη μου το εξατάξιο, έχω περάσει την κεντρική πύλη στο πανεπιστήμιο, έχω παρα τρίχα γλυτώσει την αναρρόφηση από το μεθύσι που έκανα για να ""γλεντήσω"" την ""επιτυχία"" μου.",,"['51603346523.png', '66294543116.png', '41388627449.png', '15530872282.png', '88905004314.png']","Consider the expression: [παρά τρίχα] in the Greek language, and its meaning in context: [Σαν σήμερα λοιπόν, τo καλοκαίρι του 1976, μόλις έχω ξεφορτώσει από την πλάτη μου το εξατάξιο, έχω περάσει την κεντρική πύλη στο πανεπιστήμιο, έχω παρα τρίχα γλυτώσει την αναρρόφηση από το μεθύσι που έκανα για να ""γλεντήσω"" την ""επιτυχία"" μου.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 3, 2]",1.5245656967163086
18,παρά τρίχα,Καλύτερα να πέσει λίγη σάλτσα στο τραπεζομάντιλο παρά τρίχα στο φαγητό.,,"['51603346523.png', '66294543116.png', '41388627449.png', '15530872282.png', '88905004314.png']","Consider the expression: [παρά τρίχα] in the Greek language, and its meaning in context: [Καλύτερα να πέσει λίγη σάλτσα στο τραπεζομάντιλο παρά τρίχα στο φαγητό.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 2, 5]",1.0777788162231445
