id,nc,sent,rank label,rank pred,input,output,time
0,ajo nwa,"Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ",,"['80161706148.png', '49185389127.png', '81813372323.png', '92267796758.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 2, 3]",1.5012691020965576
1,ajo nwa,Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.,,"['92267796758.png', '81813372323.png', '49185389127.png', '80161706148.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 3, 5]",1.150517225265503
2,ajo nwa,X,,"['92267796758.png', '81813372323.png', '49185389127.png', '80161706148.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [X]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",1.2042973041534424
3,ajo nwa,X,,"['80161706148.png', '81813372323.png', '49185389127.png', '92267796758.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [X]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 1, 3]",1.174311637878418
4,imepe mmadu anya,Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.,,"['23916982432.png', '31868490484.png', '39906556596.png', '18730492705.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 4, 2, 5]",4.089874982833862
5,imepe mmadu anya,Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.,,"['23916982432.png', '31868490484.png', '39906556596.png', '18730492705.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 2, 4]",1.2030365467071533
6,imepe mmadu anya,Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.,,"['31868490484.png', '23916982432.png', '39906556596.png', '18730492705.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 3, 5, 1]",1.2069294452667236
7,imepe mmadu anya,Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.,,"['31868490484.png', '23916982432.png', '39906556596.png', '18730492705.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 3, 5, 2]",1.0636212825775146
8,ekwe ekwe,A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.,,"['97605358449.png', '54401168201.png', '42997552087.png', '76259458720.png', '36903150347.png']","Consider the expression: [ekwe ekwe] in the Igbo language, and its meaning in context: [A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",1.2638051509857178
9,ekwe ekwe,Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.,,"['54401168201.png', '97605358449.png', '42997552087.png', '36903150347.png', '76259458720.png']","Consider the expression: [ekwe ekwe] in the Igbo language, and its meaning in context: [Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 4, 3]",1.0142707824707031
