id,nc,sent,rank label,rank pred,input,output,time
0,ajo nwa,"Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ",,"['92267796758.png', '81813372323.png', '49185389127.png', '80161706148.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 4, 3]",1.2673556804656982
1,ajo nwa,Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.,,"['80161706148.png', '49185389127.png', '81813372323.png', '92267796758.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 4, 1, 5]",0.9435217380523682
2,ajo nwa,X,,"['80161706148.png', '49185389127.png', '81813372323.png', '92267796758.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [X]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 2, 4]",0.8647940158843994
3,ajo nwa,X,,"['49185389127.png', '92267796758.png', '80161706148.png', '81813372323.png', '41335452596.png']","Consider the expression: [ajo nwa] in the Igbo language, and its meaning in context: [X]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 2, 4, 3]",0.8172070980072021
4,imepe mmadu anya,Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.,,"['18730492705.png', '23916982432.png', '31868490484.png', '39906556596.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 3, 4, 5]",0.8801610469818115
5,imepe mmadu anya,Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.,,"['39906556596.png', '23916982432.png', '18730492705.png', '31868490484.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 1, 4]",0.8738608360290527
6,imepe mmadu anya,Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.,,"['23916982432.png', '31868490484.png', '39906556596.png', '18730492705.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 5, 1]",0.9147286415100098
7,imepe mmadu anya,Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.,,"['39906556596.png', '23916982432.png', '31868490484.png', '18730492705.png', '22518588216.png']","Consider the expression: [imepe mmadu anya] in the Igbo language, and its meaning in context: [Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 1, 5, 2]",1.0100924968719482
8,ekwe ekwe,A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.,,"['42997552087.png', '54401168201.png', '97605358449.png', '36903150347.png', '76259458720.png']","Consider the expression: [ekwe ekwe] in the Igbo language, and its meaning in context: [A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 4, 3]",0.9044320583343506
9,ekwe ekwe,Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.,,"['97605358449.png', '54401168201.png', '42997552087.png', '36903150347.png', '76259458720.png']","Consider the expression: [ekwe ekwe] in the Igbo language, and its meaning in context: [Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",0.7969553470611572
10,ekwe ekwe,X,,"['97605358449.png', '36903150347.png', '76259458720.png', '54401168201.png', '42997552087.png']","Consider the expression: [ekwe ekwe] in the Igbo language, and its meaning in context: [X]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 5, 4]",0.7670204639434814
11,ekwe ekwe,X,,"['97605358449.png', '36903150347.png', '54401168201.png', '42997552087.png', '76259458720.png']","Consider the expression: [ekwe ekwe] in the Igbo language, and its meaning in context: [X]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 4, 1]",1.0130302906036377
12,ego ojoo,Nnyocha nke BBC African Eye mere na mba Kenya egosila etu ndị ekperima na-atụ mgbere mmadụ si eji ndị nwere nkwarụ akpa ego ọjọọ.,,"['82768287236.png', '62578963641.png', '24439614580.png', '78779843957.png', '13003845196.png']","Consider the expression: [ego ojoo] in the Igbo language, and its meaning in context: [Nnyocha nke BBC African Eye mere na mba Kenya egosila etu ndị ekperima na-atụ mgbere mmadụ si eji ndị nwere nkwarụ akpa ego ọjọọ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",1.79539155960083
13,ego ojoo,"Ọ bụrụ na i lee anya n’obodo anyị, ị ga-ahụ na ndị niile kpara ego ọjọọ nwụchuru anwuchu tinyekwara na ụmụ ha enweghị nke bara uru.",,"['82768287236.png', '62578963641.png', '24439614580.png', '78779843957.png', '13003845196.png']","Consider the expression: [ego ojoo] in the Igbo language, and its meaning in context: [Ọ bụrụ na i lee anya n’obodo anyị, ị ga-ahụ na ndị niile kpara ego ọjọọ nwụchuru anwuchu tinyekwara na ụmụ ha enweghị nke bara uru.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 2, 1]",0.8450956344604492
14,ego ojoo,"Mgbe m nyere Ekene ego m ji ya, o kwuru na ego ọjọọ dị n’ime ya.",,"['78779843957.png', '24439614580.png', '82768287236.png', '62578963641.png', '13003845196.png']","Consider the expression: [ego ojoo] in the Igbo language, and its meaning in context: [Mgbe m nyere Ekene ego m ji ya, o kwuru na ego ọjọọ dị n’ime ya.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 2, 1]",1.8570268154144287
15,ego ojoo,Ndị ahịa na-atụ egwu ịnakọta ego ọjọọ n’ihi na ọ na-ahịa ahụ tupu ha emefuo ya.,,"['82768287236.png', '62578963641.png', '24439614580.png', '78779843957.png', '13003845196.png']","Consider the expression: [ego ojoo] in the Igbo language, and its meaning in context: [Ndị ahịa na-atụ egwu ịnakọta ego ọjọọ n’ihi na ọ na-ahịa ahụ tupu ha emefuo ya.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 3, 2, 4]",1.1996421813964844
16,ihe odachi,Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi,,"['72048510822.png', '72678720936.png', '23945126892.png', '67899619804.png', '52940650045.png']","Consider the expression: [ihe odachi] in the Igbo language, and its meaning in context: [Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",2.3249406814575195
17,ihe odachi,Ihe ọdachi ataala isi mmadụ 31 n'emume ụka na Rivas steeti,,"['72048510822.png', '72678720936.png', '67899619804.png', '23945126892.png', '52940650045.png']","Consider the expression: [ihe odachi] in the Igbo language, and its meaning in context: [Ihe ọdachi ataala isi mmadụ 31 n'emume ụka na Rivas steeti]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 2, 4]",0.9940896034240723
18,ihe odachi,"Ozugbo anyị nya ụgbọala anyị na-aga Aba, anyị hụrụ ihe ọdachi n’okporoụzọ ahụ ndị agha na-anọ.",,"['72048510822.png', '72678720936.png', '67899619804.png', '52940650045.png', '23945126892.png']","Consider the expression: [ihe odachi] in the Igbo language, and its meaning in context: [Ozugbo anyị nya ụgbọala anyị na-aga Aba, anyị hụrụ ihe ọdachi n’okporoụzọ ahụ ndị agha na-anọ.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 5, 3]",0.7151334285736084
