id,nc,sent,rank label,rank pred,input,output,time
0,үлкен адам,"Тойда айтылатын батаның жөні бір басқа. Ал жақсы тілектің жөні бөлек. Бата беруші адам, әдетте, оны батагөй деп атайды, ел-жұртқа сыйлы, жолы үлкен адам болуға тиіс",,"['94317680559.png', '86791644754.png', '86579821908.png', '52786225293.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Тойда айтылатын батаның жөні бір басқа. Ал жақсы тілектің жөні бөлек. Бата беруші адам, әдетте, оны батагөй деп атайды, ел-жұртқа сыйлы, жолы үлкен адам болуға тиіс]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",1.755824089050293
1,үлкен адам,"Еліне елеулі, халқына қалаулы адам. Ойқастаған жақсы атпен Орта жолда қалмайсың. Кішігірім мақсатпен Үлкен адам болмайсың!",,"['86579821908.png', '94317680559.png', '52786225293.png', '86791644754.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Еліне елеулі, халқына қалаулы адам. Ойқастаған жақсы атпен Орта жолда қалмайсың. Кішігірім мақсатпен Үлкен адам болмайсың!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 3, 2]",3.2373623847961426
2,үлкен адам,Үндістанның солтүстігіндегі Варанаси қаласының тұрғыны Махашта Мураси «Тарихтағы жасы ең үлкен адам» ретінде Гиннестің рекордтар кітабына тіркелді,,"['52786225293.png', '86579821908.png', '86791644754.png', '94317680559.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Үндістанның солтүстігіндегі Варанаси қаласының тұрғыны Махашта Мураси «Тарихтағы жасы ең үлкен адам» ретінде Гиннестің рекордтар кітабына тіркелді]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 3, 2, 4]",1.3693487644195557
3,үлкен адам,"Көшеде бір үлкен адам кішкентай баланың қолынан ұстап, жолдан өткізіп жатыр.",,"['94317680559.png', '52786225293.png', '86579821908.png', '86791644754.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Көшеде бір үлкен адам кішкентай баланың қолынан ұстап, жолдан өткізіп жатыр.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 2, 3, 1]",1.2037463188171387
4,қара жәшік,"Біраз уақыт бойы экономикалық зерттеулерде «ұйым» термині кірісінде шығындар, ал шығысында өнім болатын қара жәшік ретінде қарастырылып келді.",,"['27995793943.png', '51734977089.png', '45331824473.png', '39756309364.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Біраз уақыт бойы экономикалық зерттеулерде «ұйым» термині кірісінде шығындар, ал шығысында өнім болатын қара жәшік ретінде қарастырылып келді.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 2, 3]",5.242315769195557
5,қара жәшік,"Қазір менің міндетім — агрессияға бейім адамдарды зерттеу, өйткені олар мен үшін әзірге қара жәшік іспетті.",,"['27995793943.png', '51734977089.png', '28577472129.png', '39756309364.png', '45331824473.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Қазір менің міндетім — агрессияға бейім адамдарды зерттеу, өйткені олар мен үшін әзірге қара жәшік іспетті.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 3, 4, 5]",1.1271800994873047
6,қара жәшік,"Отқа жанбайтын, суға батпайтын: ұшақтағы қара жәшік әуе апаты кезінде сақталып қалу үшін арнайы жасалады.",,"['51734977089.png', '27995793943.png', '39756309364.png', '45331824473.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Отқа жанбайтын, суға батпайтын: ұшақтағы қара жәшік әуе апаты кезінде сақталып қалу үшін арнайы жасалады.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 2, 3, 5]",1.5201401710510254
7,қара жәшік,Кеше түнгі сағат 1-де өткен жылдың 6 желтоқсанында Хабаров өлкесінде апатқа ұшыраған ТУ-154 ұшағының апат орнынан дыбыстық қара жәшік табылды,,"['51734977089.png', '27995793943.png', '39756309364.png', '45331824473.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Кеше түнгі сағат 1-де өткен жылдың 6 желтоқсанында Хабаров өлкесінде апатқа ұшыраған ТУ-154 ұшағының апат орнынан дыбыстық қара жәшік табылды]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",1.85599946975708
8,ауыз толмас,"Ауылдың жаңа мектебі туралы жұрт мақтап айтып жатыр, бірақ шын мәнінде ол мақтауға ауыз толмас — әлі талай кемшілігі бар",,"['76088110691.png', '55140747653.png', '28297034462.png', '51557729344.png', '75436449935.png']","Consider the expression: [ауыз толмас] in the Kazakh language, and its meaning in context: [Ауылдың жаңа мектебі туралы жұрт мақтап айтып жатыр, бірақ шын мәнінде ол мақтауға ауыз толмас — әлі талай кемшілігі бар]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 2, 5]",1.0225176811218262
9,ауыз толмас,"Оның айтқан уәдесі мен істеген ісінің арасындағы айырмашылық сондай үлкен, бұл жөнінде ауыз толмас айтуға.",,"['76088110691.png', '55140747653.png', '28297034462.png', '51557729344.png', '75436449935.png']","Consider the expression: [ауыз толмас] in the Kazakh language, and its meaning in context: [Оның айтқан уәдесі мен істеген ісінің арасындағы айырмашылық сондай үлкен, бұл жөнінде ауыз толмас айтуға.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",2.818054676055908
