id,nc,sent,rank label,rank pred,input,output,time
0,үлкен адам,"Тойда айтылатын батаның жөні бір басқа. Ал жақсы тілектің жөні бөлек. Бата беруші адам, әдетте, оны батагөй деп атайды, ел-жұртқа сыйлы, жолы үлкен адам болуға тиіс",,"['94317680559.png', '86791644754.png', '86579821908.png', '52786225293.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Тойда айтылатын батаның жөні бір басқа. Ал жақсы тілектің жөні бөлек. Бата беруші адам, әдетте, оны батагөй деп атайды, ел-жұртқа сыйлы, жолы үлкен адам болуға тиіс]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",1.6095635890960693
1,үлкен адам,"Еліне елеулі, халқына қалаулы адам. Ойқастаған жақсы атпен Орта жолда қалмайсың. Кішігірім мақсатпен Үлкен адам болмайсың!",,"['94317680559.png', '86579821908.png', '86791644754.png', '52786225293.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Еліне елеулі, халқына қалаулы адам. Ойқастаған жақсы атпен Орта жолда қалмайсың. Кішігірім мақсатпен Үлкен адам болмайсың!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 1, 2]",0.8587408065795898
2,үлкен адам,Үндістанның солтүстігіндегі Варанаси қаласының тұрғыны Махашта Мураси «Тарихтағы жасы ең үлкен адам» ретінде Гиннестің рекордтар кітабына тіркелді,,"['82853500194.png', '86579821908.png', '94317680559.png', '52786225293.png', '86791644754.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Үндістанның солтүстігіндегі Варанаси қаласының тұрғыны Махашта Мураси «Тарихтағы жасы ең үлкен адам» ретінде Гиннестің рекордтар кітабына тіркелді]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 2, 1, 3]",0.7073743343353271
3,үлкен адам,"Көшеде бір үлкен адам кішкентай баланың қолынан ұстап, жолдан өткізіп жатыр.",,"['86791644754.png', '94317680559.png', '52786225293.png', '86579821908.png', '82853500194.png']","Consider the expression: [үлкен адам] in the Kazakh language, and its meaning in context: [Көшеде бір үлкен адам кішкентай баланың қолынан ұстап, жолдан өткізіп жатыр.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 2, 1]",0.7638442516326904
4,қара жәшік,"Біраз уақыт бойы экономикалық зерттеулерде «ұйым» термині кірісінде шығындар, ал шығысында өнім болатын қара жәшік ретінде қарастырылып келді.",,"['51734977089.png', '27995793943.png', '45331824473.png', '39756309364.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Біраз уақыт бойы экономикалық зерттеулерде «ұйым» термині кірісінде шығындар, ал шығысында өнім болатын қара жәшік ретінде қарастырылып келді.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 2, 3]",0.9163954257965088
5,қара жәшік,"Қазір менің міндетім — агрессияға бейім адамдарды зерттеу, өйткені олар мен үшін әзірге қара жәшік іспетті.",,"['27995793943.png', '51734977089.png', '39756309364.png', '45331824473.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Қазір менің міндетім — агрессияға бейім адамдарды зерттеу, өйткені олар мен үшін әзірге қара жәшік іспетті.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 5, 3]",0.8847005367279053
6,қара жәшік,"Отқа жанбайтын, суға батпайтын: ұшақтағы қара жәшік әуе апаты кезінде сақталып қалу үшін арнайы жасалады.",,"['27995793943.png', '51734977089.png', '39756309364.png', '45331824473.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Отқа жанбайтын, суға батпайтын: ұшақтағы қара жәшік әуе апаты кезінде сақталып қалу үшін арнайы жасалады.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 3, 5]",1.414158821105957
7,қара жәшік,Кеше түнгі сағат 1-де өткен жылдың 6 желтоқсанында Хабаров өлкесінде апатқа ұшыраған ТУ-154 ұшағының апат орнынан дыбыстық қара жәшік табылды,,"['51734977089.png', '27995793943.png', '39756309364.png', '45331824473.png', '28577472129.png']","Consider the expression: [қара жәшік] in the Kazakh language, and its meaning in context: [Кеше түнгі сағат 1-де өткен жылдың 6 желтоқсанында Хабаров өлкесінде апатқа ұшыраған ТУ-154 ұшағының апат орнынан дыбыстық қара жәшік табылды]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",0.8011753559112549
8,ауыз толмас,"Ауылдың жаңа мектебі туралы жұрт мақтап айтып жатыр, бірақ шын мәнінде ол мақтауға ауыз толмас — әлі талай кемшілігі бар",,"['76088110691.png', '55140747653.png', '28297034462.png', '51557729344.png', '75436449935.png']","Consider the expression: [ауыз толмас] in the Kazakh language, and its meaning in context: [Ауылдың жаңа мектебі туралы жұрт мақтап айтып жатыр, бірақ шын мәнінде ол мақтауға ауыз толмас — әлі талай кемшілігі бар]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 2, 5]",1.1686904430389404
9,ауыз толмас,"Оның айтқан уәдесі мен істеген ісінің арасындағы айырмашылық сондай үлкен, бұл жөнінде ауыз толмас айтуға.",,"['76088110691.png', '55140747653.png', '51557729344.png', '75436449935.png', '28297034462.png']","Consider the expression: [ауыз толмас] in the Kazakh language, and its meaning in context: [Оның айтқан уәдесі мен істеген ісінің арасындағы айырмашылық сондай үлкен, бұл жөнінде ауыз толмас айтуға.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 1, 3]",0.9094774723052979
10,қыл көпір,"Дәрігерлердің уақтылы келгенінің арқасында науқас қыл көпірінен өтті, енді жағдайы тұрақталып келеді.",,"['83618073029.png', '61929460088.png', '13778178440.png', '85266961667.png', '65600002830.png']","Consider the expression: [қыл көпір] in the Kazakh language, and its meaning in context: [Дәрігерлердің уақтылы келгенінің арқасында науқас қыл көпірінен өтті, енді жағдайы тұрақталып келеді.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 5, 2, 1]",1.1896016597747803
11,қыл көпір,Таудағы боран кезінде альпинистердің өмірі қыл көпірінің үстінде тұрғандай болды — бір қате қадам ажалға апарар еді.,,"['13778178440.png', '65600002830.png', '85266961667.png', '61929460088.png', '83618073029.png']","Consider the expression: [қыл көпір] in the Kazakh language, and its meaning in context: [Таудағы боран кезінде альпинистердің өмірі қыл көпірінің үстінде тұрғандай болды — бір қате қадам ажалға апарар еді.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 4, 5, 2]",1.5716028213500977
12,дьяволдың адвокаты,"Бұл бөлімде дьяволдың адвокаты отанымыздың негізгі кемшіліктерін атайды: ұзақ қыс пен құрғақ жазды қоса алғандағы жаман климат, астанасы батпаққа салынған ел, жақсы жолдардың аздығы, халықтың санитарлық жағдайының өте нашарлығы, түрлі аурулар, кедейлердің артта қалғандығы мен білімсіздігі, орта таптың бейқамдығы мен ұқыпсыздығы, хулигандық пен зорлық-зомбылықтың қалыпты жағдайға айналуы, адам өлтіру, қорлау, жарақаттау ештеңе емес деп саналатын қоғам.",,"['35124338209.png', '54726299083.png', '50483221339.png', '95301849340.png', '56228636315.png']","Consider the expression: [дьяволдың адвокаты] in the Kazakh language, and its meaning in context: [Бұл бөлімде дьяволдың адвокаты отанымыздың негізгі кемшіліктерін атайды: ұзақ қыс пен құрғақ жазды қоса алғандағы жаман климат, астанасы батпаққа салынған ел, жақсы жолдардың аздығы, халықтың санитарлық жағдайының өте нашарлығы, түрлі аурулар, кедейлердің артта қалғандығы мен білімсіздігі, орта таптың бейқамдығы мен ұқыпсыздығы, хулигандық пен зорлық-зомбылықтың қалыпты жағдайға айналуы, адам өлтіру, қорлау, жарақаттау ештеңе емес деп саналатын қоғам.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 3, 1, 5]",0.8340659141540527
13,дьяволдың адвокаты,"Генерал ішінен күнә жасаушылардың жағына өткен еді де, дьяволдың адвокаты сияқты, өздерінің соңғы дұшпандарын ақтауға тырысты.",,"['35124338209.png', '50483221339.png', '54726299083.png', '56228636315.png', '95301849340.png']","Consider the expression: [дьяволдың адвокаты] in the Kazakh language, and its meaning in context: [Генерал ішінен күнә жасаушылардың жағына өткен еді де, дьяволдың адвокаты сияқты, өздерінің соңғы дұшпандарын ақтауға тырысты.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 3, 4]",0.7224936485290527
