id,nc,sent,rank label,rank pred,input,output,time
0,maçã podre,"Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.",,"['16660779932.png', '34874126691.png', '35554280092.png', '16966577563.png', '75046314309.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",1.2883987426757812
1,maçã podre,Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.,,"['16660779932.png', '34874126691.png', '35554280092.png', '16966577563.png', '75046314309.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 2, 3, 4]",1.2070622444152832
2,maçã podre,"Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.",,"['16660779932.png', '34874126691.png', '35554280092.png', '75046314309.png', '16966577563.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 4, 5, 3]",0.7257909774780273
3,maçã podre,"O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.",,"['16660779932.png', '34874126691.png', '35554280092.png', '75046314309.png', '16966577563.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 4, 1]",0.6956400871276855
4,abrir os olhos de alguém,"A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.",,"['75058943574.png', '97760689506.png', '33542798360.png', '60488754184.png', '15430599019.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 5, 2, 1]",0.824791431427002
5,abrir os olhos de alguém,"Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.",,"['97760689506.png', '33542798360.png', '75058943574.png', '60488754184.png', '15430599019.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 4, 5]",0.7463600635528564
6,abrir os olhos de alguém,"Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.",,"['75058943574.png', '60488754184.png', '15430599019.png', '97760689506.png', '33542798360.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 4, 1]",0.8319699764251709
7,abrir os olhos de alguém,"Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.",,"['75058943574.png', '60488754184.png', '15430599019.png', '97760689506.png', '33542798360.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 3, 2]",2.4104058742523193
8,peixe grande,"Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde",,"['11214589872.png', '43848607951.png', '67287810730.png', '12938574974.png', '23992937200.png']","Consider the expression: [peixe grande] in the Portuguese (Brazil) language, and its meaning in context: [Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 2, 3]",1.0540962219238281
9,peixe grande,"Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.",,"['43848607951.png', '12938574974.png', '11214589872.png', '23992937200.png', '67287810730.png']","Consider the expression: [peixe grande] in the Portuguese (Brazil) language, and its meaning in context: [Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 1, 4]",1.0220987796783447
