id,nc,sent,rank label,rank pred,input,output,time
0,maçã podre,"Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.",,"['16660779932.png', '34874126691.png', '35554280092.png', '16966577563.png', '75046314309.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",1.5160863399505615
1,maçã podre,Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.,,"['16660779932.png', '34874126691.png', '35554280092.png', '75046314309.png', '16966577563.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 2, 4, 3]",0.8426148891448975
2,maçã podre,"Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.",,"['16660779932.png', '35554280092.png', '34874126691.png', '75046314309.png', '16966577563.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 5, 3]",0.9605288505554199
3,maçã podre,"O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.",,"['16660779932.png', '34874126691.png', '35554280092.png', '16966577563.png', '75046314309.png']","Consider the expression: [maçã podre] in the Portuguese (Brazil) language, and its meaning in context: [O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 1, 4]",2.3573076725006104
4,abrir os olhos de alguém,"A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.",,"['75058943574.png', '97760689506.png', '15430599019.png', '33542798360.png', '60488754184.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 5, 2]",1.1925320625305176
5,abrir os olhos de alguém,"Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.",,"['75058943574.png', '15430599019.png', '97760689506.png', '33542798360.png', '60488754184.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 3, 4]",0.7780094146728516
6,abrir os olhos de alguém,"Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.",,"['75058943574.png', '97760689506.png', '15430599019.png', '60488754184.png', '33542798360.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 2, 3, 1]",1.0591721534729004
7,abrir os olhos de alguém,"Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.",,"['75058943574.png', '60488754184.png', '15430599019.png', '97760689506.png', '33542798360.png']","Consider the expression: [abrir os olhos de alguém] in the Portuguese (Brazil) language, and its meaning in context: [Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 3, 2]",1.5753047466278076
8,peixe grande,"Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde",,"['43848607951.png', '67287810730.png', '11214589872.png', '12938574974.png', '23992937200.png']","Consider the expression: [peixe grande] in the Portuguese (Brazil) language, and its meaning in context: [Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 2, 3]",0.9041604995727539
9,peixe grande,"Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.",,"['43848607951.png', '67287810730.png', '11214589872.png', '12938574974.png', '23992937200.png']","Consider the expression: [peixe grande] in the Portuguese (Brazil) language, and its meaning in context: [Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 3, 2, 1]",1.0572340488433838
