id,nc,sent,rank label,rank pred,input,output,time
0,peixe graúdo,"Europol defende urgência de apanhar ""peixe graúdo"" que controla venda de droga pela Internet.",,"['48225028045.png', '61269997251.png', '57692956477.png', '43070313303.png', '64197116511.png']","Consider the expression: [peixe graúdo] in the Portuguese (Portugal) language, and its meaning in context: [Europol defende urgência de apanhar ""peixe graúdo"" que controla venda de droga pela Internet.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 2, 3]",7.323171377182007
1,peixe graúdo,"Mas quando temos ""peixe graúdo"" como um presidente da República, um primeiro-ministro, ministros e deputados da nação a falar e a escrever tão mal, nas páginas oficiais e nas suas redes sociais, esperar o quê  dos ""mexilhões""?",,"['48225028045.png', '61269997251.png', '43070313303.png', '57692956477.png', '64197116511.png']","Consider the expression: [peixe graúdo] in the Portuguese (Portugal) language, and its meaning in context: [Mas quando temos ""peixe graúdo"" como um presidente da República, um primeiro-ministro, ministros e deputados da nação a falar e a escrever tão mal, nas páginas oficiais e nas suas redes sociais, esperar o quê  dos ""mexilhões""?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",1.1100032329559326
2,peixe graúdo,"Quando finalmente esticou a espinha e as barbatanas ganharam tamanho de peixe graúdo, os pais levaram o carapau ao mercado para escolher o que tanto ansiava.",,"['48225028045.png', '61269997251.png', '64197116511.png', '57692956477.png', '43070313303.png']","Consider the expression: [peixe graúdo] in the Portuguese (Portugal) language, and its meaning in context: [Quando finalmente esticou a espinha e as barbatanas ganharam tamanho de peixe graúdo, os pais levaram o carapau ao mercado para escolher o que tanto ansiava.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 3, 4]",4.289427280426025
3,peixe graúdo,"Manuel Santos, de 53 anos, só vende peixe graúdo na praça, portanto mais caro.",,"['48225028045.png', '61269997251.png', '64197116511.png', '43070313303.png', '57692956477.png']","Consider the expression: [peixe graúdo] in the Portuguese (Portugal) language, and its meaning in context: [Manuel Santos, de 53 anos, só vende peixe graúdo na praça, portanto mais caro.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",3.8720717430114746
4,abrir os olhos a alguém,"Ergueu-se hoje uma geração de homens novos e cultos, prontos a todos os sacrifícios e abnegações, que em boa hora se propuseram  abrir os olhos ao povo desgraçado .",,"['83069082657.png', '50292592272.png', '40306563175.png', '53901201702.png', '47088745665.png']","Consider the expression: [abrir os olhos a alguém] in the Portuguese (Portugal) language, and its meaning in context: [Ergueu-se hoje uma geração de homens novos e cultos, prontos a todos os sacrifícios e abnegações, que em boa hora se propuseram  abrir os olhos ao povo desgraçado .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 2, 4]",3.5835492610931396
5,abrir os olhos a alguém,"E , pelos vistos , estes dois exemplos parecem não ter sido suficientes para abrir os olhos a uma classe empresarial e política cega com a convergência económica e monetária.",,"['47088745665.png', '40306563175.png', '83069082657.png', '50292592272.png', '53901201702.png']","Consider the expression: [abrir os olhos a alguém] in the Portuguese (Portugal) language, and its meaning in context: [E , pelos vistos , estes dois exemplos parecem não ter sido suficientes para abrir os olhos a uma classe empresarial e política cega com a convergência económica e monetária.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 5, 4, 1]",1.1861162185668945
6,abrir os olhos a alguém,"Explicou que foi ao pé do doente, na maca, vê-o prostrado, não reactivo, inconsciente, abriu-lhe os olhos quando estava na maca, não reagiu.",,"['83069082657.png', '47088745665.png', '40306563175.png', '50292592272.png', '53901201702.png']","Consider the expression: [abrir os olhos a alguém] in the Portuguese (Portugal) language, and its meaning in context: [Explicou que foi ao pé do doente, na maca, vê-o prostrado, não reactivo, inconsciente, abriu-lhe os olhos quando estava na maca, não reagiu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",4.278993606567383
7,abrir os olhos a alguém,O médico abriu os olhos ao paciente para verificar se as pupilas reagiam à luz.,,"['83069082657.png', '47088745665.png', '50292592272.png', '40306563175.png', '53901201702.png']","Consider the expression: [abrir os olhos a alguém] in the Portuguese (Portugal) language, and its meaning in context: [O médico abriu os olhos ao paciente para verificar se as pupilas reagiam à luz.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 4, 5, 1]",1.154829978942871
8,caixa negra,"O objetivo da caixa negra é permitir a reconstituição em caso de acidente rodoviário, facilitando o apuramento de responsabilidades.",,"['12475306515.png', '84280494006.png', '94319101158.png', '64041232739.png', '39560184345.png']","Consider the expression: [caixa negra] in the Portuguese (Portugal) language, and its meaning in context: [O objetivo da caixa negra é permitir a reconstituição em caso de acidente rodoviário, facilitando o apuramento de responsabilidades.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",4.768117189407349
9,caixa negra,"Todos usavam o método de pensamento caixa negra, ou seja, estes pensadores não têm medo de assumir erros.",,"['84280494006.png', '12475306515.png', '94319101158.png', '64041232739.png', '39560184345.png']","Consider the expression: [caixa negra] in the Portuguese (Portugal) language, and its meaning in context: [Todos usavam o método de pensamento caixa negra, ou seja, estes pensadores não têm medo de assumir erros.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",1.2066667079925537
