id,nc,sent,rank label,rank pred,input,output,time
0,peixe graúdo,"Europol defende urgência de apanhar ""peixe graúdo"" que controla venda de droga pela Internet.",,"['48225028045.png', '61269997251.png', '57692956477.png', '64197116511.png', '43070313303.png']","Consider the expression: [peixe graúdo] in the Portuguese (Portugal) language, and its meaning in context: [Europol defende urgência de apanhar ""peixe graúdo"" que controla venda de droga pela Internet.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 3, 2]",1.551586627960205
1,peixe graúdo,"Mas quando temos ""peixe graúdo"" como um presidente da República, um primeiro-ministro, ministros e deputados da nação a falar e a escrever tão mal, nas páginas oficiais e nas suas redes sociais, esperar o quê  dos ""mexilhões""?",,"['48225028045.png', '61269997251.png', '43070313303.png', '57692956477.png', '64197116511.png']","Consider the expression: [peixe graúdo] in the Portuguese (Portugal) language, and its meaning in context: [Mas quando temos ""peixe graúdo"" como um presidente da República, um primeiro-ministro, ministros e deputados da nação a falar e a escrever tão mal, nas páginas oficiais e nas suas redes sociais, esperar o quê  dos ""mexilhões""?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",0.9381349086761475
94,relógio biológico,"Físicos e biólogos desenvolvem métodos para investigar não só os mecanismos de orientação de algumas aves mas o fenómeno que faz cada espécie ""sentir"" o momento da migração, falando-se de um relógio biológico acionado  por qualquer hormona produzida à custa da acumulação de energia solar.",,"['83429263042.png', '36489092059.png', '12807698276.png', '64370280935.png', '77356987551.png']","Consider the expression: [relógio biológico] in the Portuguese (Portugal) language, and its meaning in context: [Físicos e biólogos desenvolvem métodos para investigar não só os mecanismos de orientação de algumas aves mas o fenómeno que faz cada espécie ""sentir"" o momento da migração, falando-se de um relógio biológico acionado  por qualquer hormona produzida à custa da acumulação de energia solar.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 1, 4, 2]",0.8195531368255615
95,relógio biológico,"Antes da invenção da electricidade, o homem seguia o ritmo da natureza e o relógio biológico para dormir.",,"['83429263042.png', '36489092059.png', '12807698276.png', '64370280935.png', '77356987551.png']","Consider the expression: [relógio biológico] in the Portuguese (Portugal) language, and its meaning in context: [Antes da invenção da electricidade, o homem seguia o ritmo da natureza e o relógio biológico para dormir.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 3, 2]",1.0774106979370117
96,mercado negro,Muitos géneros de primeira necessidade começam a faltar e só se encontram no mercado negro a preços escandalosos.,,"['87322611899.png', '46822265048.png', '60973785974.png', '50572771159.png', '37648111201.png']","Consider the expression: [mercado negro] in the Portuguese (Portugal) language, and its meaning in context: [Muitos géneros de primeira necessidade começam a faltar e só se encontram no mercado negro a preços escandalosos.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 1, 4]",1.6705541610717773
97,mercado negro,"Portugal está nestas condições, como o evidencia o aumento da inflação, do endividamento externo, do desemprego, da escassez de géneros e produtos, do mercado negro e do contrabando de toda a espécie.",,"['87322611899.png', '46822265048.png', '37648111201.png', '60973785974.png', '50572771159.png']","Consider the expression: [mercado negro] in the Portuguese (Portugal) language, and its meaning in context: [Portugal está nestas condições, como o evidencia o aumento da inflação, do endividamento externo, do desemprego, da escassez de géneros e produtos, do mercado negro e do contrabando de toda a espécie.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",0.8222203254699707
98,mercado negro,"No dia de luto nacional, via-se o mercado negro, coberto por panos escuros, para homenagear o falecido.",,"['87322611899.png', '46822265048.png', '37648111201.png', '60973785974.png', '50572771159.png']","Consider the expression: [mercado negro] in the Portuguese (Portugal) language, and its meaning in context: [No dia de luto nacional, via-se o mercado negro, coberto por panos escuros, para homenagear o falecido.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",1.061929702758789
99,mercado negro,"O incêndio tinha deixado o mercado negro, coberto pela fuligem.",,"['87322611899.png', '46822265048.png', '60973785974.png', '50572771159.png', '37648111201.png']","Consider the expression: [mercado negro] in the Portuguese (Portugal) language, and its meaning in context: [O incêndio tinha deixado o mercado negro, coberto pela fuligem.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 5, 4, 1]",0.8004169464111328
100,ovelha negra,"O seu Governo encaminha-se agora para tirar o Brasil da situação de ovelha negra da América Latina, onde a Argentina, o Chile e até a empobrecida Bolívia desdenhavam as indefinições da maior economia da região.",,"['87834236171.png', '97496931146.png', '61915532273.png', '71640816575.png', '97835705949.png']","Consider the expression: [ovelha negra] in the Portuguese (Portugal) language, and its meaning in context: [O seu Governo encaminha-se agora para tirar o Brasil da situação de ovelha negra da América Latina, onde a Argentina, o Chile e até a empobrecida Bolívia desdenhavam as indefinições da maior economia da região.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 4, 5, 3]",1.1842799186706543
110,coração de manteiga,Só precisas de um molde de coração e podes fazer uma pilha de bolachas de coração de manteiga.,,"['78181843516.png', '35370847158.png', '21063027363.png', '13965446854.png', '79756029874.png']","Consider the expression: [coração de manteiga] in the Portuguese (Portugal) language, and its meaning in context: [Só precisas de um molde de coração e podes fazer uma pilha de bolachas de coração de manteiga.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",0.8320784568786621
111,coração de manteiga,"Além disso, o butirro tem uma crosta fina e brilhante, que contém um coração de manteiga mais ou menos leve, dependendo do tempo de cura.",,"['35370847158.png', '78181843516.png', '21063027363.png', '13965446854.png', '79756029874.png']","Consider the expression: [coração de manteiga] in the Portuguese (Portugal) language, and its meaning in context: [Além disso, o butirro tem uma crosta fina e brilhante, que contém um coração de manteiga mais ou menos leve, dependendo do tempo de cura.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 2, 1, 5]",1.8681938648223877
112,beco sem saída,"É evidente que se está a tentar empurrar a classe operária e os trabalhadores deste país para uma situação de impasse e de beco sem saída, de que os trabalhadores serão as primeiras vítimas.",,"['23018037077.png', '35834825743.png', '14537889193.png', '54758776435.png', '45397293035.png']","Consider the expression: [beco sem saída] in the Portuguese (Portugal) language, and its meaning in context: [É evidente que se está a tentar empurrar a classe operária e os trabalhadores deste país para uma situação de impasse e de beco sem saída, de que os trabalhadores serão as primeiras vítimas.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 3, 2]",0.886713981628418
113,beco sem saída,Esta Assembleia e o Governo concluem que o actual sistema político e económico é um beco sem saída e uma marcha para o abismo sem hipótese de regresso.,,"['23018037077.png', '35834825743.png', '14537889193.png', '45397293035.png', '54758776435.png']","Consider the expression: [beco sem saída] in the Portuguese (Portugal) language, and its meaning in context: [Esta Assembleia e o Governo concluem que o actual sistema político e económico é um beco sem saída e uma marcha para o abismo sem hipótese de regresso.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 5, 3]",0.865790843963623
114,beco sem saída,"Situada num beco sem saída, a propriedade fica perto de tudo, a 5 minutos de Loulé e a 10 minutos do aeroporto.",,"['35834825743.png', '23018037077.png', '14537889193.png', '54758776435.png', '45397293035.png']","Consider the expression: [beco sem saída] in the Portuguese (Portugal) language, and its meaning in context: [Situada num beco sem saída, a propriedade fica perto de tudo, a 5 minutos de Loulé e a 10 minutos do aeroporto.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 1, 5, 2]",0.8276355266571045
127,bicho de sete cabeças,"No conto que li ontem, havia um monstro, um bicho de sete cabeças que atacava as pessoas que entravam na floresta.",,"['27412249863.png', '66292920104.png', '92908011975.png', '83521371445.png', '10941935429.png']","Consider the expression: [bicho de sete cabeças] in the Portuguese (Portugal) language, and its meaning in context: [No conto que li ontem, havia um monstro, um bicho de sete cabeças que atacava as pessoas que entravam na floresta.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 3, 4, 2]",1.1102006435394287
128,quebra-cabeças,Será que a oposição pretendeu oferecer-nos um quebra-cabeças para decifrar?,,"['66342145356.png', '85968650625.png', '56503889965.png', '41452805724.png', '73782878943.png']","Consider the expression: [quebra-cabeças] in the Portuguese (Portugal) language, and its meaning in context: [Será que a oposição pretendeu oferecer-nos um quebra-cabeças para decifrar?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 3, 2, 5]",1.1074552536010742
129,quebra-cabeças,"Quanto ao outro quebra-cabeças com que os organizadores vão ter que se confrontar, o da segurança, está ""tranquilo"".",,"['85968650625.png', '41452805724.png', '66342145356.png', '56503889965.png', '73782878943.png']","Consider the expression: [quebra-cabeças] in the Portuguese (Portugal) language, and its meaning in context: [Quanto ao outro quebra-cabeças com que os organizadores vão ter que se confrontar, o da segurança, está ""tranquilo"".]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",1.2796669006347656
130,quebra-cabeças,Ele é conhecido por ser violento e quebra cabeças regularmente no bar que frequenta à noite.,,"['85968650625.png', '41452805724.png', '66342145356.png', '56503889965.png', '73782878943.png']","Consider the expression: [quebra-cabeças] in the Portuguese (Portugal) language, and its meaning in context: [Ele é conhecido por ser violento e quebra cabeças regularmente no bar que frequenta à noite.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 2, 4]",0.9227056503295898
131,quebra-cabeças,O segurança da discoteca não quebra cabeças mas pouco falta e vários clientes saíram já com os narizes partidos.,,"['85968650625.png', '66342145356.png', '41452805724.png', '56503889965.png', '73782878943.png']","Consider the expression: [quebra-cabeças] in the Portuguese (Portugal) language, and its meaning in context: [O segurança da discoteca não quebra cabeças mas pouco falta e vários clientes saíram já com os narizes partidos.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 4, 3]",0.9808554649353027
132,muita lata,"É preciso ter muita lata para misturar as classes sociais, o bom e o mau gosto, o feio e o bonito, o popularucho e o intelectual.",,"['10884563229.png', '57040338934.png', '61485436324.png', '35276941903.png', '33414322374.png']","Consider the expression: [muita lata] in the Portuguese (Portugal) language, and its meaning in context: [É preciso ter muita lata para misturar as classes sociais, o bom e o mau gosto, o feio e o bonito, o popularucho e o intelectual.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 5, 4, 2]",0.9785053730010986
133,muita lata,"Neste momento, o meu comentário é apenas este: é preciso ter muita lata para falar de transparência numa situação como esta.",,"['33414322374.png', '35276941903.png', '10884563229.png', '57040338934.png', '61485436324.png']","Consider the expression: [muita lata] in the Portuguese (Portugal) language, and its meaning in context: [Neste momento, o meu comentário é apenas este: é preciso ter muita lata para falar de transparência numa situação como esta.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 1, 4]",2.1673781871795654
134,muita lata,Na Conserveira de Lisboa há tempo para conversar com muita lata à mistura.,,"['10884563229.png', '57040338934.png', '61485436324.png', '33414322374.png', '35276941903.png']","Consider the expression: [muita lata] in the Portuguese (Portugal) language, and its meaning in context: [Na Conserveira de Lisboa há tempo para conversar com muita lata à mistura.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 2, 5, 1]",0.9379124641418457
135,muita lata,"Portugal tinha muita lata, e exportava-as para todos os cantos do mundo com porções de coragem e de sardinhas lá dentro.",,"['57040338934.png', '10884563229.png', '61485436324.png', '35276941903.png', '33414322374.png']","Consider the expression: [muita lata] in the Portuguese (Portugal) language, and its meaning in context: [Portugal tinha muita lata, e exportava-as para todos os cantos do mundo com porções de coragem e de sardinhas lá dentro.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",0.7702527046203613
136,oportunidade de ouro,O Governo não tem o direito de continuar a desperdiçar esta oportunidade de ouro de uma situação económica e financeira internacional totalmente favorável a Portugal.,,"['41911705603.png', '34878405264.png', '60725021830.png', '98950423651.png', '98876510250.png']","Consider the expression: [oportunidade de ouro] in the Portuguese (Portugal) language, and its meaning in context: [O Governo não tem o direito de continuar a desperdiçar esta oportunidade de ouro de uma situação económica e financeira internacional totalmente favorável a Portugal.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 4, 2]",0.744739294052124
137,oportunidade de ouro,Que lhe interessa se Portas aproveita ou não a oportunidade de ouro que tem à sua frente para tentar uma humilhação do PSD nas presidenciais?,,"['41911705603.png', '34878405264.png', '60725021830.png', '98950423651.png', '98876510250.png']","Consider the expression: [oportunidade de ouro] in the Portuguese (Portugal) language, and its meaning in context: [Que lhe interessa se Portas aproveita ou não a oportunidade de ouro que tem à sua frente para tentar uma humilhação do PSD nas presidenciais?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 2, 1, 3]",0.9555778503417969
