id,nc,sent,rank label,rank pred,input,output,time
0,паршивая овца,"Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением",,"['48785751801.png', '60528961705.png', '72230758073.png', '94063262401.png', '30639812178.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 3, 5]",3.90737247467041
1,паршивая овца,"В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.",,"['48785751801.png', '60528961705.png', '94063262401.png', '30639812178.png', '72230758073.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 1, 4]",6.125043630599976
2,паршивая овца,"Попадётся паршивая овца в стаде, всем жизнь испортит!",,"['48785751801.png', '60528961705.png', '94063262401.png', '30639812178.png', '72230758073.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Попадётся паршивая овца в стаде, всем жизнь испортит!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 1, 2]",4.701137065887451
3,паршивая овца,"Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства",,"['60528961705.png', '48785751801.png', '72230758073.png', '94063262401.png', '30639812178.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 3, 2]",1.1939785480499268
4,большая шишка,К нам в офис сегодня придет большая шишка - владелец всей нашей компании.,,"['68532411571.png', '30379439976.png', '98349036040.png', '64642567134.png', '49322271562.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [К нам в офис сегодня придет большая шишка - владелец всей нашей компании.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 5, 4]",3.9627676010131836
5,большая шишка,"Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.",,"['68532411571.png', '30379439976.png', '49322271562.png', '98349036040.png', '64642567134.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",1.1623187065124512
6,большая шишка,"Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло",,"['49322271562.png', '64642567134.png', '98349036040.png', '30379439976.png', '68532411571.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 1, 4]",1.180405855178833
7,большая шишка,"Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).",,"['49322271562.png', '98349036040.png', '68532411571.png', '64642567134.png', '30379439976.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 5, 2]",8.42817759513855
8,черный ящик,Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе,,"['77793053990.png', '59262273453.png', '56874114828.png', '97023506971.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 4, 1]",3.8111519813537598
9,черный ящик,"Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик",,"['59262273453.png', '77793053990.png', '97023506971.png', '56874114828.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 4, 1]",1.28515625
