id,nc,sent,rank label,rank pred,input,output,time
0,паршивая овца,"Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением",,"['60528961705.png', '48785751801.png', '72230758073.png', '94063262401.png', '30639812178.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",1.3868141174316406
1,паршивая овца,"В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.",,"['48785751801.png', '60528961705.png', '30639812178.png', '72230758073.png', '94063262401.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 1, 4, 5]",0.6649496555328369
2,паршивая овца,"Попадётся паршивая овца в стаде, всем жизнь испортит!",,"['60528961705.png', '48785751801.png', '72230758073.png', '30639812178.png', '94063262401.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Попадётся паршивая овца в стаде, всем жизнь испортит!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 2, 1, 5]",0.7516944408416748
3,паршивая овца,"Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства",,"['60528961705.png', '48785751801.png', '72230758073.png', '30639812178.png', '94063262401.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 2, 3]",0.8311431407928467
4,большая шишка,К нам в офис сегодня придет большая шишка - владелец всей нашей компании.,,"['30379439976.png', '68532411571.png', '98349036040.png', '49322271562.png', '64642567134.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [К нам в офис сегодня придет большая шишка - владелец всей нашей компании.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 2, 4, 5]",0.81966233253479
5,большая шишка,"Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.",,"['68532411571.png', '30379439976.png', '98349036040.png', '49322271562.png', '64642567134.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 3, 5, 4]",0.7542533874511719
6,большая шишка,"Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло",,"['49322271562.png', '64642567134.png', '98349036040.png', '68532411571.png', '30379439976.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 4, 1]",1.0731804370880127
7,большая шишка,"Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).",,"['49322271562.png', '98349036040.png', '64642567134.png', '30379439976.png', '68532411571.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 2, 4]",0.665316104888916
8,черный ящик,Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе,,"['77793053990.png', '59262273453.png', '56874114828.png', '97023506971.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 4, 1]",1.2455430030822754
9,черный ящик,"Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик",,"['59262273453.png', '77793053990.png', '59336829098.png', '97023506971.png', '56874114828.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",0.892526388168335
10,черный ящик,"Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах",,"['56874114828.png', '97023506971.png', '59262273453.png', '77793053990.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 4, 3]",0.7407491207122803
11,черный ящик,"Вчера в 1.00 на месте катастрофы самолёта ТУ-154, разбившегося 6 декабря прошлого года в Хабаровском крае, был обнаружен речевой чёрный ящик",,"['59262273453.png', '77793053990.png', '97023506971.png', '56874114828.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Вчера в 1.00 на месте катастрофы самолёта ТУ-154, разбившегося 6 декабря прошлого года в Хабаровском крае, был обнаружен речевой чёрный ящик]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",3.4394607543945312
12,хлеб насущный,"Вместо жалования мисс получила от них лишь хорошие рекомендации, которые, хотя и не являлись хлебом насущным, но были важной частью работы всех нянь и гувернанток.",,"['93780764041.png', '77643842446.png', '67568289944.png', '51223102607.png', '24532482848.png']","Consider the expression: [хлеб насущный] in the Russian language, and its meaning in context: [Вместо жалования мисс получила от них лишь хорошие рекомендации, которые, хотя и не являлись хлебом насущным, но были важной частью работы всех нянь и гувернанток.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 4, 1]",0.7803270816802979
13,хлеб насущный,"Радость, испытанная им оттого, что он, как выразились бы вы, весёлая молодёжь, «поддел» меня, будет ему на несколько дней хлебом насущным.",,"['24532482848.png', '67568289944.png', '77643842446.png', '93780764041.png', '51223102607.png']","Consider the expression: [хлеб насущный] in the Russian language, and its meaning in context: [Радость, испытанная им оттого, что он, как выразились бы вы, весёлая молодёжь, «поддел» меня, будет ему на несколько дней хлебом насущным.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",0.9993162155151367
14,хлеб насущный,"После ряда мелких стычек между собаками из-за заслуженного, вне всяких сомнений, сегодня куска хлеба насущного все успокоились, и мы разошлись по палаткам.",,"['24532482848.png', '67568289944.png', '77643842446.png', '93780764041.png', '51223102607.png']","Consider the expression: [хлеб насущный] in the Russian language, and its meaning in context: [После ряда мелких стычек между собаками из-за заслуженного, вне всяких сомнений, сегодня куска хлеба насущного все успокоились, и мы разошлись по палаткам.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 3, 2]",0.9561395645141602
15,хлеб насущный,"Требовалось окончательно успокоить нервы, – почему бы и не вкушая хлеб насущный?",,"['24532482848.png', '67568289944.png', '77643842446.png', '93780764041.png', '51223102607.png']","Consider the expression: [хлеб насущный] in the Russian language, and its meaning in context: [Требовалось окончательно успокоить нервы, – почему бы и не вкушая хлеб насущный?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 3, 1]",0.7471163272857666
16,кот наплакал,"Это трудно: опыта у меня тогда было ― кот наплакал, веры в свои силы ― ещё меньше",,"['38971991363.png', '29160340820.png', '97799837793.png', '34570374824.png', '18760884064.png']","Consider the expression: [кот наплакал] in the Russian language, and its meaning in context: [Это трудно: опыта у меня тогда было ― кот наплакал, веры в свои силы ― ещё меньше]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 5, 1]",0.9575562477111816
17,кот наплакал,"Оказалось, что, действительно, на пути к Москве фабрик да заводов много, а толку-то в них мало, все они слабосильны, и работного люда на них ― кот наплакал",,"['34570374824.png', '29160340820.png', '38971991363.png', '97799837793.png', '18760884064.png']","Consider the expression: [кот наплакал] in the Russian language, and its meaning in context: [Оказалось, что, действительно, на пути к Москве фабрик да заводов много, а толку-то в них мало, все они слабосильны, и работного люда на них ― кот наплакал]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 5, 3]",0.6594805717468262
18,кот наплакал,"Если вы видите под глазами кота слезы, будто кот наплакал, это может быть признаком заболевания (например, инфекции, аллергии) или физиологических особенностей, таких как непроходимость носослёзного канала, а не проявлением его грусти",,"['38971991363.png', '29160340820.png', '34570374824.png', '97799837793.png', '18760884064.png']","Consider the expression: [кот наплакал] in the Russian language, and its meaning in context: [Если вы видите под глазами кота слезы, будто кот наплакал, это может быть признаком заболевания (например, инфекции, аллергии) или физиологических особенностей, таких как непроходимость носослёзного канала, а не проявлением его грусти]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 3, 1]",0.6615309715270996
19,кот наплакал,"После того как кота наказали, он тихо сидел в углу и действительно наплакал несколько слёз.",,"['38971991363.png', '34570374824.png', '29160340820.png', '97799837793.png', '18760884064.png']","Consider the expression: [кот наплакал] in the Russian language, and its meaning in context: [После того как кота наказали, он тихо сидел в углу и действительно наплакал несколько слёз.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",0.8098454475402832
20,на волоске,"Чем хочешь ты, чтобы я поклялся? - спросил, очень оживившись, развязанный. - Ну, хотя бы жизнью твоею, - ответил прокуратор, - ею клясться самое время, так как она висит на волоске, знай это!",,"['50344924528.png', '32528456361.png', '12862932978.png', '77931440324.png', '74880057968.png']","Consider the expression: [на волоске] in the Russian language, and its meaning in context: [Чем хочешь ты, чтобы я поклялся? - спросил, очень оживившись, развязанный. - Ну, хотя бы жизнью твоею, - ответил прокуратор, - ею клясться самое время, так как она висит на волоске, знай это!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 3, 2, 1]",0.7496120929718018
21,на волоске,Ваше имение на волосок от погибели,,"['50344924528.png', '32528456361.png', '77931440324.png', '12862932978.png', '74880057968.png']","Consider the expression: [на волоске] in the Russian language, and its meaning in context: [Ваше имение на волосок от погибели]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 3, 5]",0.6931536197662354
22,на волоске,"На волосках тарантулов находятся острые щетинки, которые служат защитным механизмом для паука.",,"['50344924528.png', '32528456361.png', '12862932978.png', '74880057968.png', '77931440324.png']","Consider the expression: [на волоске] in the Russian language, and its meaning in context: [На волосках тарантулов находятся острые щетинки, которые служат защитным механизмом для паука.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 3, 2]",0.7632749080657959
23,на волоске,"Влага задерживается на волосках киви, сохраняя плод сочным.",,"['50344924528.png', '32528456361.png', '12862932978.png', '74880057968.png', '77931440324.png']","Consider the expression: [на волоске] in the Russian language, and its meaning in context: [Влага задерживается на волосках киви, сохраняя плод сочным.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 2, 5, 1]",0.7249727249145508
24,адвокат дьявола,"В этой главе адвокат дьявола перечисляет основные пороки нашего отечества: ужасный климат с длинной зимой и сухим летом, страна, в которой столица построена на болоте, где почти нет хороших дорог, где гигиенические условия жизни населения очень плохи, где много всяких болезней, где бедные люди ― отсталые и невежественные, а средний класс ― беспечный и неряшливый, где хулиганство и насилие считается нормой, где убить, оскорбить, покалечить ничего не стоит.",,"['87136172868.png', '56351319289.png', '12838445129.png', '15387358858.png', '13012353941.png']","Consider the expression: [адвокат дьявола] in the Russian language, and its meaning in context: [В этой главе адвокат дьявола перечисляет основные пороки нашего отечества: ужасный климат с длинной зимой и сухим летом, страна, в которой столица построена на болоте, где почти нет хороших дорог, где гигиенические условия жизни населения очень плохи, где много всяких болезней, где бедные люди ― отсталые и невежественные, а средний класс ― беспечный и неряшливый, где хулиганство и насилие считается нормой, где убить, оскорбить, покалечить ничего не стоит.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 1, 5, 4]",0.8060750961303711
25,адвокат дьявола,"Генерал уже внутренне переключился на сторону грешников и, как адвокат дьявола, пытался оправдать своих недавних врагов",,"['12838445129.png', '56351319289.png', '87136172868.png', '15387358858.png', '13012353941.png']","Consider the expression: [адвокат дьявола] in the Russian language, and its meaning in context: [Генерал уже внутренне переключился на сторону грешников и, как адвокат дьявола, пытался оправдать своих недавних врагов]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 1, 4]",0.721501350402832
26,адвокат дьявола,"В юриспруденции нет места личным чувствам, поэтому даже верующий юрист должен ответственно выполнять свои обязанности, даже если он назначен адвокатом самого дьявола",,"['12838445129.png', '56351319289.png', '87136172868.png', '15387358858.png', '13012353941.png']","Consider the expression: [адвокат дьявола] in the Russian language, and its meaning in context: [В юриспруденции нет места личным чувствам, поэтому даже верующий юрист должен ответственно выполнять свои обязанности, даже если он назначен адвокатом самого дьявола]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 4, 5, 1]",1.7321698665618896
27,адвокат дьявола,"В фильме «Адвокат дьявола» главный герой буквально становится юристом, работающим на самого дьявола",,"['12838445129.png', '56351319289.png', '87136172868.png', '15387358858.png', '13012353941.png']","Consider the expression: [адвокат дьявола] in the Russian language, and its meaning in context: [В фильме «Адвокат дьявола» главный герой буквально становится юристом, работающим на самого дьявола]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 1, 3]",0.7427685260772705
