id,nc,sent,rank label,rank pred,input,output,time
0,паршивая овца,"Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением",,"['60528961705.png', '48785751801.png', '72230758073.png', '30639812178.png', '94063262401.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",1.862032413482666
1,паршивая овца,"В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.",,"['60528961705.png', '48785751801.png', '30639812178.png', '72230758073.png', '94063262401.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 4, 5]",2.4835965633392334
2,паршивая овца,"Попадётся паршивая овца в стаде, всем жизнь испортит!",,"['60528961705.png', '72230758073.png', '48785751801.png', '30639812178.png', '94063262401.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Попадётся паршивая овца в стаде, всем жизнь испортит!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",0.9403314590454102
3,паршивая овца,"Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства",,"['60528961705.png', '48785751801.png', '72230758073.png', '94063262401.png', '30639812178.png']","Consider the expression: [паршивая овца] in the Russian language, and its meaning in context: [Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 3, 2]",0.8542711734771729
4,большая шишка,К нам в офис сегодня придет большая шишка - владелец всей нашей компании.,,"['68532411571.png', '30379439976.png', '49322271562.png', '98349036040.png', '64642567134.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [К нам в офис сегодня придет большая шишка - владелец всей нашей компании.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 2, 5]",1.025334119796753
5,большая шишка,"Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.",,"['30379439976.png', '68532411571.png', '49322271562.png', '98349036040.png', '64642567134.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 5, 3, 4]",1.1635801792144775
6,большая шишка,"Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло",,"['49322271562.png', '64642567134.png', '98349036040.png', '68532411571.png', '30379439976.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 4, 1]",1.083739995956421
7,большая шишка,"Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).",,"['49322271562.png', '64642567134.png', '98349036040.png', '68532411571.png', '30379439976.png']","Consider the expression: [большая шишка] in the Russian language, and its meaning in context: [Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 4, 2]",1.1342952251434326
8,черный ящик,Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе,,"['59262273453.png', '77793053990.png', '56874114828.png', '97023506971.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 4, 1]",0.8304381370544434
9,черный ящик,"Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик",,"['77793053990.png', '59262273453.png', '97023506971.png', '56874114828.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",0.814373254776001
10,черный ящик,"Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах",,"['59262273453.png', '77793053990.png', '97023506971.png', '59336829098.png', '56874114828.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 3, 2]",0.9984323978424072
11,черный ящик,"Вчера в 1.00 на месте катастрофы самолёта ТУ-154, разбившегося 6 декабря прошлого года в Хабаровском крае, был обнаружен речевой чёрный ящик",,"['59262273453.png', '77793053990.png', '97023506971.png', '56874114828.png', '59336829098.png']","Consider the expression: [черный ящик] in the Russian language, and its meaning in context: [Вчера в 1.00 на месте катастрофы самолёта ТУ-154, разбившегося 6 декабря прошлого года в Хабаровском крае, был обнаружен речевой чёрный ящик]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",1.1246459484100342
12,хлеб насущный,"Вместо жалования мисс получила от них лишь хорошие рекомендации, которые, хотя и не являлись хлебом насущным, но были важной частью работы всех нянь и гувернанток.",,"['77643842446.png', '67568289944.png', '24532482848.png', '51223102607.png', '93780764041.png']","Consider the expression: [хлеб насущный] in the Russian language, and its meaning in context: [Вместо жалования мисс получила от них лишь хорошие рекомендации, которые, хотя и не являлись хлебом насущным, но были важной частью работы всех нянь и гувернанток.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",1.8588354587554932
13,хлеб насущный,"Радость, испытанная им оттого, что он, как выразились бы вы, весёлая молодёжь, «поддел» меня, будет ему на несколько дней хлебом насущным.",,"['24532482848.png', '67568289944.png', '77643842446.png', '51223102607.png', '93780764041.png']","Consider the expression: [хлеб насущный] in the Russian language, and its meaning in context: [Радость, испытанная им оттого, что он, как выразились бы вы, весёлая молодёжь, «поддел» меня, будет ему на несколько дней хлебом насущным.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 1, 3]",1.057802438735962
