id,nc,sent,rank label,rank pred,input,output,time
0,прави мућак,"Прави си мућак, снобе!",,"['62248390919.png', '81474890463.png', '30217297474.png', '74612461837.png', '58028554072.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Прави си мућак, снобе!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",1.1460628509521484
1,прави мућак,"Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.",,"['62248390919.png', '58028554072.png', '74612461837.png', '81474890463.png', '30217297474.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 5, 2]",1.0028417110443115
2,прави мућак,"Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.",,"['81474890463.png', '62248390919.png', '74612461837.png', '58028554072.png', '30217297474.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 1, 3]",0.9457764625549316
3,прави мућак,"Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.",,"['62248390919.png', '81474890463.png', '30217297474.png', '58028554072.png', '74612461837.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",1.1908693313598633
4,кваран зуб,Један кваран зуб цијела уста поквари.,,"['83722057245.png', '92540814298.png', '34810394306.png', '69753344250.png', '24760657126.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Један кваран зуб цијела уста поквари.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 2, 4, 5]",0.8323268890380859
5,кваран зуб,"Млад, леп и покварен к’о кваран зуб.",,"['83722057245.png', '34810394306.png', '69753344250.png', '92540814298.png', '24760657126.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Млад, леп и покварен к’о кваран зуб.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 5, 4]",0.76924729347229
6,кваран зуб,"Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.",,"['83722057245.png', '92540814298.png', '69753344250.png', '24760657126.png', '34810394306.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",0.7195010185241699
7,кваран зуб,Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.,,"['83722057245.png', '92540814298.png', '34810394306.png', '69753344250.png', '24760657126.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 2, 3]",1.5839362144470215
8,шугава овца,"Еле увек су на окупу, а једна шугава овца цело стадо ошуга.",,"['51989752512.png', '38484072078.png', '23467178780.png', '38745691254.png', '30486028993.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Еле увек су на окупу, а једна шугава овца цело стадо ошуга.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",4.48815393447876
9,шугава овца,"Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.",,"['51989752512.png', '38484072078.png', '23467178780.png', '38745691254.png', '30486028993.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 3, 5]",0.7172567844390869
10,шугава овца,Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.,,"['38484072078.png', '51989752512.png', '23467178780.png', '38745691254.png', '30486028993.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 5, 2]",1.6638545989990234
11,шугава овца,"Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.",,"['38484072078.png', '51989752512.png', '38745691254.png', '23467178780.png', '30486028993.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 3, 4, 2]",0.9802942276000977
12,отворити некоме очи,"Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.",,"['15053283479.png', '76163268756.png', '29777751984.png', '74101219178.png', '33638190941.png']","Consider the expression: [отворити некоме очи] in the Serbian language, and its meaning in context: [Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",0.9369657039642334
13,отворити некоме очи,"Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.",,"['15053283479.png', '76163268756.png', '29777751984.png', '74101219178.png', '33638190941.png']","Consider the expression: [отворити некоме очи] in the Serbian language, and its meaning in context: [Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 3, 1, 5]",0.8582746982574463
