id,nc,sent,rank label,rank pred,input,output,time
0,прави мућак,"Прави си мућак, снобе!",,"['74612461837.png', '58028554072.png', '30217297474.png', '62248390919.png', '81474890463.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Прави си мућак, снобе!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 5, 2]",1.4249753952026367
1,прави мућак,"Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.",,"['62248390919.png', '30217297474.png', '81474890463.png', '74612461837.png', '58028554072.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 3, 1]",2.192817211151123
2,прави мућак,"Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.",,"['30217297474.png', '62248390919.png', '81474890463.png', '58028554072.png', '74612461837.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",0.9556856155395508
3,прави мућак,"Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.",,"['62248390919.png', '81474890463.png', '30217297474.png', '74612461837.png', '58028554072.png']","Consider the expression: [прави мућак] in the Serbian language, and its meaning in context: [Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 3, 1]",1.2934315204620361
4,кваран зуб,Један кваран зуб цијела уста поквари.,,"['83722057245.png', '92540814298.png', '34810394306.png', '69753344250.png', '24760657126.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Један кваран зуб цијела уста поквари.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 2, 4, 5]",0.8572530746459961
5,кваран зуб,"Млад, леп и покварен к’о кваран зуб.",,"['83722057245.png', '92540814298.png', '24760657126.png', '69753344250.png', '34810394306.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Млад, леп и покварен к’о кваран зуб.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",0.8506057262420654
6,кваран зуб,"Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.",,"['83722057245.png', '92540814298.png', '69753344250.png', '34810394306.png', '24760657126.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 4, 1]",1.0861189365386963
7,кваран зуб,Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.,,"['83722057245.png', '92540814298.png', '34810394306.png', '24760657126.png', '69753344250.png']","Consider the expression: [кваран зуб] in the Serbian language, and its meaning in context: [Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 3, 2]",1.2310657501220703
8,шугава овца,"Еле увек су на окупу, а једна шугава овца цело стадо ошуга.",,"['51989752512.png', '38484072078.png', '30486028993.png', '23467178780.png', '38745691254.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Еле увек су на окупу, а једна шугава овца цело стадо ошуга.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",1.3422083854675293
9,шугава овца,"Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.",,"['51989752512.png', '38484072078.png', '30486028993.png', '23467178780.png', '38745691254.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 1, 3]",0.9240767955780029
10,шугава овца,Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.,,"['38484072078.png', '51989752512.png', '38745691254.png', '23467178780.png', '30486028993.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 3, 2]",0.8651022911071777
11,шугава овца,"Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.",,"['51989752512.png', '38484072078.png', '23467178780.png', '38745691254.png', '30486028993.png']","Consider the expression: [шугава овца] in the Serbian language, and its meaning in context: [Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 3, 2]",1.1102595329284668
12,отворити некоме очи,"Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.",,"['74101219178.png', '15053283479.png', '33638190941.png', '29777751984.png', '76163268756.png']","Consider the expression: [отворити некоме очи] in the Serbian language, and its meaning in context: [Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 3, 2]",0.8804013729095459
13,отворити некоме очи,"Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.",,"['74101219178.png', '15053283479.png', '29777751984.png', '76163268756.png', '33638190941.png']","Consider the expression: [отворити некоме очи] in the Serbian language, and its meaning in context: [Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 3, 2, 5]",1.121981143951416
14,отворити некоме очи,"У вечер, када пође спавати, метне све под главу, а преко лонца пребаци тканицу, говорећи: Свети Виде и видова траво, отворите ми очи, да видим свога суђеника.",,"['74101219178.png', '15053283479.png', '76163268756.png', '29777751984.png', '33638190941.png']","Consider the expression: [отворити некоме очи] in the Serbian language, and its meaning in context: [У вечер, када пође спавати, метне све под главу, а преко лонца пребаци тканицу, говорећи: Свети Виде и видова траво, отворите ми очи, да видим свога суђеника.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 3, 1]",1.0362625122070312
15,отворити некоме очи,Овај третман јој је отворио око и дао самопоуздање.,,"['74101219178.png', '15053283479.png', '29777751984.png', '76163268756.png', '33638190941.png']","Consider the expression: [отворити некоме очи] in the Serbian language, and its meaning in context: [Овај третман јој је отворио око и дао самопоуздање.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 2, 5, 1]",0.9948573112487793
16,крупна риба,"И никаква мене милиција неће стићи, имам ја тамо ауто мога татице, а мој татица је крупна риба.",,"['89245234341.png', '41112197376.png', '60151707543.png', '79604331771.png', '77189775800.png']","Consider the expression: [крупна риба] in the Serbian language, and its meaning in context: [И никаква мене милиција неће стићи, имам ја тамо ауто мога татице, а мој татица је крупна риба.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 3, 5]",1.2306196689605713
17,крупна риба,"Министар Илић, зато што располаже великим државним парама, верује да је овлашћен одређивати ко је ситна боранија, а ко крупна риба.",,"['89245234341.png', '41112197376.png', '79604331771.png', '60151707543.png', '77189775800.png']","Consider the expression: [крупна риба] in the Serbian language, and its meaning in context: [Министар Илић, зато што располаже великим државним парама, верује да је овлашћен одређивати ко је ситна боранија, а ко крупна риба.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 1, 4]",1.0151057243347168
