id,nc,sent,rank label,rank pred,input,output,time
0,veľké zviera,"Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.",,"['93378985497.png', '60797776199.png', '31012287399.png', '96825019438.png', '77871909375.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 2, 3]",3.1373496055603027
1,veľké zviera,"Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.",,"['93378985497.png', '60797776199.png', '96825019438.png', '31012287399.png', '77871909375.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 3, 5]",1.1186659336090088
25,špinavé peniaze,"Keď vy si dávate pozor a prídete do pekárne, kde pred chvíľou zamestnanec pekárne držal v ruke špinavé peniaze, vám s čistím svedomím s tými špinavými rukami naberie pečivo, tak ako trošku na zamyslenie.",,"['28870896070.png', '36647866477.png', '55437133134.png', '52499868511.png', '68803866871.png']","Consider the expression: [špinavé peniaze] in the Slovak language, and its meaning in context: [Keď vy si dávate pozor a prídete do pekárne, kde pred chvíľou zamestnanec pekárne držal v ruke špinavé peniaze, vám s čistím svedomím s tými špinavými rukami naberie pečivo, tak ako trošku na zamyslenie.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",1.4804811477661133
26,špinavé peniaze,"Špinavé peniaze -  nedávny výskum v Spojených štátoch ukázal, že takmer všetky bankovky, ktoré sú v obehu, sú zamorené streptokokmi, enterokokmi, pseudomonádami, ako aj inými mikróbmi.",,"['28870896070.png', '52499868511.png', '55437133134.png', '36647866477.png', '68803866871.png']","Consider the expression: [špinavé peniaze] in the Slovak language, and its meaning in context: [Špinavé peniaze -  nedávny výskum v Spojených štátoch ukázal, že takmer všetky bankovky, ktoré sú v obehu, sú zamorené streptokokmi, enterokokmi, pseudomonádami, ako aj inými mikróbmi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 3, 5]",1.1489152908325195
27,skúška ohňom,"Keďže ešte včera mohli jazdiť do neskorých večerných hodín len kamióny so živým alebo rýchlo sa kaziacim nákladom, dopravcovia preto avizujú, že mýto prejde prvou skúškou ohňom dnes ráno.",,"['85276946905.png', '31296238394.png', '59715152700.png', '17855670445.png', '67323339799.png']","Consider the expression: [skúška ohňom] in the Slovak language, and its meaning in context: [Keďže ešte včera mohli jazdiť do neskorých večerných hodín len kamióny so živým alebo rýchlo sa kaziacim nákladom, dopravcovia preto avizujú, že mýto prejde prvou skúškou ohňom dnes ráno.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 5, 3, 2]",1.1171560287475586
28,skúška ohňom,"Usúdil som, že na takomto základe môžem dúfať, že sa duševne a psychicky pripravím na skutočnú skúšku ohňom, čo ma čaká.",,"['31296238394.png', '85276946905.png', '59715152700.png', '17855670445.png', '67323339799.png']","Consider the expression: [skúška ohňom] in the Slovak language, and its meaning in context: [Usúdil som, že na takomto základe môžem dúfať, že sa duševne a psychicky pripravím na skutočnú skúšku ohňom, čo ma čaká.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 1, 2]",3.316040277481079
57,tvrdý oriešok,"Sekáčik je vhodný napríklad na sekanie ovocia, zeleniny, ale poslúži aj na nasekanie tvrdých orieškov, sušienok či čokolády.",,"['93710721298.png', '64721714119.png', '19730124261.png', '42256342630.png', '73800618031.png']","Consider the expression: [tvrdý oriešok] in the Slovak language, and its meaning in context: [Sekáčik je vhodný napríklad na sekanie ovocia, zeleniny, ale poslúži aj na nasekanie tvrdých orieškov, sušienok či čokolády.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",1.275893211364746
58,tvrdý oriešok,"Väčšinou sú z nich tvrdky, to znamená tak tvrdé oriešky, že odskakuje kladivo, ked ich rozbíjate.",,"['93710721298.png', '42256342630.png', '19730124261.png', '64721714119.png', '73800618031.png']","Consider the expression: [tvrdý oriešok] in the Slovak language, and its meaning in context: [Väčšinou sú z nich tvrdky, to znamená tak tvrdé oriešky, že odskakuje kladivo, ked ich rozbíjate.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 4, 2, 3]",4.566782474517822
81,čierny trh,"UEFA sa obáva, že vstupenky sa práve prostredníctvom čierneho trhu dostanú k nemeckým a anglickým fanúšikom.",,"['96938976080.png', '40719247223.png', '23347106638.png', '66658368463.png', '50841384636.png']","Consider the expression: [čierny trh] in the Slovak language, and its meaning in context: [UEFA sa obáva, že vstupenky sa práve prostredníctvom čierneho trhu dostanú k nemeckým a anglickým fanúšikom.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 1, 2]",3.0244901180267334
82,čierny trh,"Niekde pri vstupe do krajiny požadujú orgány zoznam dovážaných osobných predmetov, aby nedošlo k ich predaju na čiernom trhu.",,"['66658368463.png', '23347106638.png', '96938976080.png', '40719247223.png', '50841384636.png']","Consider the expression: [čierny trh] in the Slovak language, and its meaning in context: [Niekde pri vstupe do krajiny požadujú orgány zoznam dovážaných osobných predmetov, aby nedošlo k ich predaju na čiernom trhu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 4, 1, 5]",6.225812196731567
86,tajná operácia,Po tajnej operácii hrubého čreva začal minister vnútra napriek prísnemu zákazu lekárov fajčiť a piť kolu.,,"['86075523252.png', '84556190714.png', '41569264622.png', '45875940049.png', '26746661643.png']","Consider the expression: [tajná operácia] in the Slovak language, and its meaning in context: [Po tajnej operácii hrubého čreva začal minister vnútra napriek prísnemu zákazu lekárov fajčiť a piť kolu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 1, 5, 3]",2.805863857269287
87,čierna ovca,Celý život ste sa za mňa hanbili ako za čiernu ovcu.,,"['85010249027.png', '69767282931.png', '39389443962.png', '68485333972.png', '25088630738.png']","Consider the expression: [čierna ovca] in the Slovak language, and its meaning in context: [Celý život ste sa za mňa hanbili ako za čiernu ovcu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 2, 4, 5]",1.1179931163787842
