id,nc,sent,rank label,rank pred,input,output,time
0,veľké zviera,"Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.",,"['96825019438.png', '93378985497.png', '31012287399.png', '60797776199.png', '77871909375.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 1, 3]",1.237619400024414
1,veľké zviera,"Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.",,"['96825019438.png', '31012287399.png', '77871909375.png', '60797776199.png', '93378985497.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 5, 4, 2]",0.9470717906951904
2,veľké zviera,"Mrože sú schopné zabiť aj veľké zviera, napr. tuleňa.",,"['93378985497.png', '96825019438.png', '60797776199.png', '77871909375.png', '31012287399.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Mrože sú schopné zabiť aj veľké zviera, napr. tuleňa.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 1, 4]",0.9246518611907959
3,veľké zviera,"Mala pri sebe psa, dosť veľké zviera.",,"['93378985497.png', '60797776199.png', '31012287399.png', '77871909375.png', '96825019438.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Mala pri sebe psa, dosť veľké zviera.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",0.8157010078430176
4,čierna skrinka,"Výberové komisie sú podľa neho ako čierna skrinka, do ktorej nikto nevidí.",,"['61223262195.png', '86618267031.png', '73067710061.png', '94526342295.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [Výberové komisie sú podľa neho ako čierna skrinka, do ktorej nikto nevidí.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 3, 1]",0.9607172012329102
5,čierna skrinka,"Irán je čiernou skrinkou, ale zároveň nie je čiernou skrinkou, pretože existujú spôsoby, ako odhaliť utajovanú činnosť.",,"['61223262195.png', '94526342295.png', '73067710061.png', '86618267031.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [Irán je čiernou skrinkou, ale zároveň nie je čiernou skrinkou, pretože existujú spôsoby, ako odhaliť utajovanú činnosť.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 5, 4, 2]",1.1767809391021729
6,čierna skrinka,V prievidzskom kolégiu až do roku 1918 bola čierna skrinka. V skrinke bola biela kniha v bielej koženej väzbe.,,"['61223262195.png', '86618267031.png', '73067710061.png', '94526342295.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [V prievidzskom kolégiu až do roku 1918 bola čierna skrinka. V skrinke bola biela kniha v bielej koženej väzbe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",0.8579742908477783
7,čierna skrinka,"Bola to malá, čierna skrinka uprostred s malým reproduktorom.",,"['61223262195.png', '86618267031.png', '73067710061.png', '11305014120.png', '94526342295.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [Bola to malá, čierna skrinka uprostred s malým reproduktorom.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 5, 2]",0.7346665859222412
8,chlieb každodenný,"Portréty chlapov, pre ktorých bola stavbárska robota zárobkom na chlieb každodenný a týždňovkárske pracovné zmeny pre mnohých dlhoročným pravidlom.",,"['63290210633.png', '86090891330.png', '89512451268.png', '40596304583.png', '84303423684.png']","Consider the expression: [chlieb každodenný] in the Slovak language, and its meaning in context: [Portréty chlapov, pre ktorých bola stavbárska robota zárobkom na chlieb každodenný a týždňovkárske pracovné zmeny pre mnohých dlhoročným pravidlom.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 1, 3]",0.9976339340209961
9,chlieb každodenný,"Žijeme v rýchlej a uponáhľadnej dobe, skratky a symboly sú našim chlebom každodenným",,"['89512451268.png', '63290210633.png', '86090891330.png', '84303423684.png', '40596304583.png']","Consider the expression: [chlieb každodenný] in the Slovak language, and its meaning in context: [Žijeme v rýchlej a uponáhľadnej dobe, skratky a symboly sú našim chlebom každodenným]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 1, 4]",0.784498929977417
