id,nc,sent,rank label,rank pred,input,output,time
0,veľké zviera,"Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.",,"['93378985497.png', '31012287399.png', '60797776199.png', '96825019438.png', '77871909375.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 2, 3]",1.5183603763580322
1,veľké zviera,"Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.",,"['93378985497.png', '60797776199.png', '31012287399.png', '96825019438.png', '77871909375.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 3, 1, 5]",1.1355550289154053
2,veľké zviera,"Mrože sú schopné zabiť aj veľké zviera, napr. tuleňa.",,"['93378985497.png', '60797776199.png', '31012287399.png', '96825019438.png', '77871909375.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Mrože sú schopné zabiť aj veľké zviera, napr. tuleňa.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 4, 5, 1]",0.9623780250549316
3,veľké zviera,"Mala pri sebe psa, dosť veľké zviera.",,"['93378985497.png', '60797776199.png', '31012287399.png', '77871909375.png', '96825019438.png']","Consider the expression: [veľké zviera] in the Slovak language, and its meaning in context: [Mala pri sebe psa, dosť veľké zviera.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",2.206300735473633
4,čierna skrinka,"Výberové komisie sú podľa neho ako čierna skrinka, do ktorej nikto nevidí.",,"['86618267031.png', '61223262195.png', '73067710061.png', '94526342295.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [Výberové komisie sú podľa neho ako čierna skrinka, do ktorej nikto nevidí.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 3, 1]",0.8395347595214844
5,čierna skrinka,"Irán je čiernou skrinkou, ale zároveň nie je čiernou skrinkou, pretože existujú spôsoby, ako odhaliť utajovanú činnosť.",,"['61223262195.png', '86618267031.png', '73067710061.png', '94526342295.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [Irán je čiernou skrinkou, ale zároveň nie je čiernou skrinkou, pretože existujú spôsoby, ako odhaliť utajovanú činnosť.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 1, 2]",0.8398301601409912
6,čierna skrinka,V prievidzskom kolégiu až do roku 1918 bola čierna skrinka. V skrinke bola biela kniha v bielej koženej väzbe.,,"['61223262195.png', '86618267031.png', '73067710061.png', '94526342295.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [V prievidzskom kolégiu až do roku 1918 bola čierna skrinka. V skrinke bola biela kniha v bielej koženej väzbe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",1.0433282852172852
7,čierna skrinka,"Bola to malá, čierna skrinka uprostred s malým reproduktorom.",,"['61223262195.png', '86618267031.png', '73067710061.png', '94526342295.png', '11305014120.png']","Consider the expression: [čierna skrinka] in the Slovak language, and its meaning in context: [Bola to malá, čierna skrinka uprostred s malým reproduktorom.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",1.1888585090637207
8,chlieb každodenný,"Portréty chlapov, pre ktorých bola stavbárska robota zárobkom na chlieb každodenný a týždňovkárske pracovné zmeny pre mnohých dlhoročným pravidlom.",,"['63290210633.png', '86090891330.png', '89512451268.png', '84303423684.png', '40596304583.png']","Consider the expression: [chlieb každodenný] in the Slovak language, and its meaning in context: [Portréty chlapov, pre ktorých bola stavbárska robota zárobkom na chlieb každodenný a týždňovkárske pracovné zmeny pre mnohých dlhoročným pravidlom.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 3, 1]",1.017930030822754
9,chlieb každodenný,"Žijeme v rýchlej a uponáhľadnej dobe, skratky a symboly sú našim chlebom každodenným",,"['89512451268.png', '40596304583.png', '84303423684.png', '63290210633.png', '86090891330.png']","Consider the expression: [chlieb každodenný] in the Slovak language, and its meaning in context: [Žijeme v rýchlej a uponáhľadnej dobe, skratky a symboly sú našim chlebom každodenným]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 3, 2]",0.952934980392456
10,chlieb každodenný,"Duch razí si cestu sám, ale jeho dary musia prísť na stôl vedľa chleba každodenného",,"['89512451268.png', '84303423684.png', '40596304583.png', '86090891330.png', '63290210633.png']","Consider the expression: [chlieb každodenný] in the Slovak language, and its meaning in context: [Duch razí si cestu sám, ale jeho dary musia prísť na stôl vedľa chleba každodenného]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 1, 2]",1.2119197845458984
11,chlieb každodenný,"V kuchyni kraľovala gazdiná, tu sa piekol chlieb každodenný.",,"['89512451268.png', '40596304583.png', '63290210633.png', '86090891330.png', '84303423684.png']","Consider the expression: [chlieb každodenný] in the Slovak language, and its meaning in context: [V kuchyni kraľovala gazdiná, tu sa piekol chlieb každodenný.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",1.0820066928863525
12,odrazové zariadenie,"Spätné odrazové zariadenie alebo svietidlo, ak je odrazové zariadenie združené s niektorým vnútornú plochu bez akýchkoľvek kvapiek alebo zvyškov vody po tom, ako bola predtým pokrytá hmlou.",,"['65226811289.png', '11292400630.png', '94802553482.png', '76543151969.png', '63438704025.png']","Consider the expression: [odrazové zariadenie] in the Slovak language, and its meaning in context: [Spätné odrazové zariadenie alebo svietidlo, ak je odrazové zariadenie združené s niektorým vnútornú plochu bez akýchkoľvek kvapiek alebo zvyškov vody po tom, ako bola predtým pokrytá hmlou.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 4, 5]",1.059812307357788
