id,nc,sent,rank label,rank pred,input,output,time
0,velika riba,"Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.",,"['27306902558.png', '14903236831.png', '47994717737.png', '13810031717.png', '88917016408.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 1, 2, 5]",5.50736141204834
1,velika riba,"No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.",,"['14903236831.png', '27306902558.png', '47994717737.png', '13810031717.png', '88917016408.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 4, 5]",3.324615478515625
2,velika riba,"Je razmeroma velika riba , široka za polovico telesne dolžine.",,"['14903236831.png', '27306902558.png', '88917016408.png', '13810031717.png', '47994717737.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [Je razmeroma velika riba , široka za polovico telesne dolžine.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 3, 4]",3.3309249877929688
3,velika riba,"Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.",,"['14903236831.png', '27306902558.png', '13810031717.png', '47994717737.png', '88917016408.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 2, 3, 1]",5.1525397300720215
4,črna škatla,"Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.",,"['16945646062.png', '66990352988.png', '31481056544.png', '64128909044.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 5, 3]",1.11905837059021
5,črna škatla,"S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.",,"['66990352988.png', '16945646062.png', '31481056544.png', '64128909044.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 4, 5]",1.1119673252105713
6,črna škatla,Sredi džungle pade iz tovornjaka črna škatla .,,"['66990352988.png', '16945646062.png', '31481056544.png', '37800013074.png', '64128909044.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [Sredi džungle pade iz tovornjaka črna škatla .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",1.71919584274292
7,črna škatla,"Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.",,"['16945646062.png', '66990352988.png', '64128909044.png', '31481056544.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 1, 2, 3]",6.451950311660767
8,vsakdanji kruh,"Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.",,"['11786115000.png', '65295528175.png', '48447879472.png', '19985733495.png', '60872681732.png']","Consider the expression: [vsakdanji kruh] in the Slovenian language, and its meaning in context: [Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 3, 2, 4]",1.1745836734771729
9,vsakdanji kruh,Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.,,"['11786115000.png', '65295528175.png', '60872681732.png', '48447879472.png', '19985733495.png']","Consider the expression: [vsakdanji kruh] in the Slovenian language, and its meaning in context: [Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 3, 5]",4.415691614151001
10,vsakdanji kruh,"Babica je vsako jutro spekla svoj vsakdanji kruh, navaden bel hlebec, ki je dišal po celi kuhinji.",,"['11786115000.png', '65295528175.png', '60872681732.png', '48447879472.png', '19985733495.png']","Consider the expression: [vsakdanji kruh] in the Slovenian language, and its meaning in context: [Babica je vsako jutro spekla svoj vsakdanji kruh, navaden bel hlebec, ki je dišal po celi kuhinji.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",5.5873870849609375
11,vsakdanji kruh,"Pekarna je prodajala preprosti vsakdanji kruh, ki so ga domačini vsak dan razgrabili že pred kosilom.",,"['11786115000.png', '65295528175.png', '60872681732.png', '19985733495.png', '48447879472.png']","Consider the expression: [vsakdanji kruh] in the Slovenian language, and its meaning in context: [Pekarna je prodajala preprosti vsakdanji kruh, ki so ga domačini vsak dan razgrabili že pred kosilom.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 5, 3]",1.6752922534942627
12,mačje oko,"Mačje oko je še najlepše vidno, če površino zgladimo.",,"['38524198728.png', '84926852428.png', '33808674305.png', '11575214077.png', '34872333354.png']","Consider the expression: [mačje oko] in the Slovenian language, and its meaning in context: [Mačje oko je še najlepše vidno, če površino zgladimo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 3, 2, 1]",3.6581335067749023
13,mačje oko,"In se zadovoljno peljem po popolnoma prazni cesti, s katere levega in desnega roba žarijo vame malo rabljena mačja očesa .",,"['33808674305.png', '84926852428.png', '38524198728.png', '34872333354.png', '11575214077.png']","Consider the expression: [mačje oko] in the Slovenian language, and its meaning in context: [In se zadovoljno peljem po popolnoma prazni cesti, s katere levega in desnega roba žarijo vame malo rabljena mačja očesa .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",1.2799007892608643
14,mačje oko,"Tigrovo oko je primerno ime za ta kristal, saj je videti kot mačje oko .",,"['84926852428.png', '38524198728.png', '11575214077.png', '34872333354.png', '33808674305.png']","Consider the expression: [mačje oko] in the Slovenian language, and its meaning in context: [Tigrovo oko je primerno ime za ta kristal, saj je videti kot mačje oko .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 3, 5]",1.3821728229522705
15,mačje oko,"V primerjavi s človeškim očesom ima mačje oko več paličic kot čepnic, zato mačke dobro vidijo v temi.",,"['38524198728.png', '84926852428.png', '33808674305.png', '34872333354.png', '11575214077.png']","Consider the expression: [mačje oko] in the Slovenian language, and its meaning in context: [V primerjavi s človeškim očesom ima mačje oko več paličic kot čepnic, zato mačke dobro vidijo v temi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 4, 3]",3.4125759601593018
16,iti za las,"Ko je prišlo do glasovanja, je šlo za las .",,"['96373755691.png', '33946381467.png', '29908637808.png', '98486756458.png', '54950707789.png']","Consider the expression: [iti za las] in the Slovenian language, and its meaning in context: [Ko je prišlo do glasovanja, je šlo za las .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 2, 5]",8.4509756565094
17,iti za las,"Banham je skorajda dosegel še svoj drugi zadetek, a je šel plošček za las mimo gola.",,"['54950707789.png', '29908637808.png', '33946381467.png', '98486756458.png', '96373755691.png']","Consider the expression: [iti za las] in the Slovenian language, and its meaning in context: [Banham je skorajda dosegel še svoj drugi zadetek, a je šel plošček za las mimo gola.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 3, 1]",1.0289363861083984
18,iti za las,"Dolgo v noč sta govorili o lepotnih trikih, šlo je za lase.",,"['29908637808.png', '54950707789.png', '33946381467.png', '98486756458.png', '96373755691.png']","Consider the expression: [iti za las] in the Slovenian language, and its meaning in context: [Dolgo v noč sta govorili o lepotnih trikih, šlo je za lase.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",5.442910194396973
19,iti za las,"Pritožuje se, da je že ves siv, a v resnici je šlo za en sam las.",,"['54950707789.png', '29908637808.png', '33946381467.png', '96373755691.png', '98486756458.png']","Consider the expression: [iti za las] in the Slovenian language, and its meaning in context: [Pritožuje se, da je že ves siv, a v resnici je šlo za en sam las.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 4, 5, 1]",1.6799490451812744
20,hudičev advokat,"Prav tako je včasih koristno, če za vlogo hudičevega advokata pri pomembnih odločitvah pooblastite najbolj izkušenega člana svoje skupine.",,"['55511214024.png', '63022981727.png', '62652446252.png', '39984446093.png', '59067410528.png']","Consider the expression: [hudičev advokat] in the Slovenian language, and its meaning in context: [Prav tako je včasih koristno, če za vlogo hudičevega advokata pri pomembnih odločitvah pooblastite najbolj izkušenega člana svoje skupine.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 5, 2]",1.2170436382293701
21,hudičev advokat,"Mislim, da prof. Kljajiću ni treba biti hudičev advokat in nam Slovencem prodajati tistega, kar je dobro za Ruse.",,"['55511214024.png', '63022981727.png', '62652446252.png', '39984446093.png', '59067410528.png']","Consider the expression: [hudičev advokat] in the Slovenian language, and its meaning in context: [Mislim, da prof. Kljajiću ni treba biti hudičev advokat in nam Slovencem prodajati tistega, kar je dobro za Ruse.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 5, 2]",1.0893135070800781
22,hudičev advokat,"V romanu se pojavi lik hudičevega advokata, ki v peklenskem sodišču zagovarja duše grešnikov in skuša dokazati, da si zaslužijo drugo priložnost.",,"['55511214024.png', '62652446252.png', '63022981727.png', '39984446093.png', '59067410528.png']","Consider the expression: [hudičev advokat] in the Slovenian language, and its meaning in context: [V romanu se pojavi lik hudičevega advokata, ki v peklenskem sodišču zagovarja duše grešnikov in skuša dokazati, da si zaslužijo drugo priložnost.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 5, 2]",1.035660743713379
