id,nc,sent,rank label,rank pred,input,output,time
0,velika riba,"Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.",,"['14903236831.png', '47994717737.png', '13810031717.png', '27306902558.png', '88917016408.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 2, 3, 5]",1.215529441833496
1,velika riba,"No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.",,"['14903236831.png', '47994717737.png', '13810031717.png', '27306902558.png', '88917016408.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 4, 1, 5]",0.9171142578125
2,velika riba,"Je razmeroma velika riba , široka za polovico telesne dolžine.",,"['14903236831.png', '27306902558.png', '88917016408.png', '13810031717.png', '47994717737.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [Je razmeroma velika riba , široka za polovico telesne dolžine.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 3, 4]",0.7380795478820801
3,velika riba,"Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.",,"['14903236831.png', '27306902558.png', '47994717737.png', '13810031717.png', '88917016408.png']","Consider the expression: [velika riba] in the Slovenian language, and its meaning in context: [Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",0.8619110584259033
4,črna škatla,"Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.",,"['31481056544.png', '16945646062.png', '64128909044.png', '66990352988.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",0.8178861141204834
5,črna škatla,"S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.",,"['64128909044.png', '31481056544.png', '66990352988.png', '16945646062.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",0.8988058567047119
6,črna škatla,Sredi džungle pade iz tovornjaka črna škatla .,,"['66990352988.png', '16945646062.png', '31481056544.png', '64128909044.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [Sredi džungle pade iz tovornjaka črna škatla .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 5, 2]",0.6714334487915039
7,črna škatla,"Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.",,"['66990352988.png', '16945646062.png', '31481056544.png', '64128909044.png', '37800013074.png']","Consider the expression: [črna škatla] in the Slovenian language, and its meaning in context: [Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 2, 1, 3]",0.779125452041626
8,vsakdanji kruh,"Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.",,"['11786115000.png', '19985733495.png', '48447879472.png', '60872681732.png', '65295528175.png']","Consider the expression: [vsakdanji kruh] in the Slovenian language, and its meaning in context: [Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",0.8781640529632568
9,vsakdanji kruh,Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.,,"['48447879472.png', '19985733495.png', '11786115000.png', '65295528175.png', '60872681732.png']","Consider the expression: [vsakdanji kruh] in the Slovenian language, and its meaning in context: [Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 4, 2]",0.7491073608398438
