id,nc,sent,rank label,rank pred,input,output,time
123,rop pri belem dnevu,"Posnetki kamer so jasno pokazali rop pri belem dnevu, ko sta storilca zbežala z vrečami denarja.",,"['14697609063.png', '56617129426.png', '87761201165.png', '98949050286.png', '47747322606.png']","Consider the expression: [rop pri belem dnevu] in the Slovenian language, and its meaning in context: [Posnetki kamer so jasno pokazali rop pri belem dnevu, ko sta storilca zbežala z vrečami denarja.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 3, 4]",1.1362805366516113
124,dimna zavesa,"Kriza je sijajna dimna zavesa , za katero tečejo prerazporejanja moči in virov v imenu kapitalskih gospodarjev.",,"['38434921813.png', '44390892019.png', '34165612744.png', '79085788802.png', '49101516099.png']","Consider the expression: [dimna zavesa] in the Slovenian language, and its meaning in context: [Kriza je sijajna dimna zavesa , za katero tečejo prerazporejanja moči in virov v imenu kapitalskih gospodarjev.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",2.198349714279175
125,dimna zavesa,"Toda ponujeni odstopi so bili bolj kot dejanje etike dimna zavesa , s katero so odgovorni želeli skriti svojo lastno odgovornost.",,"['44390892019.png', '34165612744.png', '38434921813.png', '79085788802.png', '49101516099.png']","Consider the expression: [dimna zavesa] in the Slovenian language, and its meaning in context: [Toda ponujeni odstopi so bili bolj kot dejanje etike dimna zavesa , s katero so odgovorni želeli skriti svojo lastno odgovornost.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 1, 4, 2]",0.8508250713348389
126,dimna zavesa,"Za tajnost gibanja enot je bila predvidena skoraj sto kilometrov dolga dimna zavesa , najdaljša v tej vojni.",,"['38434921813.png', '79085788802.png', '49101516099.png', '44390892019.png', '34165612744.png']","Consider the expression: [dimna zavesa] in the Slovenian language, and its meaning in context: [Za tajnost gibanja enot je bila predvidena skoraj sto kilometrov dolga dimna zavesa , najdaljša v tej vojni.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 3, 1]",1.6612882614135742
127,dimna zavesa,"Ob tem se je sprožila dimna zavesa , ki je storilce očitno pregnala s kraja dejanja.",,"['38434921813.png', '79085788802.png', '49101516099.png', '34165612744.png', '44390892019.png']","Consider the expression: [dimna zavesa] in the Slovenian language, and its meaning in context: [Ob tem se je sprožila dimna zavesa , ki je storilce očitno pregnala s kraja dejanja.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 5, 2]",0.778475284576416
128,jutranja ptica,"On je ponočnjak, ona jutranja ptica , pa kaj, se pač najdeta na kosilu.",,"['24709183026.png', '86521444528.png', '41181007930.png', '44795737178.png', '84146800328.png']","Consider the expression: [jutranja ptica] in the Slovenian language, and its meaning in context: [On je ponočnjak, ona jutranja ptica , pa kaj, se pač najdeta na kosilu.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 1, 3]",0.8035860061645508
129,jutranja ptica,"Marko Milić je jutranja ptica , vsak dan ga je moč okoli šeste srečati v njegovi četrti, kjer zjutraj sreba kavo.",,"['86521444528.png', '24709183026.png', '44795737178.png', '41181007930.png', '84146800328.png']","Consider the expression: [jutranja ptica] in the Slovenian language, and its meaning in context: [Marko Milić je jutranja ptica , vsak dan ga je moč okoli šeste srečati v njegovi četrti, kjer zjutraj sreba kavo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 5, 3, 2]",1.1160740852355957
133,paša za oči,Najbolje ocenjeni šarklji so bili postavljeni na ogled in so bili prava paša za oči .,,"['27222804089.png', '22925639151.png', '60579051996.png', '50629013270.png', '34260742236.png']","Consider the expression: [paša za oči] in the Slovenian language, and its meaning in context: [Najbolje ocenjeni šarklji so bili postavljeni na ogled in so bili prava paša za oči .]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 3, 4]",1.0449833869934082
134,paša za oči,"Po operaciji je zdravnik priporočil pašo za oči – miren pogled v naravo, brez zaslonov in umetne svetlobe.",,"['27222804089.png', '22925639151.png', '50629013270.png', '60579051996.png', '34260742236.png']","Consider the expression: [paša za oči] in the Slovenian language, and its meaning in context: [Po operaciji je zdravnik priporočil pašo za oči – miren pogled v naravo, brez zaslonov in umetne svetlobe.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 4, 5, 2]",0.8107795715332031
135,paša za oči,"V znanstvenofantastičnem trilerju so oči ločili od teles in jih poslali na pašo za oči, da bi v tišini opazovale svet brez ljudi.",,"['50629013270.png', '22925639151.png', '27222804089.png', '60579051996.png', '34260742236.png']","Consider the expression: [paša za oči] in the Slovenian language, and its meaning in context: [V znanstvenofantastičnem trilerju so oči ločili od teles in jih poslali na pašo za oči, da bi v tišini opazovale svet brez ljudi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 4, 1]",1.0119564533233643
136,grešni kozel,"Kljub temu je videti, da je v begunski krizi Grčija postala grešni kozel za nemoč celotne EU.",,"['22794131102.png', '82373351798.png', '88518891097.png', '73735296420.png', '87070126250.png']","Consider the expression: [grešni kozel] in the Slovenian language, and its meaning in context: [Kljub temu je videti, da je v begunski krizi Grčija postala grešni kozel za nemoč celotne EU.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 2, 1]",1.1710329055786133
137,grešni kozel,"Da je Bruselj, predvsem komisija, za domače vlade kot nekakšen grešni kozel , je že tako stara zgodba.",,"['82373351798.png', '22794131102.png', '88518891097.png', '73735296420.png', '87070126250.png']","Consider the expression: [grešni kozel] in the Slovenian language, and its meaning in context: [Da je Bruselj, predvsem komisija, za domače vlade kot nekakšen grešni kozel , je že tako stara zgodba.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 1, 4, 2, 3]",1.635328769683838
138,grešni kozel,"V starodavnem obredu so na polje spustili grešnega kozla, obloženega s simboli vseh zločinov vasi.",,"['82373351798.png', '22794131102.png', '88518891097.png', '73735296420.png', '87070126250.png']","Consider the expression: [grešni kozel] in the Slovenian language, and its meaning in context: [V starodavnem obredu so na polje spustili grešnega kozla, obloženega s simboli vseh zločinov vasi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 3, 2, 5]",0.9457809925079346
139,grešni kozel,"Na kmetiji so imeli grešnega kozla, ki je nenehno bežal iz staje in se zaganjal v vse, kar se je premikalo.",,"['22794131102.png', '82373351798.png', '87070126250.png', '88518891097.png', '73735296420.png']","Consider the expression: [grešni kozel] in the Slovenian language, and its meaning in context: [Na kmetiji so imeli grešnega kozla, ki je nenehno bežal iz staje in se zaganjal v vse, kar se je premikalo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 4, 5]",1.1699328422546387
140,riba na suhem,Eddie se počuti kot riba na suhem in se težko prilagaja novemu okolju.,,"['24589884999.png', '22006891232.png', '70566639579.png', '13792780178.png', '73284087270.png']","Consider the expression: [riba na suhem] in the Slovenian language, and its meaning in context: [Eddie se počuti kot riba na suhem in se težko prilagaja novemu okolju.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 5, 4]",1.4453048706054688
165,mesto duhov,Središče mesta se je spremenilo v mesto duhov in večina prebivalcev se je v strahu pred popotresnimi sunki odselila.,,"['33754434835.png', '95830303397.png', '61556314800.png', '27474270226.png', '63440752447.png']","Consider the expression: [mesto duhov] in the Slovenian language, and its meaning in context: [Središče mesta se je spremenilo v mesto duhov in večina prebivalcev se je v strahu pred popotresnimi sunki odselila.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",1.3959364891052246
166,mesto duhov,"V romanu popotniki vstopijo v mesto duhov, kjer v praznih hišah živijo nevidni prebivalci.",,"['33754434835.png', '95830303397.png', '61556314800.png', '27474270226.png', '63440752447.png']","Consider the expression: [mesto duhov] in the Slovenian language, and its meaning in context: [V romanu popotniki vstopijo v mesto duhov, kjer v praznih hišah živijo nevidni prebivalci.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 4, 1]",0.9671804904937744
