id,nc,sent,rank label,rank pred,input,output,time
0,manzana podrida,"Feijóo convoca una concentración contra Sánchez: ""Es la manzana podrida""",,"['67122883359.png', '91488925796.png', '16280222952.png', '58496175528.png', '70958151741.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [Feijóo convoca una concentración contra Sánchez: ""Es la manzana podrida""]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 4, 1, 3]",1.999002456665039
1,manzana podrida,"El exjugador del Emelec, quien estuvo en el 2022 con el DT Ismael Rescalvo, se mandó una descarga sin anestesia: “Creo que al cuerpo técnico le faltó detectar la manzana podrida. Si estaba en mi decisión, sacaba medio camerino”. Y cuando dijo “manzana podrida” no hablaba de frutas o alimentos, quería decir que había uno o varias jugadores “malcriaditos”.",,"['67122883359.png', '91488925796.png', '58496175528.png', '16280222952.png', '70958151741.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [El exjugador del Emelec, quien estuvo en el 2022 con el DT Ismael Rescalvo, se mandó una descarga sin anestesia: “Creo que al cuerpo técnico le faltó detectar la manzana podrida. Si estaba en mi decisión, sacaba medio camerino”. Y cuando dijo “manzana podrida” no hablaba de frutas o alimentos, quería decir que había uno o varias jugadores “malcriaditos”.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 1, 2, 5]",1.348271369934082
2,manzana podrida,"Si un vino joven tiene contacto excesivo con el oxígeno durante el trasvaso de un barril a otro o durante el embotellado, es muy posible que genere olor a manzana podrida o rancio, o incluso olor a manzanilla.",,"['58496175528.png', '91488925796.png', '67122883359.png', '16280222952.png', '70958151741.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [Si un vino joven tiene contacto excesivo con el oxígeno durante el trasvaso de un barril a otro o durante el embotellado, es muy posible que genere olor a manzana podrida o rancio, o incluso olor a manzanilla.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 2, 3, 1]",0.8564538955688477
3,manzana podrida,Manzana podrida: ¿Cómo identificarla a tiempo?,,"['67122883359.png', '91488925796.png', '58496175528.png', '70958151741.png', '16280222952.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [Manzana podrida: ¿Cómo identificarla a tiempo?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 4, 1]",0.7917952537536621
4,pez gordo,"Cuando llegó el nuevo director financiero, todos se dieron cuenta de que era un pez gordo: su opinión cambiaba el rumbo de toda la empresa.",,"['53236903118.png', '74294201265.png', '17097553379.png', '31737080046.png', '13714438734.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [Cuando llegó el nuevo director financiero, todos se dieron cuenta de que era un pez gordo: su opinión cambiaba el rumbo de toda la empresa.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 5, 2]",0.8304262161254883
5,pez gordo,"Dicen que para conseguir ese contrato necesitas hablar con los peces gordos del municipio, porque solo ellos pueden aprobarlo.",,"['53236903118.png', '31737080046.png', '13714438734.png', '74294201265.png', '17097553379.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [Dicen que para conseguir ese contrato necesitas hablar con los peces gordos del municipio, porque solo ellos pueden aprobarlo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 4, 1, 2]",0.9623780250549316
6,pez gordo,El pescador mostró orgulloso un pez gordo que había sacado del río al amanecer.,,"['13714438734.png', '31737080046.png', '17097553379.png', '74294201265.png', '53236903118.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [El pescador mostró orgulloso un pez gordo que había sacado del río al amanecer.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 1, 2, 5]",0.7447390556335449
7,pez gordo,En el acuario había un pez gordo que destacaba entre todos por su tamaño y colores brillantes.,,"['13714438734.png', '31737080046.png', '53236903118.png', '17097553379.png', '74294201265.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [En el acuario había un pez gordo que destacaba entre todos por su tamaño y colores brillantes.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 2, 5, 1, 4]",0.7706582546234131
8,caja negra,La caja negra de la Inteligencia Artificial se ha convertido en uno de los aspectos más controvertidos y comentados de este tipo de tecnología.,,"['36647846736.png', '22644849497.png', '15670151264.png', '46201486120.png', '98539542083.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [La caja negra de la Inteligencia Artificial se ha convertido en uno de los aspectos más controvertidos y comentados de este tipo de tecnología.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 2, 1, 4]",0.9334301948547363
9,caja negra,"Para muchos usuarios, el algoritmo es una caja negra: saben qué resultados da, pero no cómo funciona por dentro.",,"['36647846736.png', '22644849497.png', '15670151264.png', '98539542083.png', '46201486120.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [Para muchos usuarios, el algoritmo es una caja negra: saben qué resultados da, pero no cómo funciona por dentro.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 5, 2, 1]",0.719998836517334
10,caja negra,Caja negra para regalo personalizada,,"['46201486120.png', '15670151264.png', '22644849497.png', '36647846736.png', '98539542083.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [Caja negra para regalo personalizada]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",0.666722297668457
