id,nc,sent,rank label,rank pred,input,output,time
0,manzana podrida,"Feijóo convoca una concentración contra Sánchez: ""Es la manzana podrida""",,"['91488925796.png', '67122883359.png', '58496175528.png', '16280222952.png', '70958151741.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [Feijóo convoca una concentración contra Sánchez: ""Es la manzana podrida""]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 1, 4, 3]",3.5045504570007324
1,manzana podrida,"El exjugador del Emelec, quien estuvo en el 2022 con el DT Ismael Rescalvo, se mandó una descarga sin anestesia: “Creo que al cuerpo técnico le faltó detectar la manzana podrida. Si estaba en mi decisión, sacaba medio camerino”. Y cuando dijo “manzana podrida” no hablaba de frutas o alimentos, quería decir que había uno o varias jugadores “malcriaditos”.",,"['67122883359.png', '91488925796.png', '70958151741.png', '16280222952.png', '58496175528.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [El exjugador del Emelec, quien estuvo en el 2022 con el DT Ismael Rescalvo, se mandó una descarga sin anestesia: “Creo que al cuerpo técnico le faltó detectar la manzana podrida. Si estaba en mi decisión, sacaba medio camerino”. Y cuando dijo “manzana podrida” no hablaba de frutas o alimentos, quería decir que había uno o varias jugadores “malcriaditos”.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 2, 1]",2.0123488903045654
2,manzana podrida,"Si un vino joven tiene contacto excesivo con el oxígeno durante el trasvaso de un barril a otro o durante el embotellado, es muy posible que genere olor a manzana podrida o rancio, o incluso olor a manzanilla.",,"['91488925796.png', '58496175528.png', '16280222952.png', '70958151741.png', '67122883359.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [Si un vino joven tiene contacto excesivo con el oxígeno durante el trasvaso de un barril a otro o durante el embotellado, es muy posible que genere olor a manzana podrida o rancio, o incluso olor a manzanilla.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 3, 1, 2]",1.1143178939819336
3,manzana podrida,Manzana podrida: ¿Cómo identificarla a tiempo?,,"['91488925796.png', '67122883359.png', '58496175528.png', '70958151741.png', '16280222952.png']","Consider the expression: [manzana podrida] in the Spanish (Ecuador) language, and its meaning in context: [Manzana podrida: ¿Cómo identificarla a tiempo?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 3, 4, 1]",1.1161859035491943
4,pez gordo,"Cuando llegó el nuevo director financiero, todos se dieron cuenta de que era un pez gordo: su opinión cambiaba el rumbo de toda la empresa.",,"['53236903118.png', '13714438734.png', '31737080046.png', '17097553379.png', '74294201265.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [Cuando llegó el nuevo director financiero, todos se dieron cuenta de que era un pez gordo: su opinión cambiaba el rumbo de toda la empresa.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",0.9374234676361084
5,pez gordo,"Dicen que para conseguir ese contrato necesitas hablar con los peces gordos del municipio, porque solo ellos pueden aprobarlo.",,"['53236903118.png', '13714438734.png', '31737080046.png', '17097553379.png', '74294201265.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [Dicen que para conseguir ese contrato necesitas hablar con los peces gordos del municipio, porque solo ellos pueden aprobarlo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 2, 1]",0.9728131294250488
6,pez gordo,El pescador mostró orgulloso un pez gordo que había sacado del río al amanecer.,,"['13714438734.png', '31737080046.png', '53236903118.png', '17097553379.png', '74294201265.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [El pescador mostró orgulloso un pez gordo que había sacado del río al amanecer.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 3, 5, 1, 2]",0.9468622207641602
7,pez gordo,En el acuario había un pez gordo que destacaba entre todos por su tamaño y colores brillantes.,,"['31737080046.png', '13714438734.png', '17097553379.png', '74294201265.png', '53236903118.png']","Consider the expression: [pez gordo] in the Spanish (Ecuador) language, and its meaning in context: [En el acuario había un pez gordo que destacaba entre todos por su tamaño y colores brillantes.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 4, 5]",0.9574365615844727
8,caja negra,La caja negra de la Inteligencia Artificial se ha convertido en uno de los aspectos más controvertidos y comentados de este tipo de tecnología.,,"['22644849497.png', '36647846736.png', '15670151264.png', '46201486120.png', '98539542083.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [La caja negra de la Inteligencia Artificial se ha convertido en uno de los aspectos más controvertidos y comentados de este tipo de tecnología.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 2, 1, 4]",1.4135818481445312
9,caja negra,"Para muchos usuarios, el algoritmo es una caja negra: saben qué resultados da, pero no cómo funciona por dentro.",,"['15670151264.png', '22644849497.png', '36647846736.png', '46201486120.png', '98539542083.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [Para muchos usuarios, el algoritmo es una caja negra: saben qué resultados da, pero no cómo funciona por dentro.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 4, 1, 2]",1.0228242874145508
10,caja negra,Caja negra para regalo personalizada,,"['46201486120.png', '15670151264.png', '22644849497.png', '36647846736.png', '98539542083.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [Caja negra para regalo personalizada]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 1, 5, 3]",0.89005446434021
11,caja negra,"Caja negra con embalaje de regalo blanco de 8,5 x 8,5",,"['46201486120.png', '15670151264.png', '22644849497.png', '36647846736.png', '98539542083.png']","Consider the expression: [caja negra] in the Spanish (Ecuador) language, and its meaning in context: [Caja negra con embalaje de regalo blanco de 8,5 x 8,5]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 4, 1, 2, 3]",0.7565343379974365
12,ojo de gato,"Diseño ojo de gato clásico, elegante y económico.",,"['86031627706.png', '47127541955.png', '86400212934.png', '19060414910.png', '11254839968.png']","Consider the expression: [ojo de gato] in the Spanish (Ecuador) language, and its meaning in context: [Diseño ojo de gato clásico, elegante y económico.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 3, 1]",0.8854925632476807
13,ojo de gato,"Reductores de velocidad, como demarcadores (tachas u ojo de gato, bordillos montables, encauzadores), y otros.",,"['86031627706.png', '47127541955.png', '86400212934.png', '19060414910.png', '11254839968.png']","Consider the expression: [ojo de gato] in the Spanish (Ecuador) language, and its meaning in context: [Reductores de velocidad, como demarcadores (tachas u ojo de gato, bordillos montables, encauzadores), y otros.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 2, 4, 3, 1]",2.432495355606079
14,ojo de gato,"La anatomía del ojo del gato es una maravilla evolutiva, fundamental para su supervivencia y comportamiento. Una de sus características más interesantes es la forma rasgada de su pupila, una hendidura vertical que les permite tener un mayor control sobre la cantidad de luz que le entra al ojo.",,"['86031627706.png', '47127541955.png', '86400212934.png', '11254839968.png', '19060414910.png']","Consider the expression: [ojo de gato] in the Spanish (Ecuador) language, and its meaning in context: [La anatomía del ojo del gato es una maravilla evolutiva, fundamental para su supervivencia y comportamiento. Una de sus características más interesantes es la forma rasgada de su pupila, una hendidura vertical que les permite tener un mayor control sobre la cantidad de luz que le entra al ojo.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 3, 5]",0.9282832145690918
15,ojo de gato,"Enfermedades del ojo de gato: ¿primarias o secundarias? Las enfermedades oculares del gato pueden ser primarias, es decir, que afectan directamente al ojo, o secundarias, es decir, que se producen como consecuencia de otra enfermedad, como por ejemplo",,"['86031627706.png', '86400212934.png', '47127541955.png', '11254839968.png', '19060414910.png']","Consider the expression: [ojo de gato] in the Spanish (Ecuador) language, and its meaning in context: [Enfermedades del ojo de gato: ¿primarias o secundarias? Las enfermedades oculares del gato pueden ser primarias, es decir, que afectan directamente al ojo, o secundarias, es decir, que se producen como consecuencia de otra enfermedad, como por ejemplo]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 5, 2, 4, 3]",0.8794567584991455
16,por los pelos,"Ganaron el partido por los pelos, con un gol en el último minuto.",,"['78682405686.png', '69207875966.png', '51804138783.png', '75153531718.png', '17690092767.png']","Consider the expression: [por los pelos] in the Spanish (Ecuador) language, and its meaning in context: [Ganaron el partido por los pelos, con un gol en el último minuto.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 1, 2]",0.7495005130767822
17,por los pelos,"Aunque se nos dice que tanto las elecciones como el despliegue de EUFOR fueron grandes éxitos, creo que la Unión Europea y el Congo se han escapado del desastre por los pelos.",,"['78682405686.png', '51804138783.png', '75153531718.png', '69207875966.png', '17690092767.png']","Consider the expression: [por los pelos] in the Spanish (Ecuador) language, and its meaning in context: [Aunque se nos dice que tanto las elecciones como el despliegue de EUFOR fueron grandes éxitos, creo que la Unión Europea y el Congo se han escapado del desastre por los pelos.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 2, 5, 1, 3]",0.8231565952301025
18,por los pelos,Una mujer será juzgada por agarrar por los pelos y arrastrar a su suegra,,"['78682405686.png', '69207875966.png', '75153531718.png', '51804138783.png', '17690092767.png']","Consider the expression: [por los pelos] in the Spanish (Ecuador) language, and its meaning in context: [Una mujer será juzgada por agarrar por los pelos y arrastrar a su suegra]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 5, 3, 2, 1]",1.3878700733184814
