id,nc,sent,rank label,rank pred,input,output,time
0,çürük elma,"Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.",,"['46081287159.png', '10884367753.png', '88565564832.png', '96034096013.png', '85682258634.png']","Consider the expression: [çürük elma] in the Turkish language, and its meaning in context: [Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 1, 4, 3]",1.3238365650177002
1,çürük elma,Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.,,"['46081287159.png', '88565564832.png', '10884367753.png', '85682258634.png', '96034096013.png']","Consider the expression: [çürük elma] in the Turkish language, and its meaning in context: [Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 4, 5, 2]",0.8349711894989014
2,çürük elma,"Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.",,"['46081287159.png', '88565564832.png', '10884367753.png', '96034096013.png', '85682258634.png']","Consider the expression: [çürük elma] in the Turkish language, and its meaning in context: [Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 4, 5, 1, 3]",1.3908069133758545
3,çürük elma,"Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.",,"['46081287159.png', '88565564832.png', '10884367753.png', '96034096013.png', '85682258634.png']","Consider the expression: [çürük elma] in the Turkish language, and its meaning in context: [Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 5, 4]",0.8482766151428223
4,kara kutu,Derin öğrenme neden kara kutu olarak görülüyor?,,"['55008421495.png', '77894435620.png', '14611993362.png', '42749624665.png', '76095207275.png']","Consider the expression: [kara kutu] in the Turkish language, and its meaning in context: [Derin öğrenme neden kara kutu olarak görülüyor?]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 4, 2]",0.9190278053283691
5,kara kutu,"Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.",,"['55008421495.png', '77894435620.png', '76095207275.png', '42749624665.png', '14611993362.png']","Consider the expression: [kara kutu] in the Turkish language, and its meaning in context: [Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[5, 3, 1, 4, 2]",0.9051303863525391
6,kara kutu,Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu,,"['14611993362.png', '55008421495.png', '77894435620.png', '42749624665.png', '76095207275.png']","Consider the expression: [kara kutu] in the Turkish language, and its meaning in context: [Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 5, 3, 4, 1]",0.9639074802398682
7,kara kutu,Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.,,"['14611993362.png', '55008421495.png', '76095207275.png', '42749624665.png', '77894435620.png']","Consider the expression: [kara kutu] in the Turkish language, and its meaning in context: [Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 4, 5, 3]",2.058255672454834
8,ekmek teknesi,Bu kahve de bizim ekmek teknemiz.,,"['10556771614.png', '15845776539.png', '88366896414.png', '34196846786.png', '56471498291.png']","Consider the expression: [ekmek teknesi] in the Turkish language, and its meaning in context: [Bu kahve de bizim ekmek teknemiz.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[4, 1, 2, 5, 3]",1.0161705017089844
9,ekmek teknesi,Açın gözü ekmek teknesinde olur.,,"['15845776539.png', '10556771614.png', '88366896414.png', '34196846786.png', '56471498291.png']","Consider the expression: [ekmek teknesi] in the Turkish language, and its meaning in context: [Açın gözü ekmek teknesinde olur.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 5, 1, 2]",0.7889032363891602
