id,nc,sent,rank label,rank pred,input,output,time
0,tirriq buzoq,"Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.",,"['75058565937.png', '56166268135.png', '86868362830.png', '46119799164.png', '46157199031.png']","Consider the expression: [tirriq buzoq] in the Uzbek language, and its meaning in context: [Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 1, 2, 4, 5]",2.4027488231658936
1,tirriq buzoq,"Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi",,"['75058565937.png', '56166268135.png', '86868362830.png', '46119799164.png', '46157199031.png']","Consider the expression: [tirriq buzoq] in the Uzbek language, and its meaning in context: [Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 4, 2, 3, 5]",1.3696882724761963
2,tirriq buzoq,"Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.",,"['75058565937.png', '56166268135.png', '86868362830.png', '46119799164.png', '46157199031.png']","Consider the expression: [tirriq buzoq] in the Uzbek language, and its meaning in context: [Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 5, 1, 2, 4]",2.5292530059814453
3,tirriq buzoq,Og'ilda ikki tirriq buzoq va bir sigir bor edi.,,"['56166268135.png', '75058565937.png', '86868362830.png', '46119799164.png', '46157199031.png']","Consider the expression: [tirriq buzoq] in the Uzbek language, and its meaning in context: [Og'ilda ikki tirriq buzoq va bir sigir bor edi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[3, 4, 2, 5, 1]",2.8733584880828857
4,ko'zini moshdek ochmoq,"Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!",,"['89801878410.png', '84677103218.png', '22031587227.png', '42808204143.png', '43103006663.png']","Consider the expression: [ko'zini moshdek ochmoq] in the Uzbek language, and its meaning in context: [Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 5, 1, 4]",1.5486626625061035
5,ko'zini moshdek ochmoq,Mana bugungi majlis ko‘zimni moshdek ochdi.,,"['22031587227.png', '84677103218.png', '89801878410.png', '43103006663.png', '42808204143.png']","Consider the expression: [ko'zini moshdek ochmoq] in the Uzbek language, and its meaning in context: [Mana bugungi majlis ko‘zimni moshdek ochdi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 3, 1, 5, 4]",1.0546612739562988
6,ko'zini moshdek ochmoq,"Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.",,"['22031587227.png', '84677103218.png', '89801878410.png', '43103006663.png', '42808204143.png']","Consider the expression: [ko'zini moshdek ochmoq] in the Uzbek language, and its meaning in context: [Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",6.047189235687256
7,ko'zini moshdek ochmoq,U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.,,"['84677103218.png', '22031587227.png', '89801878410.png', '43103006663.png', '42808204143.png']","Consider the expression: [ko'zini moshdek ochmoq] in the Uzbek language, and its meaning in context: [U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 2, 3, 5, 4]",1.2728087902069092
8,qora quti,U aviahalokat sabablari bortdagi maxsus qurilma hamda qora quti ma’lumotlari asosida aniqlanishini qayd etgan.,,"['86765380565.png', '80966283780.png', '85041395219.png', '57356563999.png', '45524682328.png']","Consider the expression: [qora quti] in the Uzbek language, and its meaning in context: [U aviahalokat sabablari bortdagi maxsus qurilma hamda qora quti ma’lumotlari asosida aniqlanishini qayd etgan.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[2, 1, 5, 3, 4]",6.354295015335083
9,qora quti,Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.,,"['86765380565.png', '80966283780.png', '85041395219.png', '57356563999.png', '45524682328.png']","Consider the expression: [qora quti] in the Uzbek language, and its meaning in context: [Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.]. Rank the following captions based on how well that they relect that meaning. Return only a list of reordered indices, e.g., [1, 3, 2, 4, 5], from most to least similar. Do not include any explanation.","[1, 3, 2, 5, 4]",3.820920467376709
