id,nc,sent,type label,type pred,input,output,time
0,黑箱,所有领导人由少数人闭门决定，完全黑箱作业。,,idiomatic,"In the Chinese language, determine whether the expression [黑箱] in this context [所有领导人由少数人闭门决定，完全黑箱作业。] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.5359649658203125
1,黑箱,第二，缺乏严格的程序性审查，导致很多加分通过黑箱操作等不正当的手段来获取。,,idiomatic,"In the Chinese language, determine whether the expression [黑箱] in this context [第二，缺乏严格的程序性审查，导致很多加分通过黑箱操作等不正当的手段来获取。] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4895479679107666
2,黑箱,对于客厅电脑来说 ，颜值与体积的重要性不言而喻 ，放置一个丑陋的黑箱子显得与整体风格格格不入 ，,,literal,"In the Chinese language, determine whether the expression [黑箱] in this context [对于客厅电脑来说 ，颜值与体积的重要性不言而喻 ，放置一个丑陋的黑箱子显得与整体风格格格不入 ，] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.0210390090942383
3,黑箱,在这里，一改旧日的长方桌或者圆桌，而是用了小黑箱，与地板的燕子斑马条纹相衬，,,literal,"In the Chinese language, determine whether the expression [黑箱] in this context [在这里，一改旧日的长方桌或者圆桌，而是用了小黑箱，与地板的燕子斑马条纹相衬，] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.4207160472869873
4,谋生之道,我们每一个人不都需要知道正确的谋生之道吗?,,literal,"In the Chinese language, determine whether the expression [谋生之道] in this context [我们每一个人不都需要知道正确的谋生之道吗?] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.873028039932251
5,谋生之道,中餐馆，华人天然的谋生之道。,,literal,"In the Chinese language, determine whether the expression [谋生之道] in this context [中餐馆，华人天然的谋生之道。] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.505636215209961
6,谋生之道,谋生之道是《逸剑风云决》的一条支线任务，可以让玩家获取各种奖励来更好的完成主线任务。,,literal,"In the Chinese language, determine whether the expression [谋生之道] in this context [谋生之道是《逸剑风云决》的一条支线任务，可以让玩家获取各种奖励来更好的完成主线任务。] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.148290157318115
7,道路反光标记,"本实用新型提供一种自清洁道路反光标记,",,literal,"In the Chinese language, determine whether the expression [道路反光标记] in this context [本实用新型提供一种自清洁道路反光标记,] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.1392130851745605
8,道路反光标记,"道路反光标记,包括片体及其上粘合的反光片,片体背面的连接件,",,literal,"In the Chinese language, determine whether the expression [道路反光标记] in this context [道路反光标记,包括片体及其上粘合的反光片,片体背面的连接件,] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.1563048362731934
9,九牛一毛,看起来花了不少钱，但和赚的相比就是九牛一毛了。,,idiomatic,"In the Chinese language, determine whether the expression [九牛一毛] in this context [看起来花了不少钱，但和赚的相比就是九牛一毛了。] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.793839931488037
