id,nc,sent,type label,type pred,input,output,time
0,ცუდი ნაყოფი,კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.,,literal,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.020857572555542
1,ცუდი ნაყოფი,"არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს",,literal,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.8841278553009033
2,ცუდი ნაყოფი,"ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.",,literal,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""ცუდი  ნააყოოფი"" in this context is used **literally**, referring to poor-quality fruit or yield. 

literal",2.015366792678833
3,ცუდი ნაყოფი,"და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.",,literal,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.314786911010742
4,ვინმესთვის თვალის ახელა,"საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.",,literal,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.026301145553589
5,ვინმესთვის თვალის ახელა,ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!,,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""თვალის ა ახელა"" in this context is used **idiomatically**.  

idiomatic",1.3812973499298096
6,ვინმესთვის თვალის ახელა,"მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.",,literal,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.101684331893921
7,ვინმესთვის თვალის ახელა,"წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.",,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.348006248474121
8,დიდი მოთამაშე,"თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.",,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.840878963470459
10,დიდი მოთამაშე,NBA-ს კიდევ ორი დიდი მოთამაშე დაემშვიდობა.,,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [NBA-ს კიდევ ორი დიდი მოთამაშე დაემშვიდობა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8725566864013672
11,დიდი მოთამაშე,რა ხდება „სამ ლომთან“? დიდი მოთამაშე ტოვებს ეროვნულ გუნდს.,,literal,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [რა ხდება „სამ ლომთან“? დიდი მოთამაშე ტოვებს ეროვნულ გუნდს.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""დიდი მოთამააშე"" (big player) in this context is used **literally**, referring to a significant or key player leaving the national team. 

literal",1.9787793159484863
12,შავი ყუთი,ჩვენი მეხსიერება ერთგვარი „შავი ყუთია“ და მისი წყალობით მთელი ცხოვრების მანძილზე დავატარებთ ინფორმაციას,,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [ჩვენი მეხსიერება ერთგვარი „შავი ყუთია“ და მისი წყალობით მთელი ცხოვრების მანძილზე დავატარებთ ინფორმაციას] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.765931129455566
13,შავი ყუთი,"ლუქსემბურგის საინვესტიციო ფონდები ფინანსური „შავი ყუთია“, რომელიც ადამიანებს ფულის გათეთრებასა და გადასახადების თავიდან არიდებაში ეხმარება.",,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [ლუქსემბურგის საინვესტიციო ფონდები ფინანსური „შავი ყუთია“, რომელიც ადამიანებს ფულის გათეთრებასა და გადასახადების თავიდან არიდებაში ეხმარება.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.762371778488159
14,შავი ყუთი,"შავი ყუთის სისტემა, როგორც წესი გამოისახება ინფორმაციული ნაკადების დიაგრამის სახით, შავი ყუთით ცენტრში.",,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [შავი ყუთის სისტემა, როგორც წესი გამოისახება ინფორმაციული ნაკადების დიაგრამის სახით, შავი ყუთით ცენტრში.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""შავი ყუთი""** (black box) in this context is used **idiomatically**. 

**Answer:** idiomatic",1.8318769931793213
15,შავი ყუთი,"ალბათ, მკითხველს დააინტერესებს როგორია სინამდვილეში ""შავი ყუთი"".",,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [ალბათ, მკითხველს დააინტერესებს როგორია სინამდვილეში ""შავი ყუთი"".] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.5926880836486816
17,საყრდენი ქვა,"ეს კრებული შეიცავს პლატონის კლასიკურ დიალოგებს, რომლებიც დასავლეთის ფილოსოფიის საყრდენი ქვაა.",,idiomatic,"In the Georgian language, determine whether the expression [საყრდენი ქვა] in this context [ეს კრებული შეიცავს პლატონის კლასიკურ დიალოგებს, რომლებიც დასავლეთის ფილოსოფიის საყრდენი ქვაა.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""სააყრრდენი  ქვა"" in this context is used **idiomatically**. It metaphorically refers to the ""cornerstone"" or foundational element of Western philosophy. 

idiomatic",2.3283536434173584
18,საყრდენი ქვა,"საინტერესოა აღინიშნოს, რომ ორი საყრდენი ქვა, როგორც ჩანს, ცოტა მოკლე იყო და მათზე დაახლოებით თავის ზომის ლოდის დადებამ „დაეხმარა“.",,literal,"In the Georgian language, determine whether the expression [საყრდენი ქვა] in this context [საინტერესოა აღინიშნოს, რომ ორი საყრდენი ქვა, როგორც ჩანს, ცოტა მოკლე იყო და მათზე დაახლოებით თავის ზომის ლოდის დადებამ „დაეხმარა“.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""სააყრრდენი  ქვა""** in this context is used **literally**, referring to actual supporting stones. 

**Answer:** literal",1.81292724609375
19,საყრდენი ქვა,ჩვენი საყრდენი ქვა ბუნებრივი და ფერადია.,,idiomatic,"In the Georgian language, determine whether the expression [საყრდენი ქვა] in this context [ჩვენი საყრდენი ქვა ბუნებრივი და ფერადია.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9430878162384033
20,კაპიკად ღირებული,"ყოველი მათგანი კაპიკად ღირებული სარგებლისათვის, ყელს გამოგღადრავს.",,idiomatic,"In the Georgian language, determine whether the expression [კაპიკად ღირებული] in this context [ყოველი მათგანი კაპიკად ღირებული სარგებლისათვის, ყელს გამოგღადრავს.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,7.590151309967041
21,კაპიკად ღირებული,"ამის საპირისპიროდ ჩნდებოდნენ ადამიანები, ვისაც არ აკმაყოფილებდა მინიმალური საცხოვრებელი პირობები და კაპიკად ღირებული შაქარი, ვინც მისტიროდნენ დახვრეტილ მწერლებს და ისინი, ვინც ზიზღით ახსენებდნენ სტალინის სახელს…",,idiomatic,"In the Georgian language, determine whether the expression [კაპიკად ღირებული] in this context [ამის საპირისპიროდ ჩნდებოდნენ ადამიანები, ვისაც არ აკმაყოფილებდა მინიმალური საცხოვრებელი პირობები და კაპიკად ღირებული შაქარი, ვინც მისტიროდნენ დახვრეტილ მწერლებს და ისინი, ვინც ზიზღით ახსენებდნენ სტალინის სახელს…] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.331038236618042
22,კაპიკად ღირებული,"მოხუცმა ქალმა ააწონინა ნახევარი კილო ძეხვი „მოყვარულთა“, ორასი გრამი ყველი „რუსეთული“, გამოართვა ერთიც ორმოცდაორ კაპიკად ღირებული მდოგვი.",,literal,"In the Georgian language, determine whether the expression [კაპიკად ღირებული] in this context [მოხუცმა ქალმა ააწონინა ნახევარი კილო ძეხვი „მოყვარულთა“, ორასი გრამი ყველი „რუსეთული“, გამოართვა ერთიც ორმოცდაორ კაპიკად ღირებული მდოგვი.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,11.962300539016724
23,კაპიკად ღირებული,"მედუქნეს თხოვა 30 კაპიკად ღირებული 4 შეკვრა თუთუნი, 9 კოლოფი ვაზნები, რომლის ფასი დათამ.",,idiomatic,"In the Georgian language, determine whether the expression [კაპიკად ღირებული] in this context [მედუქნეს თხოვა 30 კაპიკად ღირებული 4 შეკვრა თუთუნი, 9 კოლოფი ვაზნები, რომლის ფასი დათამ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.1165854930877686
24,ბეწვზე გადარჩენა,"ომში კი, ვიყავი, როგორ არა... ორიოლთან დავიჭერი, ბეწვზე გადავრჩი",,idiomatic,"In the Georgian language, determine whether the expression [ბეწვზე გადარჩენა] in this context [ომში კი, ვიყავი, როგორ არა... ორიოლთან დავიჭერი, ბეწვზე გადავრჩი] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.667912483215332
25,ბეწვზე გადარჩენა,"სამზარეულოში ჭერი ჩამოინგრა, მე... რაღაც ბეწვზე გადავრჩი",,idiomatic,"In the Georgian language, determine whether the expression [ბეწვზე გადარჩენა] in this context [სამზარეულოში ჭერი ჩამოინგრა, მე... რაღაც ბეწვზე გადავრჩი] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.6186747550964355
27,ბეწვზე გადარჩენა,"ადგილობრივის თქმით, ავტომობილის მძღოლი ბეწვზე გადარჩა.",,idiomatic,"In the Georgian language, determine whether the expression [ბეწვზე გადარჩენა] in this context [ადგილობრივის თქმით, ავტომობილის მძღოლი ბეწვზე გადარჩა.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""ბეწვზე გადარჩენა"" in this context is used **idiomatically**. 

(Note: The correct form is ""ბეწვზე გადარჩენა"" (to save someone's skin), not ""გადარარჩა,"" which is a past tense form. The idiom means to rescue someone from danger or a difficult situation.) 

Returned: idiomatic",3.5180110931396484
28,ეშმაკის ადვოკატი,"“ეშმაკის ადვოკატი პროკურორია"".",,idiomatic,"In the Georgian language, determine whether the expression [ეშმაკის ადვოკატი] in this context [“ეშმაკის ადვოკატი პროკურორია"".] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.747093915939331
29,ეშმაკის ადვოკატი,ეშმაკის ადვოკატი ანუ პოლიტიკური ეგზორციზმი ქართულად.,,idiomatic,"In the Georgian language, determine whether the expression [ეშმაკის ადვოკატი] in this context [ეშმაკის ადვოკატი ანუ პოლიტიკური ეგზორციზმი ქართულად.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.222477197647095
30,ეშმაკის ადვოკატი,"არსებობდა თუ არა რეალურად პროფესია ""ეშმაკის ადვოკატი""",,idiomatic,"In the Georgian language, determine whether the expression [ეშმაკის ადვოკატი] in this context [არსებობდა თუ არა რეალურად პროფესია ""ეშმაკის ადვოკატი""] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2576756477355957
