id,nc,sent,type label,type pred,input,output,time
0,ცუდი ნაყოფი,კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.,,idiomatic,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.083124876022339
1,ცუდი ნაყოფი,"არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს",,idiomatic,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.525181293487549
2,ცუდი ნაყოფი,"ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.",,literal,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.0832128524780273
3,ცუდი ნაყოფი,"და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.",,idiomatic,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.894990921020508
4,ვინმესთვის თვალის ახელა,"საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.",,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.206286907196045
5,ვინმესთვის თვალის ახელა,ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!,,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.695540904998779
6,ვინმესთვის თვალის ახელა,"მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.",,literal,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.311770677566528
7,ვინმესთვის თვალის ახელა,"წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.",,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.104811191558838
8,დიდი მოთამაშე,"თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.",,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.648613929748535
9,დიდი მოთამაშე,გახდება თუ არა სილკნეტი კომუნიკაციის ბაზრის ყველაზე დიდი მოთამაშე,,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [გახდება თუ არა სილკნეტი კომუნიკაციის ბაზრის ყველაზე დიდი მოთამაშე] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.2751407623291016
10,დიდი მოთამაშე,NBA-ს კიდევ ორი დიდი მოთამაშე დაემშვიდობა.,,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [NBA-ს კიდევ ორი დიდი მოთამაშე დაემშვიდობა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.4733550548553467
11,დიდი მოთამაშე,რა ხდება „სამ ლომთან“? დიდი მოთამაშე ტოვებს ეროვნულ გუნდს.,,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [რა ხდება „სამ ლომთან“? დიდი მოთამაშე ტოვებს ეროვნულ გუნდს.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,7.577737331390381
12,შავი ყუთი,ჩვენი მეხსიერება ერთგვარი „შავი ყუთია“ და მისი წყალობით მთელი ცხოვრების მანძილზე დავატარებთ ინფორმაციას,,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [ჩვენი მეხსიერება ერთგვარი „შავი ყუთია“ და მისი წყალობით მთელი ცხოვრების მანძილზე დავატარებთ ინფორმაციას] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.9295830726623535
13,შავი ყუთი,"ლუქსემბურგის საინვესტიციო ფონდები ფინანსური „შავი ყუთია“, რომელიც ადამიანებს ფულის გათეთრებასა და გადასახადების თავიდან არიდებაში ეხმარება.",,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [ლუქსემბურგის საინვესტიციო ფონდები ფინანსური „შავი ყუთია“, რომელიც ადამიანებს ფულის გათეთრებასა და გადასახადების თავიდან არიდებაში ეხმარება.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.61279296875
14,შავი ყუთი,"შავი ყუთის სისტემა, როგორც წესი გამოისახება ინფორმაციული ნაკადების დიაგრამის სახით, შავი ყუთით ცენტრში.",,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [შავი ყუთის სისტემა, როგორც წესი გამოისახება ინფორმაციული ნაკადების დიაგრამის სახით, შავი ყუთით ცენტრში.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.910741090774536
15,შავი ყუთი,"ალბათ, მკითხველს დააინტერესებს როგორია სინამდვილეში ""შავი ყუთი"".",,idiomatic,"In the Georgian language, determine whether the expression [შავი ყუთი] in this context [ალბათ, მკითხველს დააინტერესებს როგორია სინამდვილეში ""შავი ყუთი"".] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.031987905502319
16,საყრდენი ქვა,ალჟირი ჩრდილოეთ აფრიკაში სტაბილურობის საყრდენი ქვაა.,,idiomatic,"In the Georgian language, determine whether the expression [საყრდენი ქვა] in this context [ალჟირი ჩრდილოეთ აფრიკაში სტაბილურობის საყრდენი ქვაა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.839704990386963
