id,nc,sent,type label,type pred,input,output,time
0,ცუდი ნაყოფი,კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.,,idiomatic,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [კიდეც ფიქრობდნენ _ ამ მისმა (ნოინის) ზრუნვამ ცუდი ნაყოფი არ გამოიღოსო.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.9176199436187744
1,ცუდი ნაყოფი,"არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს",,idiomatic,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [არ არსებობს კარგი ხე, რომელმაც ცუდი ნაყოფი გამოიღოს] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8349640369415283
2,ცუდი ნაყოფი,"ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.",,literal,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [ნაკლებობა: სუსტი ფესვთა სისტემა, ცუდი ნაყოფის ხარისხი, ნაყოფის მომწიფების შენელება.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0275111198425293
3,ცუდი ნაყოფი,"და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.",,idiomatic,"In the Georgian language, determine whether the expression [ცუდი ნაყოფი] in this context [და აჰა, აქ არის ყველანაირი ცუდი ნაყოფი; და არ მოაქვს არანაირი სარგებელი, მთელი ჩვენი შრომის მიუხედავად.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9879510402679443
4,ვინმესთვის თვალის ახელა,"საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.",,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [საჭირო იყო გამორკვევა, თვალების ახელა და დაკვირვებით სწორ გზაზე გავლა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0998921394348145
5,ვინმესთვის თვალის ახელა,ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!,,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [ერთადერთი მისია აქვს ასეთ კინოს - თვალის ახელა!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.025190830230713
6,ვინმესთვის თვალის ახელა,"მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.",,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [მგზავრები თვალის ახელას ვეღარ ახერხებდნენ, რადგანაც პირდაპირი ქარი იყო და თვალებში მტვერს აყრიდა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9430181980133057
7,ვინმესთვის თვალის ახელა,"წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.",,idiomatic,"In the Georgian language, determine whether the expression [ვინმესთვის თვალის ახელა] in this context [წყალზე გავლა, ბრმებისთვის თვალის ახელა, წყლის ღვინოდ ქცევა.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.541459083557129
8,დიდი მოთამაშე,"თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.",,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [თუმცა, აღსანიშნავია, რომ ნავთობის ინდუსტრიის ყველაზე დიდი მოთამაშე ამერიკული კომპანია არ არის.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0502851009368896
9,დიდი მოთამაშე,გახდება თუ არა სილკნეტი კომუნიკაციის ბაზრის ყველაზე დიდი მოთამაშე,,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [გახდება თუ არა სილკნეტი კომუნიკაციის ბაზრის ყველაზე დიდი მოთამაშე] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.4509131908416748
10,დიდი მოთამაშე,NBA-ს კიდევ ორი დიდი მოთამაშე დაემშვიდობა.,,literal,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [NBA-ს კიდევ ორი დიდი მოთამაშე დაემშვიდობა.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.862421989440918
11,დიდი მოთამაშე,რა ხდება „სამ ლომთან“? დიდი მოთამაშე ტოვებს ეროვნულ გუნდს.,,idiomatic,"In the Georgian language, determine whether the expression [დიდი მოთამაშე] in this context [რა ხდება „სამ ლომთან“? დიდი მოთამაშე ტოვებს ეროვნულ გუნდს.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.953251838684082
