id,nc,sent,type label,type pred,input,output,time
0,μαύρο κουτί,Ουσιαστικά σ' αυτό το σενάριο η ψυχή λειτουργεί ως μαύρο κουτί.,,idiomatic,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Ουσιαστικά σ' αυτό το σενάριο η ψυχή λειτουργεί ως μαύρο κουτί.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0784311294555664
1,μαύρο κουτί,"Το μαύρο κουτί της γλώσσας του παιδικού ιχνογραφήματος και μάλιστα σε ό,τι αφορά τις οικογενειακές imagos του παιδιού.",,idiomatic,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Το μαύρο κουτί της γλώσσας του παιδικού ιχνογραφήματος και μάλιστα σε ό,τι αφορά τις οικογενειακές imagos του παιδιού.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[μαύρο κουτί]"" (black box) in this context is used **idiomatically**.  

**idiomatic**",1.720616340637207
2,μαύρο κουτί,Στο μαύρο κουτί βρήκε παλιές φωτογραφίες και γράμματα,,literal,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Στο μαύρο κουτί βρήκε παλιές φωτογραφίες και γράμματα] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.371652126312256
3,μαύρο κουτί,Πάνω στο γραφείο ξεχασμένο ένα μαύρο κουτί.,,literal,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Πάνω στο γραφείο ξεχασμένο ένα μαύρο κουτί.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0667304992675781
4,το άλφα και το ωμέγα,"Το άλφα και το ωμέγα της ευελιξίας αυτής, είναι η χρήση διαφορετικών φελλών ανάλογα με τις συνθήκες που συναντάμε κάθε φορά και φυσικά ανάλογα με τη μορφολογία του εκάστοτε τόπου.",,literal,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Το άλφα και το ωμέγα της ευελιξίας αυτής, είναι η χρήση διαφορετικών φελλών ανάλογα με τις συνθήκες που συναντάμε κάθε φορά και φυσικά ανάλογα με τη μορφολογία του εκάστοτε τόπου.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.959341526031494
5,το άλφα και το ωμέγα,"Έτσι ο ίδιος έγραψε σε ένα από τα πρώτα του άρθρα, ότι η σειρά με την οποία κολλιούνται διάφορα κομμάτια φιλμ -το μοντάζ- ήταν το άλφα και το ωμέγα της κινηματογραφικής επίδρασης επάνω στον θεατή",,idiomatic,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Έτσι ο ίδιος έγραψε σε ένα από τα πρώτα του άρθρα, ότι η σειρά με την οποία κολλιούνται διάφορα κομμάτια φιλμ -το μοντάζ- ήταν το άλφα και το ωμέγα της κινηματογραφικής επίδρασης επάνω στον θεατή] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,9.06848669052124
6,το άλφα και το ωμέγα,"Στο εργαστήριο καλλιγραφίας, ο δάσκαλος έδειχνε στα παιδιά πώς να γράφουν σωστά το άλφα και το ωμέγα.",,literal,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Στο εργαστήριο καλλιγραφίας, ο δάσκαλος έδειχνε στα παιδιά πώς να γράφουν σωστά το άλφα και το ωμέγα.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""το άλφα και το ωμέγα"" in this context is used **literally**, as it refers to the actual letters of the Greek alphabet (alpha and omega) being taught in a calligraphy lesson.  

literal",2.165825843811035
7,το άλφα και το ωμέγα,Ο γλύπτης χάραξε το άλφα και το ωμέγα πάνω σε μια πέτρα για να δείξει την αρχή και το τέλος της σειράς.,,idiomatic,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Ο γλύπτης χάραξε το άλφα και το ωμέγα πάνω σε μια πέτρα για να δείξει την αρχή και το τέλος της σειράς.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7860107421875
10,μάτι της γάτας 1,Ο κτηνίατρος εξέτασε προσεκτικά το μάτι της γάτας για σημάδια φλεγμονής.,,literal,"In the Greek language, determine whether the expression [μάτι της γάτας 1] in this context [Ο κτηνίατρος εξέτασε προσεκτικά το μάτι της γάτας για σημάδια φλεγμονής.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.161024808883667
11,μάτι της γάτας 1,Η ζωγράφος προσπάθησε να αποδώσει με λεπτομέρεια το μάτι της γάτας στον καμβά.,,literal,"In the Greek language, determine whether the expression [μάτι της γάτας 1] in this context [Η ζωγράφος προσπάθησε να αποδώσει με λεπτομέρεια το μάτι της γάτας στον καμβά.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.120288372039795
14,ένα κομμάτι ψωμί,"Στα καραβάνσαραϊ και τα κοινά συσσίτια ""Μία σούπα και ένα κομμάτι ψωμί "" είναι πάντα έτοιμα να προσφερθούν στον ξένο και στον οποιουδήποτε θρησκεύματος οδοιπόρο. Το πιο συχνό είδος ψωμιού είναι το άσπρο ψωμί.",,literal,"In the Greek language, determine whether the expression [ένα κομμάτι ψωμί] in this context [Στα καραβάνσαραϊ και τα κοινά συσσίτια ""Μία σούπα και ένα κομμάτι ψωμί "" είναι πάντα έτοιμα να προσφερθούν στον ξένο και στον οποιουδήποτε θρησκεύματος οδοιπόρο. Το πιο συχνό είδος ψωμιού είναι το άσπρο ψωμί.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""ένα κομμάτι ψωμί"" in this context is used **literally**, referring to a piece of bread as part of a meal. 

literal",1.8582251071929932
15,ένα κομμάτι ψωμί,"Βέβαια, για τότε ήταν σωστό, γιατί ο κόσμος υπέφερε.Δεν είχε να φάει ένα κομμάτι ψωμί και πέθαινε στους δρόμους από τις αρρώστιες.",,literal,"In the Greek language, determine whether the expression [ένα κομμάτι ψωμί] in this context [Βέβαια, για τότε ήταν σωστό, γιατί ο κόσμος υπέφερε.Δεν είχε να φάει ένα κομμάτι ψωμί και πέθαινε στους δρόμους από τις αρρώστιες.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.249105930328369
16,παρά τρίχα,Ένα λεωφορείο που μεταφέρει σχεδόν 50 άτομα αποφεύγει παρα τρίχα μια σύγκρουση στον αυτοκινητόδρομο M40 της Βρετανίας.,,idiomatic,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [Ένα λεωφορείο που μεταφέρει σχεδόν 50 άτομα αποφεύγει παρα τρίχα μια σύγκρουση στον αυτοκινητόδρομο M40 της Βρετανίας.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.551098108291626
17,παρά τρίχα,"Σαν σήμερα λοιπόν, τo καλοκαίρι του 1976, μόλις έχω ξεφορτώσει από την πλάτη μου το εξατάξιο, έχω περάσει την κεντρική πύλη στο πανεπιστήμιο, έχω παρα τρίχα γλυτώσει την αναρρόφηση από το μεθύσι που έκανα για να ""γλεντήσω"" την ""επιτυχία"" μου.",,idiomatic,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [Σαν σήμερα λοιπόν, τo καλοκαίρι του 1976, μόλις έχω ξεφορτώσει από την πλάτη μου το εξατάξιο, έχω περάσει την κεντρική πύλη στο πανεπιστήμιο, έχω παρα τρίχα γλυτώσει την αναρρόφηση από το μεθύσι που έκανα για να ""γλεντήσω"" την ""επιτυχία"" μου.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""παρά τρίχα""** in this context is used **idiomatically**.  

(It means ""by a hair's breadth"" or ""very nearly,"" indicating a close escape from something.)  

**Answer:** idiomatic",2.632488250732422
18,παρά τρίχα,Καλύτερα να πέσει λίγη σάλτσα στο τραπεζομάντιλο παρά τρίχα στο φαγητό.,,idiomatic,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [Καλύτερα να πέσει λίγη σάλτσα στο τραπεζομάντιλο παρά τρίχα στο φαγητό.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""παρά τρίχα"" in this context is used **idiomatically**.  

(It translates to ""rather than a hair"" but functions idiomatically to mean ""rather than something undesirable/unwanted."")  

Returning only:  
idiomatic",2.371260643005371
19,παρά τρίχα,πρώτη φορά βλέπω πολύχρωμο πινέλο τρίχα παρά τρίχα κι άλλο χρώμα.,,literal,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [πρώτη φορά βλέπω πολύχρωμο πινέλο τρίχα παρά τρίχα κι άλλο χρώμα.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.945296287536621
