id,nc,sent,type label,type pred,input,output,time
0,μαύρο κουτί,Ουσιαστικά σ' αυτό το σενάριο η ψυχή λειτουργεί ως μαύρο κουτί.,,idiomatic,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Ουσιαστικά σ' αυτό το σενάριο η ψυχή λειτουργεί ως μαύρο κουτί.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.766862154006958
1,μαύρο κουτί,"Το μαύρο κουτί της γλώσσας του παιδικού ιχνογραφήματος και μάλιστα σε ό,τι αφορά τις οικογενειακές imagos του παιδιού.",,idiomatic,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Το μαύρο κουτί της γλώσσας του παιδικού ιχνογραφήματος και μάλιστα σε ό,τι αφορά τις οικογενειακές imagos του παιδιού.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.467023134231567
2,μαύρο κουτί,Στο μαύρο κουτί βρήκε παλιές φωτογραφίες και γράμματα,,literal,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Στο μαύρο κουτί βρήκε παλιές φωτογραφίες και γράμματα] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.8153269290924072
3,μαύρο κουτί,Πάνω στο γραφείο ξεχασμένο ένα μαύρο κουτί.,,literal,"In the Greek language, determine whether the expression [μαύρο κουτί] in this context [Πάνω στο γραφείο ξεχασμένο ένα μαύρο κουτί.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.1367411613464355
4,το άλφα και το ωμέγα,"Το άλφα και το ωμέγα της ευελιξίας αυτής, είναι η χρήση διαφορετικών φελλών ανάλογα με τις συνθήκες που συναντάμε κάθε φορά και φυσικά ανάλογα με τη μορφολογία του εκάστοτε τόπου.",,idiomatic,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Το άλφα και το ωμέγα της ευελιξίας αυτής, είναι η χρήση διαφορετικών φελλών ανάλογα με τις συνθήκες που συναντάμε κάθε φορά και φυσικά ανάλογα με τη μορφολογία του εκάστοτε τόπου.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.7439441680908203
5,το άλφα και το ωμέγα,"Έτσι ο ίδιος έγραψε σε ένα από τα πρώτα του άρθρα, ότι η σειρά με την οποία κολλιούνται διάφορα κομμάτια φιλμ -το μοντάζ- ήταν το άλφα και το ωμέγα της κινηματογραφικής επίδρασης επάνω στον θεατή",,idiomatic,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Έτσι ο ίδιος έγραψε σε ένα από τα πρώτα του άρθρα, ότι η σειρά με την οποία κολλιούνται διάφορα κομμάτια φιλμ -το μοντάζ- ήταν το άλφα και το ωμέγα της κινηματογραφικής επίδρασης επάνω στον θεατή] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.350176095962524
6,το άλφα και το ωμέγα,"Στο εργαστήριο καλλιγραφίας, ο δάσκαλος έδειχνε στα παιδιά πώς να γράφουν σωστά το άλφα και το ωμέγα.",,literal,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Στο εργαστήριο καλλιγραφίας, ο δάσκαλος έδειχνε στα παιδιά πώς να γράφουν σωστά το άλφα και το ωμέγα.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.231292247772217
7,το άλφα και το ωμέγα,Ο γλύπτης χάραξε το άλφα και το ωμέγα πάνω σε μια πέτρα για να δείξει την αρχή και το τέλος της σειράς.,,literal,"In the Greek language, determine whether the expression [το άλφα και το ωμέγα] in this context [Ο γλύπτης χάραξε το άλφα και το ωμέγα πάνω σε μια πέτρα για να δείξει την αρχή και το τέλος της σειράς.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.354802846908569
8,μάτι της γάτας 1,"Τοποθέτηση ""ματιών γάτας"" για τη μείωση της ταχύτητας στις διασταυρώσεις λόγω διέλευσης ΜΜΜ.",,literal,"In the Greek language, determine whether the expression [μάτι της γάτας 1] in this context [Τοποθέτηση ""ματιών γάτας"" για τη μείωση της ταχύτητας στις διασταυρώσεις λόγω διέλευσης ΜΜΜ.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.514669179916382
9,μάτι της γάτας 1,"Τα ""μάτια της γάτας"" είχαν τοποθετηθεί παλαιότερα από τον Δήμο, για να μειώνουν οι οδηγοί την ταχύτητά τους",,idiomatic,"In the Greek language, determine whether the expression [μάτι της γάτας 1] in this context [Τα ""μάτια της γάτας"" είχαν τοποθετηθεί παλαιότερα από τον Δήμο, για να μειώνουν οι οδηγοί την ταχύτητά τους] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.349189043045044
10,μάτι της γάτας 1,Ο κτηνίατρος εξέτασε προσεκτικά το μάτι της γάτας για σημάδια φλεγμονής.,,literal,"In the Greek language, determine whether the expression [μάτι της γάτας 1] in this context [Ο κτηνίατρος εξέτασε προσεκτικά το μάτι της γάτας για σημάδια φλεγμονής.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.2318267822265625
11,μάτι της γάτας 1,Η ζωγράφος προσπάθησε να αποδώσει με λεπτομέρεια το μάτι της γάτας στον καμβά.,,literal,"In the Greek language, determine whether the expression [μάτι της γάτας 1] in this context [Η ζωγράφος προσπάθησε να αποδώσει με λεπτομέρεια το μάτι της γάτας στον καμβά.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.9720101356506348
12,ένα κομμάτι ψωμί,Όπως όλος ο πλουτοπαραγωγικός ιστός και ο ορυκτός πλούτος της χώρας εκχωρείται στο κεφάλαιο για ένα κομμάτι ψωμί έτσι και ολόκληρη η Β. Χαλκιδική παραδίδεται στο βωμό του κέρδους.,,idiomatic,"In the Greek language, determine whether the expression [ένα κομμάτι ψωμί] in this context [Όπως όλος ο πλουτοπαραγωγικός ιστός και ο ορυκτός πλούτος της χώρας εκχωρείται στο κεφάλαιο για ένα κομμάτι ψωμί έτσι και ολόκληρη η Β. Χαλκιδική παραδίδεται στο βωμό του κέρδους.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.1262590885162354
13,ένα κομμάτι ψωμί,"Και βέβαια, η νέα γενιά ζει αυτή την έννοια της διαφθοράς, γιατί τι άλλο είναι, παρά διαφθορά, όταν βλέπουμε ότι, πίσω από τα προγράμματα Stage, ουσιαστικά, πετάνε ένα κομμάτι ψωμί σε έναν νέο, ο οποίος είναι άνεργος, για να του εξαγοράσουν την ψήφο, με χρήματα του Ελληνικού λαού.",,idiomatic,"In the Greek language, determine whether the expression [ένα κομμάτι ψωμί] in this context [Και βέβαια, η νέα γενιά ζει αυτή την έννοια της διαφθοράς, γιατί τι άλλο είναι, παρά διαφθορά, όταν βλέπουμε ότι, πίσω από τα προγράμματα Stage, ουσιαστικά, πετάνε ένα κομμάτι ψωμί σε έναν νέο, ο οποίος είναι άνεργος, για να του εξαγοράσουν την ψήφο, με χρήματα του Ελληνικού λαού.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.192227840423584
14,ένα κομμάτι ψωμί,"Στα καραβάνσαραϊ και τα κοινά συσσίτια ""Μία σούπα και ένα κομμάτι ψωμί "" είναι πάντα έτοιμα να προσφερθούν στον ξένο και στον οποιουδήποτε θρησκεύματος οδοιπόρο. Το πιο συχνό είδος ψωμιού είναι το άσπρο ψωμί.",,literal,"In the Greek language, determine whether the expression [ένα κομμάτι ψωμί] in this context [Στα καραβάνσαραϊ και τα κοινά συσσίτια ""Μία σούπα και ένα κομμάτι ψωμί "" είναι πάντα έτοιμα να προσφερθούν στον ξένο και στον οποιουδήποτε θρησκεύματος οδοιπόρο. Το πιο συχνό είδος ψωμιού είναι το άσπρο ψωμί.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.311066150665283
15,ένα κομμάτι ψωμί,"Βέβαια, για τότε ήταν σωστό, γιατί ο κόσμος υπέφερε.Δεν είχε να φάει ένα κομμάτι ψωμί και πέθαινε στους δρόμους από τις αρρώστιες.",,literal,"In the Greek language, determine whether the expression [ένα κομμάτι ψωμί] in this context [Βέβαια, για τότε ήταν σωστό, γιατί ο κόσμος υπέφερε.Δεν είχε να φάει ένα κομμάτι ψωμί και πέθαινε στους δρόμους από τις αρρώστιες.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.847484827041626
16,παρά τρίχα,Ένα λεωφορείο που μεταφέρει σχεδόν 50 άτομα αποφεύγει παρα τρίχα μια σύγκρουση στον αυτοκινητόδρομο M40 της Βρετανίας.,,idiomatic,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [Ένα λεωφορείο που μεταφέρει σχεδόν 50 άτομα αποφεύγει παρα τρίχα μια σύγκρουση στον αυτοκινητόδρομο M40 της Βρετανίας.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.570103883743286
17,παρά τρίχα,"Σαν σήμερα λοιπόν, τo καλοκαίρι του 1976, μόλις έχω ξεφορτώσει από την πλάτη μου το εξατάξιο, έχω περάσει την κεντρική πύλη στο πανεπιστήμιο, έχω παρα τρίχα γλυτώσει την αναρρόφηση από το μεθύσι που έκανα για να ""γλεντήσω"" την ""επιτυχία"" μου.",,idiomatic,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [Σαν σήμερα λοιπόν, τo καλοκαίρι του 1976, μόλις έχω ξεφορτώσει από την πλάτη μου το εξατάξιο, έχω περάσει την κεντρική πύλη στο πανεπιστήμιο, έχω παρα τρίχα γλυτώσει την αναρρόφηση από το μεθύσι που έκανα για να ""γλεντήσω"" την ""επιτυχία"" μου.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.267362117767334
18,παρά τρίχα,Καλύτερα να πέσει λίγη σάλτσα στο τραπεζομάντιλο παρά τρίχα στο φαγητό.,,literal,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [Καλύτερα να πέσει λίγη σάλτσα στο τραπεζομάντιλο παρά τρίχα στο φαγητό.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,6.299642086029053
19,παρά τρίχα,πρώτη φορά βλέπω πολύχρωμο πινέλο τρίχα παρά τρίχα κι άλλο χρώμα.,,literal,"In the Greek language, determine whether the expression [παρά τρίχα] in this context [πρώτη φορά βλέπω πολύχρωμο πινέλο τρίχα παρά τρίχα κι άλλο χρώμα.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,9.413612127304077
20,βρόμικο χρήμα,"Για να προσελκύσουν χρήματα από το εξωτερικό, ακόμη και "" βρώμικα χρήματα "", αρκεί τα εγκλήματα να έχουν διαπραχθεί στο εξωτερικό.",,idiomatic,"In the Greek language, determine whether the expression [βρόμικο χρήμα] in this context [Για να προσελκύσουν χρήματα από το εξωτερικό, ακόμη και "" βρώμικα χρήματα "", αρκεί τα εγκλήματα να έχουν διαπραχθεί στο εξωτερικό.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.7056849002838135
21,βρόμικο χρήμα,Τώρα ήρθανε Λιβανέζοι (λέγεται ότι ξεπλένουν βρώμικα χρήματα ) και έχουν κάνει τώρα το μεγαλύτερο αρτοποιείο.,,idiomatic,"In the Greek language, determine whether the expression [βρόμικο χρήμα] in this context [Τώρα ήρθανε Λιβανέζοι (λέγεται ότι ξεπλένουν βρώμικα χρήματα ) και έχουν κάνει τώρα το μεγαλύτερο αρτοποιείο.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.083462953567505
22,βρόμικο χρήμα,"Αν και δεν είναι συνηθισμένο να μεταδίδονται ασθένειες μέσω χρημάτων, υπάρχουν τρόποι με τους οποίους θα μπορούσαμε να κάνουμε τα βρόμικα χρήματά μας καθαρότερα.",,literal,"In the Greek language, determine whether the expression [βρόμικο χρήμα] in this context [Αν και δεν είναι συνηθισμένο να μεταδίδονται ασθένειες μέσω χρημάτων, υπάρχουν τρόποι με τους οποίους θα μπορούσαμε να κάνουμε τα βρόμικα χρήματά μας καθαρότερα.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.8097829818725586
23,βρόμικο χρήμα,"Δώστε τέλος στα βρόμικα χρήματα , που είναι εστίες μικροβίων και μέσο μετάδοσης λοιμώξεων.",,literal,"In the Greek language, determine whether the expression [βρόμικο χρήμα] in this context [Δώστε τέλος στα βρόμικα χρήματα , που είναι εστίες μικροβίων και μέσο μετάδοσης λοιμώξεων.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.721801996231079
24,ρίχνω λάδι στη φωτιά,"Κάποια από αυτά είναι ιδιαίτερα επίπονα, όπως το πάγωμα των συντάξεων το 2011, αλλά δεν είναι παράλογα ή άδικα. Τα συνδικάτα δεν πρέπει να ρίξουν λάδι στη φωτιά με διαδηλώσεις ή απεργίες.",,idiomatic,"In the Greek language, determine whether the expression [ρίχνω λάδι στη φωτιά] in this context [Κάποια από αυτά είναι ιδιαίτερα επίπονα, όπως το πάγωμα των συντάξεων το 2011, αλλά δεν είναι παράλογα ή άδικα. Τα συνδικάτα δεν πρέπει να ρίξουν λάδι στη φωτιά με διαδηλώσεις ή απεργίες.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.959312915802002
25,ρίχνω λάδι στη φωτιά,Θα βοηθούσε αν σταματούσατε να ρίχνετε λάδι στη φωτιά δημοσιεύοντας ΑΚΡΙΤΑ τις ανοησίες και τα ψέμματα του Ευρυβιάδη.,,idiomatic,"In the Greek language, determine whether the expression [ρίχνω λάδι στη φωτιά] in this context [Θα βοηθούσε αν σταματούσατε να ρίχνετε λάδι στη φωτιά δημοσιεύοντας ΑΚΡΙΤΑ τις ανοησίες και τα ψέμματα του Ευρυβιάδη.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.182232141494751
26,ρίχνω λάδι στη φωτιά,"Καθώς δούλευαν στο εργαστήριο μετάλλων, ένα δοχείο με λιπαντικό αναποδογύρισε και το λάδι έπεσε στη φωτιά του καμινιού, κάνοντάς την να φουντώσει απότομα.",,literal,"In the Greek language, determine whether the expression [ρίχνω λάδι στη φωτιά] in this context [Καθώς δούλευαν στο εργαστήριο μετάλλων, ένα δοχείο με λιπαντικό αναποδογύρισε και το λάδι έπεσε στη φωτιά του καμινιού, κάνοντάς την να φουντώσει απότομα.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.336199998855591
27,ρίχνω λάδι στη φωτιά,"Ο μάγειρας απρόσεκτα έριξε λάδι στη φωτιά, με αποτέλεσμα να πεταχτούν ψηλές φλόγες από το τηγάνι.",,literal,"In the Greek language, determine whether the expression [ρίχνω λάδι στη φωτιά] in this context [Ο μάγειρας απρόσεκτα έριξε λάδι στη φωτιά, με αποτέλεσμα να πεταχτούν ψηλές φλόγες από το τηγάνι.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.8558456897735596
28,περσινά ξινά σταφύλια,"Ιδιαίτερα στο δεύτερο κεφάλαιο, που μιλάει για την επανασύσταση του συλλογικού εβραϊκού βίου. Θα πείτε όλα αυτά αφορούν κάποια μειονότητα και τί μας ενδιαφέρει τώρα ν' ασχοληθούμε με περσινά ξινά σταφύλια  ή και να ξύσουμε παλιές πληγές.",,idiomatic,"In the Greek language, determine whether the expression [περσινά ξινά σταφύλια] in this context [Ιδιαίτερα στο δεύτερο κεφάλαιο, που μιλάει για την επανασύσταση του συλλογικού εβραϊκού βίου. Θα πείτε όλα αυτά αφορούν κάποια μειονότητα και τί μας ενδιαφέρει τώρα ν' ασχοληθούμε με περσινά ξινά σταφύλια  ή και να ξύσουμε παλιές πληγές.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.219597101211548
