id,nc,sent,type label,type pred,input,output,time
0,ajo nwa,"Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ",,idiomatic,"In the Igbo language, determine whether the expression [ajo nwa] in this context [Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.5055949687957764
1,ajo nwa,Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.,,literal,"In the Igbo language, determine whether the expression [ajo nwa] in this context [Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.6408252716064453
3,ajo nwa,X,,literal,"In the Igbo language, determine whether the expression [ajo nwa] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.6830527782440186
4,imepe mmadu anya,Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""imepe mmadu anya""** in this context is used **idiomatically**.  

**idiomatic**",1.5743319988250732
5,imepe mmadu anya,Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""imepe mmadu anya""** in this context is used **idiomatically**.  

**Returned:** idiomatic",1.7356674671173096
6,imepe mmadu anya,Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""imepe mmadu anya""** in the given context is used **idiomatically**.  

**idiomatic**",1.6166212558746338
7,imepe mmadu anya,Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.526792287826538
8,ekwe ekwe,A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.,,idiomatic,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7768230438232422
9,ekwe ekwe,Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.,,idiomatic,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.052030563354492
11,ekwe ekwe,X,,literal,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.532111644744873
12,ego ojoo,Nnyocha nke BBC African Eye mere na mba Kenya egosila etu ndị ekperima na-atụ mgbere mmadụ si eji ndị nwere nkwarụ akpa ego ọjọọ.,,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Nnyocha nke BBC African Eye mere na mba Kenya egosila etu ndị ekperima na-atụ mgbere mmadụ si eji ndị nwere nkwarụ akpa ego ọjọọ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7615678310394287
13,ego ojoo,"Ọ bụrụ na i lee anya n’obodo anyị, ị ga-ahụ na ndị niile kpara ego ọjọọ nwụchuru anwuchu tinyekwara na ụmụ ha enweghị nke bara uru.",,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Ọ bụrụ na i lee anya n’obodo anyị, ị ga-ahụ na ndị niile kpara ego ọjọọ nwụchuru anwuchu tinyekwara na ụmụ ha enweghị nke bara uru.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.6273081302642822
14,ego ojoo,"Mgbe m nyere Ekene ego m ji ya, o kwuru na ego ọjọọ dị n’ime ya.",,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Mgbe m nyere Ekene ego m ji ya, o kwuru na ego ọjọọ dị n’ime ya.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1785824298858643
16,ihe odachi,Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi,,literal,"In the Igbo language, determine whether the expression [ihe odachi] in this context [Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[ihe odachi]"" in the given context is used **literally**.  

(literal)",1.6920216083526611
