id,nc,sent,type label,type pred,input,output,time
0,ajo nwa,"Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ",,idiomatic,"In the Igbo language, determine whether the expression [ajo nwa] in this context [Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.8965260982513428
1,ajo nwa,Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.,,idiomatic,"In the Igbo language, determine whether the expression [ajo nwa] in this context [Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1478040218353271
2,ajo nwa,X,,literal,"In the Igbo language, determine whether the expression [ajo nwa] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.268955945968628
3,ajo nwa,X,,literal,"In the Igbo language, determine whether the expression [ajo nwa] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.2772629261016846
4,imepe mmadu anya,Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Ihe nkiri a nwere ike imepe mmadụ anya gbasara nsogbu ndị mmadụ na-eche ihu.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1972641944885254
5,imepe mmadu anya,Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Ọ dị mkpa imepe mmadụ anya banyere ihe na-eme n’ụwa ka ndụ ha wee bakwuoro ha uru.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.3765387535095215
6,imepe mmadu anya,Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Imepe mmadụ anya bụ otu n’ime ihe ndị a na-eme ma ọ bụrụ na a chọọ ịtụnye mmadụ ọgwụ n’anya.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.137091875076294
7,imepe mmadu anya,Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.,,idiomatic,"In the Igbo language, determine whether the expression [imepe mmadu anya] in this context [Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9988791942596436
8,ekwe ekwe,A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.,,idiomatic,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0633280277252197
9,ekwe ekwe,Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.,,idiomatic,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8230807781219482
10,ekwe ekwe,X,,idiomatic,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.7556111812591553
11,ekwe ekwe,X,,idiomatic,"In the Igbo language, determine whether the expression [ekwe ekwe] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8888521194458008
12,ego ojoo,Nnyocha nke BBC African Eye mere na mba Kenya egosila etu ndị ekperima na-atụ mgbere mmadụ si eji ndị nwere nkwarụ akpa ego ọjọọ.,,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Nnyocha nke BBC African Eye mere na mba Kenya egosila etu ndị ekperima na-atụ mgbere mmadụ si eji ndị nwere nkwarụ akpa ego ọjọọ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0423758029937744
13,ego ojoo,"Ọ bụrụ na i lee anya n’obodo anyị, ị ga-ahụ na ndị niile kpara ego ọjọọ nwụchuru anwuchu tinyekwara na ụmụ ha enweghị nke bara uru.",,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Ọ bụrụ na i lee anya n’obodo anyị, ị ga-ahụ na ndị niile kpara ego ọjọọ nwụchuru anwuchu tinyekwara na ụmụ ha enweghị nke bara uru.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0267021656036377
14,ego ojoo,"Mgbe m nyere Ekene ego m ji ya, o kwuru na ego ọjọọ dị n’ime ya.",,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Mgbe m nyere Ekene ego m ji ya, o kwuru na ego ọjọọ dị n’ime ya.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.458066940307617
15,ego ojoo,Ndị ahịa na-atụ egwu ịnakọta ego ọjọọ n’ihi na ọ na-ahịa ahụ tupu ha emefuo ya.,,idiomatic,"In the Igbo language, determine whether the expression [ego ojoo] in this context [Ndị ahịa na-atụ egwu ịnakọta ego ọjọọ n’ihi na ọ na-ahịa ahụ tupu ha emefuo ya.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.055044174194336
16,ihe odachi,Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi,,idiomatic,"In the Igbo language, determine whether the expression [ihe odachi] in this context [Ihe gọọmenti Naịjirịa kwuru maka ihe ọdachi] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2427828311920166
17,ihe odachi,Ihe ọdachi ataala isi mmadụ 31 n'emume ụka na Rivas steeti,,idiomatic,"In the Igbo language, determine whether the expression [ihe odachi] in this context [Ihe ọdachi ataala isi mmadụ 31 n'emume ụka na Rivas steeti] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.013375997543335
18,ihe odachi,"Ozugbo anyị nya ụgbọala anyị na-aga Aba, anyị hụrụ ihe ọdachi n’okporoụzọ ahụ ndị agha na-anọ.",,idiomatic,"In the Igbo language, determine whether the expression [ihe odachi] in this context [Ozugbo anyị nya ụgbọala anyị na-aga Aba, anyị hụrụ ihe ọdachi n’okporoụzọ ahụ ndị agha na-anọ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.878507137298584
19,ihe odachi,Bupụ ihe ọdachị a ka m gafee n’ihi na ọ na-anọchiri m ụzọ.,,idiomatic,"In the Igbo language, determine whether the expression [ihe odachi] in this context [Bupụ ihe ọdachị a ka m gafee n’ihi na ọ na-anọchiri m ụzọ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1799440383911133
20,akpa akpu,"Mgbe ha nọ na-akọ ọnụ, o we tụgharịa sị  ya na nwunye ya bụ akpa akpụ",,idiomatic,"In the Igbo language, determine whether the expression [akpa akpu] in this context [Mgbe ha nọ na-akọ ọnụ, o we tụgharịa sị  ya na nwunye ya bụ akpa akpụ] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0366928577423096
21,akpa akpu,Ụtụtụ ahụ ka m nụrụ otu nwanyị na-asị na di ya bụzị akpa akpụ ugbu a.,,idiomatic,"In the Igbo language, determine whether the expression [akpa akpu] in this context [Ụtụtụ ahụ ka m nụrụ otu nwanyị na-asị na di ya bụzị akpa akpụ ugbu a.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.3527638912200928
22,akpa akpu,Mgbaafọ gbara ụzọ gaa ahịa iji zụta akpa akpụ n’ihi na ọ na-adị ọnụ ala n’ụzọ ụtụtụ.,,literal,"In the Igbo language, determine whether the expression [akpa akpu] in this context [Mgbaafọ gbara ụzọ gaa ahịa iji zụta akpa akpụ n’ihi na ọ na-adị ọnụ ala n’ụzọ ụtụtụ.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9022588729858398
23,akpa akpu,Amaka baara di ya mba maka na o tinyere akwa nwa ha nwoke n’ime akpa akpụ nke mere na akwa ndị ahụ bidoro siwe akpụ akpụ.,,idiomatic,"In the Igbo language, determine whether the expression [akpa akpu] in this context [Amaka baara di ya mba maka na o tinyere akwa nwa ha nwoke n’ime akpa akpụ nke mere na akwa ndị ahụ bidoro siwe akpụ akpụ.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.904583215713501
24,itu ndu mmanu,Kedu ihe i na-eme ma i chọo itu ndụ mmanu maobu ime onwe gị obi ụtọ?,,idiomatic,"In the Igbo language, determine whether the expression [itu ndu mmanu] in this context [Kedu ihe i na-eme ma i chọo itu ndụ mmanu maobu ime onwe gị obi ụtọ?] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0696921348571777
25,itu ndu mmanu,Bịa ka m gosi gị mkpụrụosisi dị mma maka ịtụ ndụ gị mmanụ ugbu a ọrịa na-efegharị ebe niile.,,idiomatic,"In the Igbo language, determine whether the expression [itu ndu mmanu] in this context [Bịa ka m gosi gị mkpụrụosisi dị mma maka ịtụ ndụ gị mmanụ ugbu a ọrịa na-efegharị ebe niile.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1041269302368164
26,itu ndu mmanu,X,,literal,"In the Igbo language, determine whether the expression [itu ndu mmanu] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7958700656890869
27,itu ndu mmanu,X,,literal,"In the Igbo language, determine whether the expression [itu ndu mmanu] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0439801216125488
28,oge nwaanyi maobu oge nwoke,Ndị Igbo sị na oge nwaanyị na-aga aga.,,idiomatic,"In the Igbo language, determine whether the expression [oge nwaanyi maobu oge nwoke] in this context [Ndị Igbo sị na oge nwaanyị na-aga aga.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.506300926208496
29,oge nwaanyi maobu oge nwoke,"Amaka sịrị na ọ chọghị ịlụ di ugbu a, ma nne ya na-agwa ya ka o cheta na oge nwaanyị adịghị eche.",,idiomatic,"In the Igbo language, determine whether the expression [oge nwaanyi maobu oge nwoke] in this context [Amaka sịrị na ọ chọghị ịlụ di ugbu a, ma nne ya na-agwa ya ka o cheta na oge nwaanyị adịghị eche.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0176708698272705
30,oge nwaanyi maobu oge nwoke,"A na-egbubu ụmụ ejima, tupu o ruo oge nwaanyị onye ocha a na-akpọ Mary Slessor kwụsịrị ya.",,literal,"In the Igbo language, determine whether the expression [oge nwaanyi maobu oge nwoke] in this context [A na-egbubu ụmụ ejima, tupu o ruo oge nwaanyị onye ocha a na-akpọ Mary Slessor kwụsịrị ya.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.246795892715454
31,oge nwaanyi maobu oge nwoke,"Ị ma na ihe a abụghịzi oge ụwa ka nọ n’isi, ya bụ na oge nwoke ga-eji ekwu okwu ekwesịghị ịkarị oge nke nwoke.",,idiomatic,"In the Igbo language, determine whether the expression [oge nwaanyi maobu oge nwoke] in this context [Ị ma na ihe a abụghịzi oge ụwa ka nọ n’isi, ya bụ na oge nwoke ga-eji ekwu okwu ekwesịghị ịkarị oge nke nwoke.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.7063539028167725
32,ahia azu ulo,Ọ zụtara mmanụ ụgbọala n’ahịa azụ ụlọ n’ihi na ebe a na-ere ya n’ụlọ ahịa adịghị.,,idiomatic,"In the Igbo language, determine whether the expression [ahia azu ulo] in this context [Ọ zụtara mmanụ ụgbọala n’ahịa azụ ụlọ n’ihi na ebe a na-ere ya n’ụlọ ahịa adịghị.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.4559192657470703
33,ahia azu ulo,Gọvanọ gwara ndị ọ na-achị ka ha zere ịzụ ahịa n’ahịa azụ ụlọ n’ihi na o nwere ihe ize ndụ juru na ya,,idiomatic,"In the Igbo language, determine whether the expression [ahia azu ulo] in this context [Gọvanọ gwara ndị ọ na-achị ka ha zere ịzụ ahịa n’ahịa azụ ụlọ n’ihi na o nwere ihe ize ndụ juru na ya] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9512031078338623
34,ahia azu ulo,X,,idiomatic,"In the Igbo language, determine whether the expression [ahia azu ulo] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1634478569030762
35,ahia azu ulo,X,,idiomatic,"In the Igbo language, determine whether the expression [ahia azu ulo] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1031701564788818
36,ita uta,"N’afọ a enweghị ụdị ọṅụ ọ bụla ga-anọchi ịta ụta na ọnọdụ enweghị enyemaka ndị ụka Alakụba Palestine bị n’ọwụwa anyanwụ Jerusalem na-agabiga.""",,idiomatic,"In the Igbo language, determine whether the expression [ita uta] in this context [N’afọ a enweghị ụdị ọṅụ ọ bụla ga-anọchi ịta ụta na ọnọdụ enweghị enyemaka ndị ụka Alakụba Palestine bị n’ọwụwa anyanwụ Jerusalem na-agabiga.""] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9059128761291504
37,ita uta,"Ebe ọ bụ na onye nlekọta nʼahụ ihe banyere chọọchị Chineke, ọ ga-abụ onye na-enweghị ihe ịta ụta.",,idiomatic,"In the Igbo language, determine whether the expression [ita uta] in this context [Ebe ọ bụ na onye nlekọta nʼahụ ihe banyere chọọchị Chineke, ọ ga-abụ onye na-enweghị ihe ịta ụta.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8909602165222168
38,ita uta,X,,literal,"In the Igbo language, determine whether the expression [ita uta] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.957927942276001
39,ita uta,X,,literal,"In the Igbo language, determine whether the expression [ita uta] in this context [X] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.306178092956543
40,ebe uzo adighi,Chukwu Okikeabịaama ga-akwara anyị ụzọ ebe ụzọ adịghị,,idiomatic,"In the Igbo language, determine whether the expression [ebe uzo adighi] in this context [Chukwu Okikeabịaama ga-akwara anyị ụzọ ebe ụzọ adịghị] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.259127140045166
41,ebe uzo adighi,"Mgbe Okeke na enyi ya nwoke ruru ebe ụzọ adịghị, ha ghọrọ ndị na-amaghị ihe ọzọ ha ga-eme.",,idiomatic,"In the Igbo language, determine whether the expression [ebe uzo adighi] in this context [Mgbe Okeke na enyi ya nwoke ruru ebe ụzọ adịghị, ha ghọrọ ndị na-amaghị ihe ọzọ ha ga-eme.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8354649543762207
42,ebe uzo adighi,"Anyị rutere ebe ụzọ adịghị, ya mere, anyị ji tụgharịa chọwa ụzọ ọzọ anyị ga-esi ruo ebe anyị na-aga.",,idiomatic,"In the Igbo language, determine whether the expression [ebe uzo adighi] in this context [Anyị rutere ebe ụzọ adịghị, ya mere, anyị ji tụgharịa chọwa ụzọ ọzọ anyị ga-esi ruo ebe anyị na-aga.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1817951202392578
43,ebe uzo adighi,Enyi m nwoke chọpụtara na ebe e kenyere ya ala bụ ebe ụzọ adịghị,,idiomatic,"In the Igbo language, determine whether the expression [ebe uzo adighi] in this context [Enyi m nwoke chọpụtara na ebe e kenyere ya ala bụ ebe ụzọ adịghị] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0923848152160645
44,ihe kporo akpo,Ịrụ ọrụ a n’ụlọ ọrụ anyị bụ ihe kpọrọ akpọ n’ihi na ọ chọrọ ka mmadụ nwee nnukwu amamihe na nkà.,,idiomatic,"In the Igbo language, determine whether the expression [ihe kporo akpo] in this context [Ịrụ ọrụ a n’ụlọ ọrụ anyị bụ ihe kpọrọ akpọ n’ihi na ọ chọrọ ka mmadụ nwee nnukwu amamihe na nkà.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9618082046508789
