id,nc,sent,type label,type pred,input,output,time
0,үлкен адам,"Тойда айтылатын батаның жөні бір басқа. Ал жақсы тілектің жөні бөлек. Бата беруші адам, әдетте, оны батагөй деп атайды, ел-жұртқа сыйлы, жолы үлкен адам болуға тиіс",,idiomatic,"In the Kazakh language, determine whether the expression [үлкен адам] in this context [Тойда айтылатын батаның жөні бір басқа. Ал жақсы тілектің жөні бөлек. Бата беруші адам, әдетте, оны батагөй деп атайды, ел-жұртқа сыйлы, жолы үлкен адам болуға тиіс] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.365502595901489
1,үлкен адам,"Еліне елеулі, халқына қалаулы адам. Ойқастаған жақсы атпен Орта жолда қалмайсың. Кішігірім мақсатпен Үлкен адам болмайсың!",,idiomatic,"In the Kazakh language, determine whether the expression [үлкен адам] in this context [Еліне елеулі, халқына қалаулы адам. Ойқастаған жақсы атпен Орта жолда қалмайсың. Кішігірім мақсатпен Үлкен адам болмайсың!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.641667604446411
2,үлкен адам,Үндістанның солтүстігіндегі Варанаси қаласының тұрғыны Махашта Мураси «Тарихтағы жасы ең үлкен адам» ретінде Гиннестің рекордтар кітабына тіркелді,,literal,"In the Kazakh language, determine whether the expression [үлкен адам] in this context [Үндістанның солтүстігіндегі Варанаси қаласының тұрғыны Махашта Мураси «Тарихтағы жасы ең үлкен адам» ретінде Гиннестің рекордтар кітабына тіркелді] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.6377530097961426
3,үлкен адам,"Көшеде бір үлкен адам кішкентай баланың қолынан ұстап, жолдан өткізіп жатыр.",,literal,"In the Kazakh language, determine whether the expression [үлкен адам] in this context [Көшеде бір үлкен адам кішкентай баланың қолынан ұстап, жолдан өткізіп жатыр.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0581188201904297
5,қара жәшік,"Қазір менің міндетім — агрессияға бейім адамдарды зерттеу, өйткені олар мен үшін әзірге қара жәшік іспетті.",,idiomatic,"In the Kazakh language, determine whether the expression [қара жәшік] in this context [Қазір менің міндетім — агрессияға бейім адамдарды зерттеу, өйткені олар мен үшін әзірге қара жәшік іспетті.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.363823413848877
6,қара жәшік,"Отқа жанбайтын, суға батпайтын: ұшақтағы қара жәшік әуе апаты кезінде сақталып қалу үшін арнайы жасалады.",,literal,"In the Kazakh language, determine whether the expression [қара жәшік] in this context [Отқа жанбайтын, суға батпайтын: ұшақтағы қара жәшік әуе апаты кезінде сақталып қалу үшін арнайы жасалады.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.500215530395508
8,ауыз толмас,"Ауылдың жаңа мектебі туралы жұрт мақтап айтып жатыр, бірақ шын мәнінде ол мақтауға ауыз толмас — әлі талай кемшілігі бар",,idiomatic,"In the Kazakh language, determine whether the expression [ауыз толмас] in this context [Ауылдың жаңа мектебі туралы жұрт мақтап айтып жатыр, бірақ шын мәнінде ол мақтауға ауыз толмас — әлі талай кемшілігі бар] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.341519594192505
9,ауыз толмас,"Оның айтқан уәдесі мен істеген ісінің арасындағы айырмашылық сондай үлкен, бұл жөнінде ауыз толмас айтуға.",,idiomatic,"In the Kazakh language, determine whether the expression [ауыз толмас] in this context [Оның айтқан уәдесі мен істеген ісінің арасындағы айырмашылық сондай үлкен, бұл жөнінде ауыз толмас айтуға.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.532459259033203
10,қыл көпір,"Дәрігерлердің уақтылы келгенінің арқасында науқас қыл көпірінен өтті, енді жағдайы тұрақталып келеді.",,idiomatic,"In the Kazakh language, determine whether the expression [қыл көпір] in this context [Дәрігерлердің уақтылы келгенінің арқасында науқас қыл көпірінен өтті, енді жағдайы тұрақталып келеді.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.5529279708862305
11,қыл көпір,Таудағы боран кезінде альпинистердің өмірі қыл көпірінің үстінде тұрғандай болды — бір қате қадам ажалға апарар еді.,,idiomatic,"In the Kazakh language, determine whether the expression [қыл көпір] in this context [Таудағы боран кезінде альпинистердің өмірі қыл көпірінің үстінде тұрғандай болды — бір қате қадам ажалға апарар еді.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.609823703765869
