id,nc,sent,type label,type pred,input,output,time
0,storfisk,Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.,,idiomatic,"In the Norwegian language, determine whether the expression [storfisk] in this context [Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""storfisk"" in this context is used **idiomatically**.",1.9631271362304688
1,storfisk,"Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.",,idiomatic,"In the Norwegian language, determine whether the expression [storfisk] in this context [Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.452033042907715
2,storfisk,Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.,,literal,"In the Norwegian language, determine whether the expression [storfisk] in this context [Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.868645429611206
3,storfisk,"Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.",,literal,"In the Norwegian language, determine whether the expression [storfisk] in this context [Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.2741832733154297
4,kattøye,"I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7436356544494629
5,kattøye,"Syklister skal ha kattøye som lyser bak, og det skal være synlig.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Syklister skal ha kattøye som lyser bak, og det skal være synlig.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0027894973754883
6,kattøye,"Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.4514005184173584
7,kattøye,"Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[kattøye]"" in this context is used **literally**, as it refers to the actual eyes of a cat glowing in the dark. 

literal.",2.3440887928009033
8,lommerusk,I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.,,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""lommerusk"" in this context is used **idiomatically**. 

Return: idiomatic",1.8683218955993652
9,lommerusk,FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.,,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.413638114929199
10,lommerusk,"Et svært praktisk deksel med et vindu foran ladeporten, som forhindrer lommerusk i å sette seg fast, og gi dårlig ladeevne.",,literal,"In the Norwegian language, determine whether the expression [lommerusk] in this context [Et svært praktisk deksel med et vindu foran ladeporten, som forhindrer lommerusk i å sette seg fast, og gi dårlig ladeevne.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.671320676803589
11,lommerusk,"Som VG tidligere i sommer tipset om, kan Lightning-porten på telefonen være full av lommerusk.",,literal,"In the Norwegian language, determine whether the expression [lommerusk] in this context [Som VG tidligere i sommer tipset om, kan Lightning-porten på telefonen være full av lommerusk.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8210587501525879
12,på hengende håret,Fire biler greide å stanse på hengende håret uten å kræsje med hverandre.,,idiomatic,"In the Norwegian language, determine whether the expression [på hengende håret] in this context [Fire biler greide å stanse på hengende håret uten å kræsje med hverandre.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.5511863231658936
13,på hengende håret,"Mens redningsarbeidet pågikk  passerte politiet ulykkesstedet i stor fart på biljakt, og unngikk på hengende håret å kjøre inn i bilen der en sjåfør satt fastklemt.",,idiomatic,"In the Norwegian language, determine whether the expression [på hengende håret] in this context [Mens redningsarbeidet pågikk  passerte politiet ulykkesstedet i stor fart på biljakt, og unngikk på hengende håret å kjøre inn i bilen der en sjåfør satt fastklemt.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.364439487457275
