id,nc,sent,type label,type pred,input,output,time
0,storfisk,Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.,,idiomatic,"In the Norwegian language, determine whether the expression [storfisk] in this context [Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.728846073150635
1,storfisk,"Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.",,idiomatic,"In the Norwegian language, determine whether the expression [storfisk] in this context [Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.804288148880005
2,storfisk,Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.,,literal,"In the Norwegian language, determine whether the expression [storfisk] in this context [Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.355180025100708
3,storfisk,"Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.",,literal,"In the Norwegian language, determine whether the expression [storfisk] in this context [Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.2537457942962646
4,kattøye,"I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.4998908042907715
5,kattøye,"Syklister skal ha kattøye som lyser bak, og det skal være synlig.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Syklister skal ha kattøye som lyser bak, og det skal være synlig.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.893279314041138
6,kattøye,"Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.637852191925049
7,kattøye,"Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,14.08634901046753
8,lommerusk,I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.,,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.1180171966552734
9,lommerusk,FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.,,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.1537930965423584
