id,nc,sent,type label,type pred,input,output,time
0,storfisk,Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.,,idiomatic,"In the Norwegian language, determine whether the expression [storfisk] in this context [Det hjelper alltid å henvise til fjorårets bragder når du skal hale inn storfisk av sponsorer og artister til festivalen.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.1862637996673584
1,storfisk,"Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.",,idiomatic,"In the Norwegian language, determine whether the expression [storfisk] in this context [Tidligere proffsyklist Kjærgaard var en storfisk i norsk idrett nettopp på grunn av hans seks år i sportssjefsjobben, som opphørte ved nyttår.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9024519920349121
2,storfisk,Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.,,literal,"In the Norwegian language, determine whether the expression [storfisk] in this context [Får du en storfisk på kroken risikerer du at angelen ikke holder og retter seg ut.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9630999565124512
3,storfisk,"Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.",,literal,"In the Norwegian language, determine whether the expression [storfisk] in this context [Fisker du på topper og kanter på dypere vann enn 50 meter, får du også arter som uer, lange og brosme, og sjansen for å få storfisk er også betydelig større.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.2608919143676758
4,kattøye,"I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [I år har Louise fått ny sykkel, men da hun og foreldrene kom hjem, oppdaget de at den manglet både kattøye bak og ringeklokke.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9006707668304443
5,kattøye,"Syklister skal ha kattøye som lyser bak, og det skal være synlig.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Syklister skal ha kattøye som lyser bak, og det skal være synlig.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.4432799816131592
6,kattøye,"Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.",,idiomatic,"In the Norwegian language, determine whether the expression [kattøye] in this context [Morten skulle passe foreldrenes katt, og så sorg i de grønne katteøynene da foreldrene dro.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0334892272949219
7,kattøye,"Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.",,literal,"In the Norwegian language, determine whether the expression [kattøye] in this context [Da han gikk hjem fra skolen, så han et par lysende katteøyne i utkanten til skogen.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0463449954986572
8,lommerusk,I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.,,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [I årets forslag til statsbudsjett avses likestilling med lommerusk og heller ikke denne gangen blir likestilling tydelig prioritert.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8351659774780273
9,lommerusk,FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.,,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [FrPs leder Sylvi Listhaug foreslår makspris for både privatpersoner og næringsliv på 50 øre og kaller regjeringens tiltak mot strømprisene lommerusk.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9457931518554688
10,lommerusk,"Et svært praktisk deksel med et vindu foran ladeporten, som forhindrer lommerusk i å sette seg fast, og gi dårlig ladeevne.",,literal,"In the Norwegian language, determine whether the expression [lommerusk] in this context [Et svært praktisk deksel med et vindu foran ladeporten, som forhindrer lommerusk i å sette seg fast, og gi dårlig ladeevne.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.0174660682678223
11,lommerusk,"Som VG tidligere i sommer tipset om, kan Lightning-porten på telefonen være full av lommerusk.",,idiomatic,"In the Norwegian language, determine whether the expression [lommerusk] in this context [Som VG tidligere i sommer tipset om, kan Lightning-porten på telefonen være full av lommerusk.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9913570880889893
12,på hengende håret,Fire biler greide å stanse på hengende håret uten å kræsje med hverandre.,,idiomatic,"In the Norwegian language, determine whether the expression [på hengende håret] in this context [Fire biler greide å stanse på hengende håret uten å kræsje med hverandre.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0331661701202393
13,på hengende håret,"Mens redningsarbeidet pågikk  passerte politiet ulykkesstedet i stor fart på biljakt, og unngikk på hengende håret å kjøre inn i bilen der en sjåfør satt fastklemt.",,idiomatic,"In the Norwegian language, determine whether the expression [på hengende håret] in this context [Mens redningsarbeidet pågikk  passerte politiet ulykkesstedet i stor fart på biljakt, og unngikk på hengende håret å kjøre inn i bilen der en sjåfør satt fastklemt.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2259190082550049
14,på hengende håret,"Den lille marihønen satt på hengende hår som hadde løsnet fra børsten, og nå dinglet fra bordkanten.",,literal,"In the Norwegian language, determine whether the expression [på hengende håret] in this context [Den lille marihønen satt på hengende hår som hadde løsnet fra børsten, og nå dinglet fra bordkanten.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9175188541412354
15,på hengende håret,"Når Marie er med moren sin til frisørsallongen, ser hun ofte på det hengende håret på veggen, som viser hvilke farger de tilbyr.",,literal,"In the Norwegian language, determine whether the expression [på hengende håret] in this context [Når Marie er med moren sin til frisørsallongen, ser hun ofte på det hengende håret på veggen, som viser hvilke farger de tilbyr.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.282386302947998
16,djevelens advokat,Min oppgave blir på den måten å være djevelens advokat og være kritisk til det som løftes fram.,,idiomatic,"In the Norwegian language, determine whether the expression [djevelens advokat] in this context [Min oppgave blir på den måten å være djevelens advokat og være kritisk til det som løftes fram.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8382461071014404
17,djevelens advokat,"Gjennom karrieren forsvarte han en lang rekke aktivister og krigsforbrytere fra ytre venstre til ytre høyre fløy, og franske medier døpte ham for djevelens advokat.",,idiomatic,"In the Norwegian language, determine whether the expression [djevelens advokat] in this context [Gjennom karrieren forsvarte han en lang rekke aktivister og krigsforbrytere fra ytre venstre til ytre høyre fløy, og franske medier døpte ham for djevelens advokat.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.856266975402832
18,djevelens advokat,I rettsaken fortalte djevelens advokat om den rettferdige straffen djevelen utfører daglig.,,idiomatic,"In the Norwegian language, determine whether the expression [djevelens advokat] in this context [I rettsaken fortalte djevelens advokat om den rettferdige straffen djevelen utfører daglig.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8235692977905273
19,djevelens advokat,I et intervju forteller djevelens advokat om vanskelighetene ved å forsvare ham.,,idiomatic,"In the Norwegian language, determine whether the expression [djevelens advokat] in this context [I et intervju forteller djevelens advokat om vanskelighetene ved å forsvare ham.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7934820652008057
20,helle bensin på bålet,"Før det norske hopplandslaget i går tok seg en fridag i slalåmbakken i Seefeld, fikk utøverne beskjed om ikke å si noe om saken, i frykt for å helle bensin på bålet.",,idiomatic,"In the Norwegian language, determine whether the expression [helle bensin på bålet] in this context [Før det norske hopplandslaget i går tok seg en fridag i slalåmbakken i Seefeld, fikk utøverne beskjed om ikke å si noe om saken, i frykt for å helle bensin på bålet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7887039184570312
21,helle bensin på bålet,"Framtidens utfordringer er først og fremst knyttet til arbeidskraftmangel, og en generell innføring av 6-timersdagen kan virke som å helle bensin på bålet.",,idiomatic,"In the Norwegian language, determine whether the expression [helle bensin på bålet] in this context [Framtidens utfordringer er først og fremst knyttet til arbeidskraftmangel, og en generell innføring av 6-timersdagen kan virke som å helle bensin på bålet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.5790619850158691
22,helle bensin på bålet,"I sin skildring av barndommen, forteller han om hvordan han likte å helle bensin på bålet for å se hvor store flammene kunne bli.",,literal,"In the Norwegian language, determine whether the expression [helle bensin på bålet] in this context [I sin skildring av barndommen, forteller han om hvordan han likte å helle bensin på bålet for å se hvor store flammene kunne bli.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.118372917175293
23,helle bensin på bålet,"Det er ikke uvanlig at unggutter driver med skøyerstreker, som å helle bensin på bålet.",,idiomatic,"In the Norwegian language, determine whether the expression [helle bensin på bålet] in this context [Det er ikke uvanlig at unggutter driver med skøyerstreker, som å helle bensin på bålet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9710910320281982
24,lakmustest,"Det har gått langt i autoritær retning i det siste, og dette valget blir en lakmustest på hvor man ligger i den balansen.",,idiomatic,"In the Norwegian language, determine whether the expression [lakmustest] in this context [Det har gått langt i autoritær retning i det siste, og dette valget blir en lakmustest på hvor man ligger i den balansen.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9365630149841309
25,lakmustest,"Regjeringen har et ansvar for å minske sosiale forskjeller, Oslo er en lakmustest for hvordan det ser ut i resten av landet.",,idiomatic,"In the Norwegian language, determine whether the expression [lakmustest] in this context [Regjeringen har et ansvar for å minske sosiale forskjeller, Oslo er en lakmustest for hvordan det ser ut i resten av landet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8529539108276367
26,lakmustest,"For å forsikre seg om at pH-balansen i vassedraget var trygt for elvemuslingene, tok de i bruk en lakmustest.",,literal,"In the Norwegian language, determine whether the expression [lakmustest] in this context [For å forsikre seg om at pH-balansen i vassedraget var trygt for elvemuslingene, tok de i bruk en lakmustest.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.023435115814209
27,lakmustest,En del av prøven gikk ut på at elevene skulle bruke en lakmustest for å konstantere om en veske var sur eller basisk.,,literal,"In the Norwegian language, determine whether the expression [lakmustest] in this context [En del av prøven gikk ut på at elevene skulle bruke en lakmustest for å konstantere om en veske var sur eller basisk.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8479528427124023
28,epler og pærer,Kommunaldirektøren hevder rapporten sammenligner epler og pærer og således ikke gir noe svar på hva som er billigst.,,idiomatic,"In the Norwegian language, determine whether the expression [epler og pærer] in this context [Kommunaldirektøren hevder rapporten sammenligner epler og pærer og således ikke gir noe svar på hva som er billigst.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9256350994110107
29,epler og pærer,"Å sammenligne spillere fra ulike tidsaldere er umulig, og selv den tabloide konkurransen mellom Messi og Cristiano Ronaldo er som å sammenligne epler og pærer.",,idiomatic,"In the Norwegian language, determine whether the expression [epler og pærer] in this context [Å sammenligne spillere fra ulike tidsaldere er umulig, og selv den tabloide konkurransen mellom Messi og Cristiano Ronaldo er som å sammenligne epler og pærer.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.5712428092956543
30,epler og pærer,"Om drøye to uker er torgbordene sannsynligvis fulle av plommer, og litt seinere epler og pærer.",,literal,"In the Norwegian language, determine whether the expression [epler og pærer] in this context [Om drøye to uker er torgbordene sannsynligvis fulle av plommer, og litt seinere epler og pærer.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.996549129486084
31,epler og pærer,"Julefrukt som er til overs, for eksempel epler og pærer som begynner å bli løse og dårlige, er også god mat for troster, rødstrupe og meiser.",,literal,"In the Norwegian language, determine whether the expression [epler og pærer] in this context [Julefrukt som er til overs, for eksempel epler og pærer som begynner å bli løse og dårlige, er også god mat for troster, rødstrupe og meiser.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.077146053314209
32,sofaekspert,Alle sofaeksperter bannet over at klubbløse spillere og benkeslitere igjen fikk tillit mens formsterke spillere ble sittende på benken.,,idiomatic,"In the Norwegian language, determine whether the expression [sofaekspert] in this context [Alle sofaeksperter bannet over at klubbløse spillere og benkeslitere igjen fikk tillit mens formsterke spillere ble sittende på benken.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7556240558624268
33,sofaekspert,"Alt han gjør blir feil så lenge det ikke fører til seier, og alle vi sofaeksperter kan si hva han skulle gjort istedenfor.",,idiomatic,"In the Norwegian language, determine whether the expression [sofaekspert] in this context [Alt han gjør blir feil så lenge det ikke fører til seier, og alle vi sofaeksperter kan si hva han skulle gjort istedenfor.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0612270832061768
34,sofaekspert,"Da det nygifte paret skulle innrede stuen, kontaktet de en sofaekspert for å forsikre seg å kjøpe det beste produktet.",,literal,"In the Norwegian language, determine whether the expression [sofaekspert] in this context [Da det nygifte paret skulle innrede stuen, kontaktet de en sofaekspert for å forsikre seg å kjøpe det beste produktet.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9895727634429932
35,sofaekspert,"I den nye interiørbutikken har de bred ekspertise, med alt fra duft- til sofaekspert tilgjengelig.",,idiomatic,"In the Norwegian language, determine whether the expression [sofaekspert] in this context [I den nye interiørbutikken har de bred ekspertise, med alt fra duft- til sofaekspert tilgjengelig.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.3379731178283691
36,barseltårer,Hormoner i ubalanse og barseltårer er like selvfølgelig som bleieskift og nattevåk den første tiden.,,idiomatic,"In the Norwegian language, determine whether the expression [barseltårer] in this context [Hormoner i ubalanse og barseltårer er like selvfølgelig som bleieskift og nattevåk den første tiden.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7205061912536621
37,barseltårer,"Det har vært mest kos, men også barseltårer, melkespreng og bekymringer.",,idiomatic,"In the Norwegian language, determine whether the expression [barseltårer] in this context [Det har vært mest kos, men også barseltårer, melkespreng og bekymringer.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8385899066925049
38,barseltårer,Jordmoren tørket forsiktig bort barseltårene som falt ned babyens ansikt i det han trakk pusten sin for første gang.,,literal,"In the Norwegian language, determine whether the expression [barseltårer] in this context [Jordmoren tørket forsiktig bort barseltårene som falt ned babyens ansikt i det han trakk pusten sin for første gang.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0627830028533936
39,barseltårer,"Jeg har funnet stor trygghet i barselgruppen disse første ukene, og har delt mange barseltårer som følge av både glede, sorg og frykt med disse fantastiske mødrene.",,idiomatic,"In the Norwegian language, determine whether the expression [barseltårer] in this context [Jeg har funnet stor trygghet i barselgruppen disse første ukene, og har delt mange barseltårer som følge av både glede, sorg og frykt med disse fantastiske mødrene.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8306810855865479
40,bananrepublikk,"Tror virkelig noen at Russland kan påvirke valget til det amerikanske folket som om USA bare var en bananrepublikk, spurte Russlands president Vladimir Putin retorisk før valget.",,idiomatic,"In the Norwegian language, determine whether the expression [bananrepublikk] in this context [Tror virkelig noen at Russland kan påvirke valget til det amerikanske folket som om USA bare var en bananrepublikk, spurte Russlands president Vladimir Putin retorisk før valget.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.804811954498291
41,bananrepublikk,"Oljen er blitt en forbannelse som gjør at norsk økonomi likner på økonomien i en bananrepublikk, hvor vi selger råvarer i bulk og på paller og lar viderefordeling og verdiskaping skjer utenfor grensene.",,idiomatic,"In the Norwegian language, determine whether the expression [bananrepublikk] in this context [Oljen er blitt en forbannelse som gjør at norsk økonomi likner på økonomien i en bananrepublikk, hvor vi selger råvarer i bulk og på paller og lar viderefordeling og verdiskaping skjer utenfor grensene.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8641951084136963
