id,nc,sent,type label,type pred,input,output,time
0,maçã podre,"Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.86497688293457
1,maçã podre,Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.,,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.2735512256622314
2,maçã podre,"Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.5128538608551025
3,maçã podre,"O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.037904977798462
4,abrir os olhos de alguém,"A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.139869928359985
5,abrir os olhos de alguém,"Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.332534074783325
6,abrir os olhos de alguém,"Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.9863739013671875
7,abrir os olhos de alguém,"Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.215703010559082
8,peixe grande,"Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [peixe grande] in this context [Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.2923941612243652
9,peixe grande,"Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [peixe grande] in this context [Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.8397090435028076
10,peixe grande,"Eu gosto de pescar onde tem peixe grande, enquanto meu primo, por exemplo, joga a vara em qualquer poço e fica lá o dia inteiro.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [peixe grande] in this context [Eu gosto de pescar onde tem peixe grande, enquanto meu primo, por exemplo, joga a vara em qualquer poço e fica lá o dia inteiro.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.6700689792633057
11,peixe grande,"Definida como intensa e exigente, a personagem é um peixe grande em um aquário pequeno - pelo menos em sua cabeça.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [peixe grande] in this context [Definida como intensa e exigente, a personagem é um peixe grande em um aquário pequeno - pelo menos em sua cabeça.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.8350260257720947
12,olho de gato,"Desta vez, os moradores de rua ficaram escondidos atrás dos papelões, arrancaram um olho de gato que faz a separação das faixas da rua e o atiraram para quebrar a vidraça.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [olho de gato] in this context [Desta vez, os moradores de rua ficaram escondidos atrás dos papelões, arrancaram um olho de gato que faz a separação das faixas da rua e o atiraram para quebrar a vidraça.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.695321798324585
13,olho de gato,"Vamos colocar olhos de gato para evitar que o motorista mude de faixa, fazendo com que, se entrar na faixa 1, permaneça nela até o final.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [olho de gato] in this context [Vamos colocar olhos de gato para evitar que o motorista mude de faixa, fazendo com que, se entrar na faixa 1, permaneça nela até o final.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.8660080432891846
14,olho de gato,"Se tem pelo de gato, olho de gato, rabo de gato, pata de gato, bigode de gato, orelha de gato e até miado, pode até ser um jacaré, mas a probabilidade é muito alta de que seja mesmo um gato.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [olho de gato] in this context [Se tem pelo de gato, olho de gato, rabo de gato, pata de gato, bigode de gato, orelha de gato e até miado, pode até ser um jacaré, mas a probabilidade é muito alta de que seja mesmo um gato.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.968691825866699
