id,nc,sent,type label,type pred,input,output,time
0,maçã podre,"Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [Porém, a suspeita de que existe uma maçã podre na cúpula, faz com que Smiley fique encarregado de descobrir o traidor.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.2375919818878174
1,maçã podre,Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.,,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [Cabe ao RH identificar o problema e eliminar a maçã podre antes que ela contamine as demais.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7908720970153809
2,maçã podre,"Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [Em suas histórias, um evento externo, tipo uma enchente, um fenômeno na superfície do sol, um resto de maçã podre, são motivos para os personagens projetarem sobre eles suas dores e os reinterpretarem como uma fuga.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0367319583892822
3,maçã podre,"O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [maçã podre] in this context [O pesquisador foi deixado em casa fazendo faxina enquanto a família saia de viagem e, no meio do lixo, encontrou uma maçã podre.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8240149021148682
4,abrir os olhos de alguém,"A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [A Marizé teve cenas fortes e abordou assuntos importantes, como bullying, e acha que é fundamental tocar nesses temas, até para abrir os olhos de pais e crianças.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.4614899158477783
5,abrir os olhos de alguém,"Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [Uma pessoa cuja principal tarefa em o mundo é abrir os olhos dos outros diante de um poderoso inimigo, o qual ele próprio faz questão de nomear com todas as letras.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8920598030090332
6,abrir os olhos de alguém,"Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [Alguns permaneciam largados ao chão, talvez decidindo se deveriam abrir os olhos ou não, enquanto outros gritavam, olhando- se uns a os outros, não acreditando naquela terrível realidade que assolara seu povo.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.9683151245117188
7,abrir os olhos de alguém,"Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.",,literal,"In the Portuguese (Brazil) language, determine whether the expression [abrir os olhos de alguém] in this context [Meu filho está com a cabeça bastante machucada, ele não consegue abrir os olhos e só geme de dor, se não fosse a ex-primeira dama do município, não sei o que faria.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.727323055267334
8,peixe grande,"Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [peixe grande] in this context [Para impor respeito, ele quer ""derrubar o peixe grande da cidade"", mais conhecido como Arqueiro Verde] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9122178554534912
9,peixe grande,"Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.",,idiomatic,"In the Portuguese (Brazil) language, determine whether the expression [peixe grande] in this context [Ninguém tem equipamento aqui para um roubo desse, isso é coisa de peixe grande.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.322700023651123
