id,nc,sent,type label,type pred,input,output,time
0,peixe graúdo,"Europol defende urgência de apanhar ""peixe graúdo"" que controla venda de droga pela Internet.",,idiomatic,"In the Portuguese (Portugal) language, determine whether the expression [peixe graúdo] in this context [Europol defende urgência de apanhar ""peixe graúdo"" que controla venda de droga pela Internet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.193203926086426
1,peixe graúdo,"Mas quando temos ""peixe graúdo"" como um presidente da República, um primeiro-ministro, ministros e deputados da nação a falar e a escrever tão mal, nas páginas oficiais e nas suas redes sociais, esperar o quê  dos ""mexilhões""?",,idiomatic,"In the Portuguese (Portugal) language, determine whether the expression [peixe graúdo] in this context [Mas quando temos ""peixe graúdo"" como um presidente da República, um primeiro-ministro, ministros e deputados da nação a falar e a escrever tão mal, nas páginas oficiais e nas suas redes sociais, esperar o quê  dos ""mexilhões""?] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9222688674926758
2,peixe graúdo,"Quando finalmente esticou a espinha e as barbatanas ganharam tamanho de peixe graúdo, os pais levaram o carapau ao mercado para escolher o que tanto ansiava.",,idiomatic,"In the Portuguese (Portugal) language, determine whether the expression [peixe graúdo] in this context [Quando finalmente esticou a espinha e as barbatanas ganharam tamanho de peixe graúdo, os pais levaram o carapau ao mercado para escolher o que tanto ansiava.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8874578475952148
3,peixe graúdo,"Manuel Santos, de 53 anos, só vende peixe graúdo na praça, portanto mais caro.",,literal,"In the Portuguese (Portugal) language, determine whether the expression [peixe graúdo] in this context [Manuel Santos, de 53 anos, só vende peixe graúdo na praça, portanto mais caro.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7967712879180908
4,abrir os olhos a alguém,"Ergueu-se hoje uma geração de homens novos e cultos, prontos a todos os sacrifícios e abnegações, que em boa hora se propuseram  abrir os olhos ao povo desgraçado .",,idiomatic,"In the Portuguese (Portugal) language, determine whether the expression [abrir os olhos a alguém] in this context [Ergueu-se hoje uma geração de homens novos e cultos, prontos a todos os sacrifícios e abnegações, que em boa hora se propuseram  abrir os olhos ao povo desgraçado .] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8388009071350098
5,abrir os olhos a alguém,"E , pelos vistos , estes dois exemplos parecem não ter sido suficientes para abrir os olhos a uma classe empresarial e política cega com a convergência económica e monetária.",,idiomatic,"In the Portuguese (Portugal) language, determine whether the expression [abrir os olhos a alguém] in this context [E , pelos vistos , estes dois exemplos parecem não ter sido suficientes para abrir os olhos a uma classe empresarial e política cega com a convergência económica e monetária.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8626902103424072
6,abrir os olhos a alguém,"Explicou que foi ao pé do doente, na maca, vê-o prostrado, não reactivo, inconsciente, abriu-lhe os olhos quando estava na maca, não reagiu.",,literal,"In the Portuguese (Portugal) language, determine whether the expression [abrir os olhos a alguém] in this context [Explicou que foi ao pé do doente, na maca, vê-o prostrado, não reactivo, inconsciente, abriu-lhe os olhos quando estava na maca, não reagiu.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8994278907775879
7,abrir os olhos a alguém,O médico abriu os olhos ao paciente para verificar se as pupilas reagiam à luz.,,literal,"In the Portuguese (Portugal) language, determine whether the expression [abrir os olhos a alguém] in this context [O médico abriu os olhos ao paciente para verificar se as pupilas reagiam à luz.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0187931060791016
8,caixa negra,"O objetivo da caixa negra é permitir a reconstituição em caso de acidente rodoviário, facilitando o apuramento de responsabilidades.",,literal,"In the Portuguese (Portugal) language, determine whether the expression [caixa negra] in this context [O objetivo da caixa negra é permitir a reconstituição em caso de acidente rodoviário, facilitando o apuramento de responsabilidades.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.6292729377746582
9,caixa negra,"Todos usavam o método de pensamento caixa negra, ou seja, estes pensadores não têm medo de assumir erros.",,idiomatic,"In the Portuguese (Portugal) language, determine whether the expression [caixa negra] in this context [Todos usavam o método de pensamento caixa negra, ou seja, estes pensadores não têm medo de assumir erros.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0676209926605225
