id,nc,sent,type label,type pred,input,output,time
0,паршивая овца,"Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.5847201347351074
1,паршивая овца,"В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0590295791625977
2,паршивая овца,"Попадётся паршивая овца в стаде, всем жизнь испортит!",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [Попадётся паршивая овца в стаде, всем жизнь испортит!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4413554668426514
3,паршивая овца,"Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9664108753204346
5,большая шишка,"Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.",,idiomatic,"In the Russian language, determine whether the expression [большая шишка] in this context [Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.131411075592041
6,большая шишка,"Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло",,literal,"In the Russian language, determine whether the expression [большая шишка] in this context [Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.211570501327515
7,большая шишка,"Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).",,literal,"In the Russian language, determine whether the expression [большая шишка] in this context [Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.7215828895568848
8,черный ящик,Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе,,idiomatic,"In the Russian language, determine whether the expression [черный ящик] in this context [Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7057514190673828
9,черный ящик,"Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик",,idiomatic,"In the Russian language, determine whether the expression [черный ящик] in this context [Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7792298793792725
10,черный ящик,"Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах",,literal,"In the Russian language, determine whether the expression [черный ящик] in this context [Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.1896913051605225
