id,nc,sent,type label,type pred,input,output,time
0,паршивая овца,"Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [Такую паршивую овцу мы имеем в нашем социалистическом обществе в лице Пастернака, который выступил со своим клеветническим так называемым произведением] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.552129030227661
1,паршивая овца,"В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [В нашем дружном коллективе тоже нашлась одна паршивая овца, которая постоянно всех подводит.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8255100250244141
2,паршивая овца,"Попадётся паршивая овца в стаде, всем жизнь испортит!",,idiomatic,"In the Russian language, determine whether the expression [паршивая овца] in this context [Попадётся паршивая овца в стаде, всем жизнь испортит!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0081031322479248
3,паршивая овца,"Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства",,literal,"In the Russian language, determine whether the expression [паршивая овца] in this context [Если мы замечаем в стаде паршивую - то есть больную - овцу, мы ее сразу убираем, чтобы она не давала больного потомства] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8346438407897949
4,большая шишка,К нам в офис сегодня придет большая шишка - владелец всей нашей компании.,,idiomatic,"In the Russian language, determine whether the expression [большая шишка] in this context [К нам в офис сегодня придет большая шишка - владелец всей нашей компании.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7546429634094238
5,большая шишка,"Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.",,idiomatic,"In the Russian language, determine whether the expression [большая шишка] in this context [Он считает себя большой шишкой, но на самом деле никто не воспринимает его всерьез.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9721150398254395
6,большая шишка,"Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло",,literal,"In the Russian language, determine whether the expression [большая шишка] in this context [Большие шишки сосны созревают осенью, а раскрываются, чтобы выпустить семена, весной и в начале лета, когда наступает тепло] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8056080341339111
7,большая шишка,"Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).",,literal,"In the Russian language, determine whether the expression [большая шишка] in this context [Чтобы заварить чай из сосновых шишек, подготовьте и измельчите свежие и большие шишки (желательно более 5 см длиной).] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8553621768951416
8,черный ящик,Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе,,idiomatic,"In the Russian language, determine whether the expression [черный ящик] in this context [Длительное время в экономических исследованиях термин «организация» рассматривался как «чёрный ящик» с затратами на входе и выпуском на выходе] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9981350898742676
9,черный ящик,"Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик",,idiomatic,"In the Russian language, determine whether the expression [черный ящик] in this context [Сейчас моя задача — изучать агрессивно настроенных людей, т. к. пока они для меня — чёрный ящик] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.3745698928833008
10,черный ящик,"Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах",,literal,"In the Russian language, determine whether the expression [черный ящик] in this context [Не горит и не мокнет: черный ящик в самолете создается специально для того, чтобы сохраняться при авиакатастрофах] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9960110187530518
11,черный ящик,"Вчера в 1.00 на месте катастрофы самолёта ТУ-154, разбившегося 6 декабря прошлого года в Хабаровском крае, был обнаружен речевой чёрный ящик",,literal,"In the Russian language, determine whether the expression [черный ящик] in this context [Вчера в 1.00 на месте катастрофы самолёта ТУ-154, разбившегося 6 декабря прошлого года в Хабаровском крае, был обнаружен речевой чёрный ящик] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7511990070343018
12,хлеб насущный,"Вместо жалования мисс получила от них лишь хорошие рекомендации, которые, хотя и не являлись хлебом насущным, но были важной частью работы всех нянь и гувернанток.",,idiomatic,"In the Russian language, determine whether the expression [хлеб насущный] in this context [Вместо жалования мисс получила от них лишь хорошие рекомендации, которые, хотя и не являлись хлебом насущным, но были важной частью работы всех нянь и гувернанток.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7656598091125488
13,хлеб насущный,"Радость, испытанная им оттого, что он, как выразились бы вы, весёлая молодёжь, «поддел» меня, будет ему на несколько дней хлебом насущным.",,idiomatic,"In the Russian language, determine whether the expression [хлеб насущный] in this context [Радость, испытанная им оттого, что он, как выразились бы вы, весёлая молодёжь, «поддел» меня, будет ему на несколько дней хлебом насущным.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8509578704833984
14,хлеб насущный,"После ряда мелких стычек между собаками из-за заслуженного, вне всяких сомнений, сегодня куска хлеба насущного все успокоились, и мы разошлись по палаткам.",,idiomatic,"In the Russian language, determine whether the expression [хлеб насущный] in this context [После ряда мелких стычек между собаками из-за заслуженного, вне всяких сомнений, сегодня куска хлеба насущного все успокоились, и мы разошлись по палаткам.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.694133996963501
15,хлеб насущный,"Требовалось окончательно успокоить нервы, – почему бы и не вкушая хлеб насущный?",,idiomatic,"In the Russian language, determine whether the expression [хлеб насущный] in this context [Требовалось окончательно успокоить нервы, – почему бы и не вкушая хлеб насущный?] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.844257116317749
16,кот наплакал,"Это трудно: опыта у меня тогда было ― кот наплакал, веры в свои силы ― ещё меньше",,idiomatic,"In the Russian language, determine whether the expression [кот наплакал] in this context [Это трудно: опыта у меня тогда было ― кот наплакал, веры в свои силы ― ещё меньше] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9266698360443115
17,кот наплакал,"Оказалось, что, действительно, на пути к Москве фабрик да заводов много, а толку-то в них мало, все они слабосильны, и работного люда на них ― кот наплакал",,idiomatic,"In the Russian language, determine whether the expression [кот наплакал] in this context [Оказалось, что, действительно, на пути к Москве фабрик да заводов много, а толку-то в них мало, все они слабосильны, и работного люда на них ― кот наплакал] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8694710731506348
