id,nc,sent,type label,type pred,input,output,time
0,прави мућак,"Прави си мућак, снобе!",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Прави си мућак, снобе!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2314386367797852
1,прави мућак,"Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.365175724029541
2,прави мућак,"Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.6870009899139404
4,кваран зуб,Један кваран зуб цијела уста поквари.,,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Један кваран зуб цијела уста поквари.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.6337621212005615
5,кваран зуб,"Млад, леп и покварен к’о кваран зуб.",,idiomatic,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Млад, леп и покварен к’о кваран зуб.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.308438777923584
6,кваран зуб,"Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.",,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.3379552364349365
7,кваран зуб,Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.,,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.876478672027588
8,шугава овца,"Еле увек су на окупу, а једна шугава овца цело стадо ошуга.",,idiomatic,"In the Serbian language, determine whether the expression [шугава овца] in this context [Еле увек су на окупу, а једна шугава овца цело стадо ошуга.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""шугава овца"" in this context is used **idiomatically**. 

idiomatic",1.67742919921875
9,шугава овца,"Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.",,idiomatic,"In the Serbian language, determine whether the expression [шугава овца] in this context [Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,8.332104444503784
10,шугава овца,Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.,,literal,"In the Serbian language, determine whether the expression [шугава овца] in this context [Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.47438383102417
11,шугава овца,"Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.",,literal,"In the Serbian language, determine whether the expression [шугава овца] in this context [Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""шугава овца"" in this context is used **literally**. It refers to a sheep affected by mange (a parasitic skin disease), which aligns with the literal meaning of the term in the given sentence about preventing the spread of parasites. 

**Answer:** literal",2.755025863647461
12,отворити некоме очи,"Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.",,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.431073188781738
13,отворити некоме очи,"Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.",,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.6800456047058105
14,отворити некоме очи,"У вечер, када пође спавати, метне све под главу, а преко лонца пребаци тканицу, говорећи: Свети Виде и видова траво, отворите ми очи, да видим свога суђеника.",,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [У вечер, када пође спавати, метне све под главу, а преко лонца пребаци тканицу, говорећи: Свети Виде и видова траво, отворите ми очи, да видим свога суђеника.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4775545597076416
15,отворити некоме очи,Овај третман јој је отворио око и дао самопоуздање.,,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [Овај третман јој је отворио око и дао самопоуздање.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.8148016929626465
16,крупна риба,"И никаква мене милиција неће стићи, имам ја тамо ауто мога татице, а мој татица је крупна риба.",,idiomatic,"In the Serbian language, determine whether the expression [крупна риба] in this context [И никаква мене милиција неће стићи, имам ја тамо ауто мога татице, а мој татица је крупна риба.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""крупна риба"" in this context is used **idiomatically** to mean someone important or influential. 

idiomatic",1.9408824443817139
17,крупна риба,"Министар Илић, зато што располаже великим државним парама, верује да је овлашћен одређивати ко је ситна боранија, а ко крупна риба.",,idiomatic,"In the Serbian language, determine whether the expression [крупна риба] in this context [Министар Илић, зато што располаже великим државним парама, верује да је овлашћен одређивати ко је ситна боранија, а ко крупна риба.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4281656742095947
18,крупна риба,"Крупна риба нарочито се ловила у Госпођином Виру, једном од најјачих риболовних места целог Дунава.",,literal,"In the Serbian language, determine whether the expression [крупна риба] in this context [Крупна риба нарочито се ловила у Госпођином Виру, једном од најјачих риболовних места целог Дунава.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""крупна риба"" in this context is used **literally**, referring to large fish being caught in a specific location. 

literal",1.5676019191741943
19,крупна риба,Ни најстарији рибари не памте да је ухваћена овако крупна риба у овом делу реке.,,literal,"In the Serbian language, determine whether the expression [крупна риба] in this context [Ни најстарији рибари не памте да је ухваћена овако крупна риба у овом делу реке.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.398491144180298
20,црна кутија,Да ли сваки човек има своју црну кутију.,,idiomatic,"In the Serbian language, determine whether the expression [црна кутија] in this context [Да ли сваки човек има своју црну кутију.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.188866376876831
22,црна кутија,"Гина (долази споља врло опрезно, окрећући се лево и десно и не видећи Сарку, она на прсте прелази преко сцене, носећи под мишком велику црну кутију у којој је сребрн сервис).",,literal,"In the Serbian language, determine whether the expression [црна кутија] in this context [Гина (долази споља врло опрезно, окрећући се лево и десно и не видећи Сарку, она на прсте прелази преко сцене, носећи под мишком велику црну кутију у којој је сребрн сервис).] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9053597450256348
23,црна кутија,"Комисије задужене да истраже узроке несреће у Русији и Пољској, као и доступне транскрипте разговора у кокпиту које је снимила црна кутија  утврдиле су да је посреди била грешка пилота.",,literal,"In the Serbian language, determine whether the expression [црна кутија] in this context [Комисије задужене да истраже узроке несреће у Русији и Пољској, као и доступне транскрипте разговора у кокпиту које је снимила црна кутија  утврдиле су да је посреди била грешка пилота.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""црна кутија"" (black box) in this context is used **literally**, as it refers to the flight recorder device in an aircraft. 

literal",1.9280891418457031
24,хлеб насушни,"За рударство је уређење шума питање насушнога хлеба, и ако се то ускоро не учини, српскоме рударству, осем малих изузетака, одусеће се свака могућност за живот.",,idiomatic,"In the Serbian language, determine whether the expression [хлеб насушни] in this context [За рударство је уређење шума питање насушнога хлеба, и ако се то ускоро не учини, српскоме рударству, осем малих изузетака, одусеће се свака могућност за живот.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.2587761878967285
25,хлеб насушни,Слободне информације и медији су хлеб насушни демократије и борбе против пошасти која хара Балканом и светом - корупције.,,idiomatic,"In the Serbian language, determine whether the expression [хлеб насушни] in this context [Слободне информације и медији су хлеб насушни демократије и борбе против пошасти која хара Балканом и светом - корупције.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.406022071838379
26,хлеб насушни,"Можемо наћи много таквих охолица, који су некад били на врхунцу своје слaве, богаства, почасти, проживјели много лијепих дана, а под стару главу живе кукавно, желећи кору насушнога хљеба!",,idiomatic,"In the Serbian language, determine whether the expression [хлеб насушни] in this context [Можемо наћи много таквих охолица, који су некад били на врхунцу своје слaве, богаства, почасти, проживјели много лијепих дана, а под стару главу живе кукавно, желећи кору насушнога хљеба!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2546889781951904
