id,nc,sent,type label,type pred,input,output,time
0,прави мућак,"Прави си мућак, снобе!",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Прави си мућак, снобе!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.405086040496826
1,прави мућак,"Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.367117166519165
2,прави мућак,"Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.",,literal,"In the Serbian language, determine whether the expression [прави мућак] in this context [Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,11.821159839630127
3,прави мућак,"Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.",,literal,"In the Serbian language, determine whether the expression [прави мућак] in this context [Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.403895139694214
4,кваран зуб,Један кваран зуб цијела уста поквари.,,idiomatic,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Један кваран зуб цијела уста поквари.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.8730969429016113
5,кваран зуб,"Млад, леп и покварен к’о кваран зуб.",,idiomatic,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Млад, леп и покварен к’о кваран зуб.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.907932996749878
6,кваран зуб,"Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.",,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.971876859664917
7,кваран зуб,Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.,,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.7415122985839844
8,шугава овца,"Еле увек су на окупу, а једна шугава овца цело стадо ошуга.",,idiomatic,"In the Serbian language, determine whether the expression [шугава овца] in this context [Еле увек су на окупу, а једна шугава овца цело стадо ошуга.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.495065212249756
9,шугава овца,"Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.",,idiomatic,"In the Serbian language, determine whether the expression [шугава овца] in this context [Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.048994064331055
