id,nc,sent,type label,type pred,input,output,time
0,прави мућак,"Прави си мућак, снобе!",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Прави си мућак, снобе!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.0406789779663086
1,прави мућак,"Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Елем, ово код нас, било у Монтенегру или овде у Србији, у којој има не мало Монтенегрина и нешто више Црногораца-Срба, одиста је мућак, прави мућак, само се не зна где више смрди.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0458362102508545
2,прави мућак,"Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Такве преваре су код нас одавно постале сасвим уобичајене, прилично досадне, предвидиве и превазиђене, па су неки, како би избегли овакав клише, решили да се врате добром старом, у цивилизованом свету заборављеном подваљивању правог мућка, домаћег, кокошијег, у јајчаној љусци и картонској кутији.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9049360752105713
3,прави мућак,"Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.",,idiomatic,"In the Serbian language, determine whether the expression [прави мућак] in this context [Купио сам кутију јаја на пијаци, а изгледа да је једно било оштећено приликом транспорта и претворило се у прави мућак.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9084060192108154
4,кваран зуб,Један кваран зуб цијела уста поквари.,,idiomatic,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Један кваран зуб цијела уста поквари.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7508530616760254
5,кваран зуб,"Млад, леп и покварен к’о кваран зуб.",,idiomatic,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Млад, леп и покварен к’о кваран зуб.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.942047119140625
6,кваран зуб,"Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.",,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Не треба се предавати ни када зуби почну да се кваре, кваран зуб може да се излечи.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7497520446777344
7,кваран зуб,Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.,,literal,"In the Serbian language, determine whether the expression [кваран зуб] in this context [Неопходно је контролисати дете да ли пере зубе и не би требало занемаривати и не узимати за озбиљно кварне зубе код деце што није редак случај.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.203841209411621
8,шугава овца,"Еле увек су на окупу, а једна шугава овца цело стадо ошуга.",,idiomatic,"In the Serbian language, determine whether the expression [шугава овца] in this context [Еле увек су на окупу, а једна шугава овца цело стадо ошуга.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7725329399108887
9,шугава овца,"Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.",,idiomatic,"In the Serbian language, determine whether the expression [шугава овца] in this context [Снагом ваше воље и огромног новца Наши су животи бедно закинути, Србин је по вама кô шугава овца И кад дом свој брани: „Ми смо забринути“.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.797429084777832
10,шугава овца,Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.,,literal,"In the Serbian language, determine whether the expression [шугава овца] in this context [Шугаве овце смеју се острићи; а вуна се може извозити у сашивеним џаковима.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8241491317749023
11,шугава овца,"Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.",,literal,"In the Serbian language, determine whether the expression [шугава овца] in this context [Пастир је наредио да се обавезно спали вуна са сваке шугаве овце, како би се спречило даље ширење паразита на здраво стадо.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8856699466705322
12,отворити некоме очи,"Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.",,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [Тад се Мајлах почео још подругљивије смијати и радовати се с горчином, што се бар један сан његов испунио, што је бар једног човјека заразио отровом својих рана и отворио му очи на истину људског бића.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8792989253997803
13,отворити некоме очи,"Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.",,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [Живот у Кини отворио му је очи и показао да постоји напреднији свет, и он је претраживао интернет у потрази за вестима о својој домовини.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0613248348236084
14,отворити некоме очи,"У вечер, када пође спавати, метне све под главу, а преко лонца пребаци тканицу, говорећи: Свети Виде и видова траво, отворите ми очи, да видим свога суђеника.",,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [У вечер, када пође спавати, метне све под главу, а преко лонца пребаци тканицу, говорећи: Свети Виде и видова траво, отворите ми очи, да видим свога суђеника.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7741837501525879
15,отворити некоме очи,Овај третман јој је отворио око и дао самопоуздање.,,idiomatic,"In the Serbian language, determine whether the expression [отворити некоме очи] in this context [Овај третман јој је отворио око и дао самопоуздање.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.113293170928955
16,крупна риба,"И никаква мене милиција неће стићи, имам ја тамо ауто мога татице, а мој татица је крупна риба.",,idiomatic,"In the Serbian language, determine whether the expression [крупна риба] in this context [И никаква мене милиција неће стићи, имам ја тамо ауто мога татице, а мој татица је крупна риба.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8896040916442871
17,крупна риба,"Министар Илић, зато што располаже великим државним парама, верује да је овлашћен одређивати ко је ситна боранија, а ко крупна риба.",,idiomatic,"In the Serbian language, determine whether the expression [крупна риба] in this context [Министар Илић, зато што располаже великим државним парама, верује да је овлашћен одређивати ко је ситна боранија, а ко крупна риба.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8788928985595703
18,крупна риба,"Крупна риба нарочито се ловила у Госпођином Виру, једном од најјачих риболовних места целог Дунава.",,literal,"In the Serbian language, determine whether the expression [крупна риба] in this context [Крупна риба нарочито се ловила у Госпођином Виру, једном од најјачих риболовних места целог Дунава.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9163839817047119
19,крупна риба,Ни најстарији рибари не памте да је ухваћена овако крупна риба у овом делу реке.,,literal,"In the Serbian language, determine whether the expression [крупна риба] in this context [Ни најстарији рибари не памте да је ухваћена овако крупна риба у овом делу реке.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9808659553527832
20,црна кутија,Да ли сваки човек има своју црну кутију.,,idiomatic,"In the Serbian language, determine whether the expression [црна кутија] in this context [Да ли сваки човек има своју црну кутију.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9270679950714111
