id,nc,sent,type label,type pred,input,output,time
0,veľké zviera,"Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.",,literal,"In the Slovak language, determine whether the expression [veľké zviera] in this context [Obdivoval mužov ako on, mužov, ktorí nepoznali žiadne veľké zvieratá, nemali žiadne konexie.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.8176798820495605
1,veľké zviera,"Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.",,literal,"In the Slovak language, determine whether the expression [veľké zviera] in this context [Lenže keď sprevádzali kapelu po budove, ukázalo sa, že všetky veľké zvieratá sú na obede.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8131468296051025
2,veľké zviera,"Mrože sú schopné zabiť aj veľké zviera, napr. tuleňa.",,literal,"In the Slovak language, determine whether the expression [veľké zviera] in this context [Mrože sú schopné zabiť aj veľké zviera, napr. tuleňa.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9543612003326416
3,veľké zviera,"Mala pri sebe psa, dosť veľké zviera.",,literal,"In the Slovak language, determine whether the expression [veľké zviera] in this context [Mala pri sebe psa, dosť veľké zviera.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7465767860412598
4,čierna skrinka,"Výberové komisie sú podľa neho ako čierna skrinka, do ktorej nikto nevidí.",,idiomatic,"In the Slovak language, determine whether the expression [čierna skrinka] in this context [Výberové komisie sú podľa neho ako čierna skrinka, do ktorej nikto nevidí.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8679649829864502
5,čierna skrinka,"Irán je čiernou skrinkou, ale zároveň nie je čiernou skrinkou, pretože existujú spôsoby, ako odhaliť utajovanú činnosť.",,idiomatic,"In the Slovak language, determine whether the expression [čierna skrinka] in this context [Irán je čiernou skrinkou, ale zároveň nie je čiernou skrinkou, pretože existujú spôsoby, ako odhaliť utajovanú činnosť.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9144628047943115
6,čierna skrinka,V prievidzskom kolégiu až do roku 1918 bola čierna skrinka. V skrinke bola biela kniha v bielej koženej väzbe.,,literal,"In the Slovak language, determine whether the expression [čierna skrinka] in this context [V prievidzskom kolégiu až do roku 1918 bola čierna skrinka. V skrinke bola biela kniha v bielej koženej väzbe.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.8979871273040771
7,čierna skrinka,"Bola to malá, čierna skrinka uprostred s malým reproduktorom.",,literal,"In the Slovak language, determine whether the expression [čierna skrinka] in this context [Bola to malá, čierna skrinka uprostred s malým reproduktorom.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8324329853057861
8,chlieb každodenný,"Portréty chlapov, pre ktorých bola stavbárska robota zárobkom na chlieb každodenný a týždňovkárske pracovné zmeny pre mnohých dlhoročným pravidlom.",,idiomatic,"In the Slovak language, determine whether the expression [chlieb každodenný] in this context [Portréty chlapov, pre ktorých bola stavbárska robota zárobkom na chlieb každodenný a týždňovkárske pracovné zmeny pre mnohých dlhoročným pravidlom.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9678850173950195
9,chlieb každodenný,"Žijeme v rýchlej a uponáhľadnej dobe, skratky a symboly sú našim chlebom každodenným",,idiomatic,"In the Slovak language, determine whether the expression [chlieb každodenný] in this context [Žijeme v rýchlej a uponáhľadnej dobe, skratky a symboly sú našim chlebom každodenným] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7891170978546143
10,chlieb každodenný,"Duch razí si cestu sám, ale jeho dary musia prísť na stôl vedľa chleba každodenného",,idiomatic,"In the Slovak language, determine whether the expression [chlieb každodenný] in this context [Duch razí si cestu sám, ale jeho dary musia prísť na stôl vedľa chleba každodenného] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9210381507873535
11,chlieb každodenný,"V kuchyni kraľovala gazdiná, tu sa piekol chlieb každodenný.",,literal,"In the Slovak language, determine whether the expression [chlieb každodenný] in this context [V kuchyni kraľovala gazdiná, tu sa piekol chlieb každodenný.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7449328899383545
12,odrazové zariadenie,"Spätné odrazové zariadenie alebo svietidlo, ak je odrazové zariadenie združené s niektorým vnútornú plochu bez akýchkoľvek kvapiek alebo zvyškov vody po tom, ako bola predtým pokrytá hmlou.",,literal,"In the Slovak language, determine whether the expression [odrazové zariadenie] in this context [Spätné odrazové zariadenie alebo svietidlo, ak je odrazové zariadenie združené s niektorým vnútornú plochu bez akýchkoľvek kvapiek alebo zvyškov vody po tom, ako bola predtým pokrytá hmlou.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.226809024810791
13,odrazové zariadenie,"V iných prípadoch zníženej viditeľnosti, sa na takéto označenie musí použiť vpredu biele svetlo a biele odrazové zariadenie.",,literal,"In the Slovak language, determine whether the expression [odrazové zariadenie] in this context [V iných prípadoch zníženej viditeľnosti, sa na takéto označenie musí použiť vpredu biele svetlo a biele odrazové zariadenie.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7357828617095947
14,odrazové zariadenie,"Podstata elektronického merania dĺžok je v tom, že zo známej rýchlosti šírenia elektromagnetických vĺnca tranzitného času t, ktorý potrebuje vlna od vysielača po odrazové zariadenie a späť do prijímača, sa určí dvojnásobok meranej dĺžky.",,literal,"In the Slovak language, determine whether the expression [odrazové zariadenie] in this context [Podstata elektronického merania dĺžok je v tom, že zo známej rýchlosti šírenia elektromagnetických vĺnca tranzitného času t, ktorý potrebuje vlna od vysielača po odrazové zariadenie a späť do prijímača, sa určí dvojnásobok meranej dĺžky.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.2265868186950684
