id,nc,sent,type label,type pred,input,output,time
0,velika riba,"Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.",,idiomatic,"In the Slovenian language, determine whether the expression [velika riba] in this context [Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.4257900714874268
1,velika riba,"No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.",,idiomatic,"In the Slovenian language, determine whether the expression [velika riba] in this context [No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4586329460144043
2,velika riba,"Je razmeroma velika riba , široka za polovico telesne dolžine.",,literal,"In the Slovenian language, determine whether the expression [velika riba] in this context [Je razmeroma velika riba , široka za polovico telesne dolžine.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.04254412651062
3,velika riba,"Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.",,literal,"In the Slovenian language, determine whether the expression [velika riba] in this context [Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.2771739959716797
4,črna škatla,"Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.",,idiomatic,"In the Slovenian language, determine whether the expression [črna škatla] in this context [Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.3084840774536133
5,črna škatla,"S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.",,idiomatic,"In the Slovenian language, determine whether the expression [črna škatla] in this context [S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.623832941055298
6,črna škatla,Sredi džungle pade iz tovornjaka črna škatla .,,literal,"In the Slovenian language, determine whether the expression [črna škatla] in this context [Sredi džungle pade iz tovornjaka črna škatla .] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.907363176345825
7,črna škatla,"Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.",,literal,"In the Slovenian language, determine whether the expression [črna škatla] in this context [Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.844080924987793
8,vsakdanji kruh,"Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.",,idiomatic,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.7069618701934814
9,vsakdanji kruh,Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.,,idiomatic,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.1866140365600586
10,vsakdanji kruh,"Babica je vsako jutro spekla svoj vsakdanji kruh, navaden bel hlebec, ki je dišal po celi kuhinji.",,literal,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Babica je vsako jutro spekla svoj vsakdanji kruh, navaden bel hlebec, ki je dišal po celi kuhinji.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.2034220695495605
11,vsakdanji kruh,"Pekarna je prodajala preprosti vsakdanji kruh, ki so ga domačini vsak dan razgrabili že pred kosilom.",,literal,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Pekarna je prodajala preprosti vsakdanji kruh, ki so ga domačini vsak dan razgrabili že pred kosilom.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.6061906814575195
12,mačje oko,"Mačje oko je še najlepše vidno, če površino zgladimo.",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [Mačje oko je še najlepše vidno, če površino zgladimo.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.7564916610717773
13,mačje oko,"In se zadovoljno peljem po popolnoma prazni cesti, s katere levega in desnega roba žarijo vame malo rabljena mačja očesa .",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [In se zadovoljno peljem po popolnoma prazni cesti, s katere levega in desnega roba žarijo vame malo rabljena mačja očesa .] is used idiomatically or literally. Return only: idiomatic or literal.",literal,7.328491926193237
14,mačje oko,"Tigrovo oko je primerno ime za ta kristal, saj je videti kot mačje oko .",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [Tigrovo oko je primerno ime za ta kristal, saj je videti kot mačje oko .] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.496948003768921
