id,nc,sent,type label,type pred,input,output,time
0,velika riba,"Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.",,idiomatic,"In the Slovenian language, determine whether the expression [velika riba] in this context [Zlasti pa jim jemlje zaupanje dejstvo, da nobena » velika riba « doslej še ni bila obsojena.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.775702953338623
1,velika riba,"No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.",,idiomatic,"In the Slovenian language, determine whether the expression [velika riba] in this context [No, Mac je nemara že bil velika riba v kongresu, toda o Severni Dakoti ve samo tisto, kar je izvedel iz sposojenega posnetka Farga, je rekel sam pri sebi in ni več mislil za ženinega deda.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.664252758026123
2,velika riba,"Je razmeroma velika riba , široka za polovico telesne dolžine.",,literal,"In the Slovenian language, determine whether the expression [velika riba] in this context [Je razmeroma velika riba , široka za polovico telesne dolžine.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7038898468017578
3,velika riba,"Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.",,literal,"In the Slovenian language, determine whether the expression [velika riba] in this context [Ko je bila velika riba oddaljena približno 6 metrov, pa se je z vso silo pognala v potapljača.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7354311943054199
4,črna škatla,"Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.",,idiomatic,"In the Slovenian language, determine whether the expression [črna škatla] in this context [Kaj dejansko se s temi podatki dogaja, je za posameznika kot črna škatla , kot temu pravi Frank Pasquale, in v to nimamo vpogleda,"" poudarja Helena Uršič.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9609479904174805
5,črna škatla,"S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.",,idiomatic,"In the Slovenian language, determine whether the expression [črna škatla] in this context [S tem črna škatla , ki naj prinese razvojno strategijo, ne bo več tako skrivnostna in vedeli bomo, kaj v njej iskati.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7619421482086182
6,črna škatla,Sredi džungle pade iz tovornjaka črna škatla .,,literal,"In the Slovenian language, determine whether the expression [črna škatla] in this context [Sredi džungle pade iz tovornjaka črna škatla .] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7708990573883057
7,črna škatla,"Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.",,literal,"In the Slovenian language, determine whether the expression [črna škatla] in this context [Sprva ni opazil ničesar, potem pa je njegovo pozornost pritegnila majhna črna škatla na zidu neke stavbe.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7538058757781982
8,vsakdanji kruh,"Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.",,idiomatic,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Še nikoli ni tako velik odstotek ljudi služil vsakdanjega kruha s tem, da je spreminjal podobe drugih ljudi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0176782608032227
9,vsakdanji kruh,Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.,,idiomatic,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Slovenski glasbeniki se bojujejo za vsakdanji kruh na dokaj majhnem trgu.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8059167861938477
10,vsakdanji kruh,"Babica je vsako jutro spekla svoj vsakdanji kruh, navaden bel hlebec, ki je dišal po celi kuhinji.",,literal,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Babica je vsako jutro spekla svoj vsakdanji kruh, navaden bel hlebec, ki je dišal po celi kuhinji.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7861640453338623
11,vsakdanji kruh,"Pekarna je prodajala preprosti vsakdanji kruh, ki so ga domačini vsak dan razgrabili že pred kosilom.",,literal,"In the Slovenian language, determine whether the expression [vsakdanji kruh] in this context [Pekarna je prodajala preprosti vsakdanji kruh, ki so ga domačini vsak dan razgrabili že pred kosilom.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7823278903961182
12,mačje oko,"Mačje oko je še najlepše vidno, če površino zgladimo.",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [Mačje oko je še najlepše vidno, če površino zgladimo.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7455449104309082
13,mačje oko,"In se zadovoljno peljem po popolnoma prazni cesti, s katere levega in desnega roba žarijo vame malo rabljena mačja očesa .",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [In se zadovoljno peljem po popolnoma prazni cesti, s katere levega in desnega roba žarijo vame malo rabljena mačja očesa .] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7442929744720459
14,mačje oko,"Tigrovo oko je primerno ime za ta kristal, saj je videti kot mačje oko .",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [Tigrovo oko je primerno ime za ta kristal, saj je videti kot mačje oko .] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.363234043121338
15,mačje oko,"V primerjavi s človeškim očesom ima mačje oko več paličic kot čepnic, zato mačke dobro vidijo v temi.",,literal,"In the Slovenian language, determine whether the expression [mačje oko] in this context [V primerjavi s človeškim očesom ima mačje oko več paličic kot čepnic, zato mačke dobro vidijo v temi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7451281547546387
16,iti za las,"Ko je prišlo do glasovanja, je šlo za las .",,idiomatic,"In the Slovenian language, determine whether the expression [iti za las] in this context [Ko je prišlo do glasovanja, je šlo za las .] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7137751579284668
17,iti za las,"Banham je skorajda dosegel še svoj drugi zadetek, a je šel plošček za las mimo gola.",,idiomatic,"In the Slovenian language, determine whether the expression [iti za las] in this context [Banham je skorajda dosegel še svoj drugi zadetek, a je šel plošček za las mimo gola.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.4829251766204834
18,iti za las,"Dolgo v noč sta govorili o lepotnih trikih, šlo je za lase.",,idiomatic,"In the Slovenian language, determine whether the expression [iti za las] in this context [Dolgo v noč sta govorili o lepotnih trikih, šlo je za lase.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.6588311195373535
19,iti za las,"Pritožuje se, da je že ves siv, a v resnici je šlo za en sam las.",,idiomatic,"In the Slovenian language, determine whether the expression [iti za las] in this context [Pritožuje se, da je že ves siv, a v resnici je šlo za en sam las.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0433261394500732
20,hudičev advokat,"Prav tako je včasih koristno, če za vlogo hudičevega advokata pri pomembnih odločitvah pooblastite najbolj izkušenega člana svoje skupine.",,idiomatic,"In the Slovenian language, determine whether the expression [hudičev advokat] in this context [Prav tako je včasih koristno, če za vlogo hudičevega advokata pri pomembnih odločitvah pooblastite najbolj izkušenega člana svoje skupine.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.046832799911499
21,hudičev advokat,"Mislim, da prof. Kljajiću ni treba biti hudičev advokat in nam Slovencem prodajati tistega, kar je dobro za Ruse.",,idiomatic,"In the Slovenian language, determine whether the expression [hudičev advokat] in this context [Mislim, da prof. Kljajiću ni treba biti hudičev advokat in nam Slovencem prodajati tistega, kar je dobro za Ruse.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.00303316116333
22,hudičev advokat,"V romanu se pojavi lik hudičevega advokata, ki v peklenskem sodišču zagovarja duše grešnikov in skuša dokazati, da si zaslužijo drugo priložnost.",,idiomatic,"In the Slovenian language, determine whether the expression [hudičev advokat] in this context [V romanu se pojavi lik hudičevega advokata, ki v peklenskem sodišču zagovarja duše grešnikov in skuša dokazati, da si zaslužijo drugo priložnost.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8714361190795898
