id,nc,sent,type label,type pred,input,output,time
0,manzana podrida,"Feijóo convoca una concentración contra Sánchez: ""Es la manzana podrida""",,idiomatic,"In the Spanish (Ecuador) language, determine whether the expression [manzana podrida] in this context [Feijóo convoca una concentración contra Sánchez: ""Es la manzana podrida""] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2975974082946777
1,manzana podrida,"El exjugador del Emelec, quien estuvo en el 2022 con el DT Ismael Rescalvo, se mandó una descarga sin anestesia: “Creo que al cuerpo técnico le faltó detectar la manzana podrida. Si estaba en mi decisión, sacaba medio camerino”. Y cuando dijo “manzana podrida” no hablaba de frutas o alimentos, quería decir que había uno o varias jugadores “malcriaditos”.",,idiomatic,"In the Spanish (Ecuador) language, determine whether the expression [manzana podrida] in this context [El exjugador del Emelec, quien estuvo en el 2022 con el DT Ismael Rescalvo, se mandó una descarga sin anestesia: “Creo que al cuerpo técnico le faltó detectar la manzana podrida. Si estaba en mi decisión, sacaba medio camerino”. Y cuando dijo “manzana podrida” no hablaba de frutas o alimentos, quería decir que había uno o varias jugadores “malcriaditos”.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.1268224716186523
2,manzana podrida,"Si un vino joven tiene contacto excesivo con el oxígeno durante el trasvaso de un barril a otro o durante el embotellado, es muy posible que genere olor a manzana podrida o rancio, o incluso olor a manzanilla.",,literal,"In the Spanish (Ecuador) language, determine whether the expression [manzana podrida] in this context [Si un vino joven tiene contacto excesivo con el oxígeno durante el trasvaso de un barril a otro o durante el embotellado, es muy posible que genere olor a manzana podrida o rancio, o incluso olor a manzanilla.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.717646837234497
3,manzana podrida,Manzana podrida: ¿Cómo identificarla a tiempo?,,literal,"In the Spanish (Ecuador) language, determine whether the expression [manzana podrida] in this context [Manzana podrida: ¿Cómo identificarla a tiempo?] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.8020830154418945
4,pez gordo,"Cuando llegó el nuevo director financiero, todos se dieron cuenta de que era un pez gordo: su opinión cambiaba el rumbo de toda la empresa.",,idiomatic,"In the Spanish (Ecuador) language, determine whether the expression [pez gordo] in this context [Cuando llegó el nuevo director financiero, todos se dieron cuenta de que era un pez gordo: su opinión cambiaba el rumbo de toda la empresa.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7204983234405518
5,pez gordo,"Dicen que para conseguir ese contrato necesitas hablar con los peces gordos del municipio, porque solo ellos pueden aprobarlo.",,idiomatic,"In the Spanish (Ecuador) language, determine whether the expression [pez gordo] in this context [Dicen que para conseguir ese contrato necesitas hablar con los peces gordos del municipio, porque solo ellos pueden aprobarlo.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.4440231323242188
6,pez gordo,El pescador mostró orgulloso un pez gordo que había sacado del río al amanecer.,,literal,"In the Spanish (Ecuador) language, determine whether the expression [pez gordo] in this context [El pescador mostró orgulloso un pez gordo que había sacado del río al amanecer.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8488521575927734
7,pez gordo,En el acuario había un pez gordo que destacaba entre todos por su tamaño y colores brillantes.,,literal,"In the Spanish (Ecuador) language, determine whether the expression [pez gordo] in this context [En el acuario había un pez gordo que destacaba entre todos por su tamaño y colores brillantes.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0338127613067627
8,caja negra,La caja negra de la Inteligencia Artificial se ha convertido en uno de los aspectos más controvertidos y comentados de este tipo de tecnología.,,idiomatic,"In the Spanish (Ecuador) language, determine whether the expression [caja negra] in this context [La caja negra de la Inteligencia Artificial se ha convertido en uno de los aspectos más controvertidos y comentados de este tipo de tecnología.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7087678909301758
9,caja negra,"Para muchos usuarios, el algoritmo es una caja negra: saben qué resultados da, pero no cómo funciona por dentro.",,idiomatic,"In the Spanish (Ecuador) language, determine whether the expression [caja negra] in this context [Para muchos usuarios, el algoritmo es una caja negra: saben qué resultados da, pero no cómo funciona por dentro.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.9062292575836182
10,caja negra,Caja negra para regalo personalizada,,literal,"In the Spanish (Ecuador) language, determine whether the expression [caja negra] in this context [Caja negra para regalo personalizada] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.317777633666992
11,caja negra,"Caja negra con embalaje de regalo blanco de 8,5 x 8,5",,literal,"In the Spanish (Ecuador) language, determine whether the expression [caja negra] in this context [Caja negra con embalaje de regalo blanco de 8,5 x 8,5] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.084094524383545
12,ojo de gato,"Diseño ojo de gato clásico, elegante y económico.",,literal,"In the Spanish (Ecuador) language, determine whether the expression [ojo de gato] in this context [Diseño ojo de gato clásico, elegante y económico.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.9694225788116455
13,ojo de gato,"Reductores de velocidad, como demarcadores (tachas u ojo de gato, bordillos montables, encauzadores), y otros.",,literal,"In the Spanish (Ecuador) language, determine whether the expression [ojo de gato] in this context [Reductores de velocidad, como demarcadores (tachas u ojo de gato, bordillos montables, encauzadores), y otros.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.358304977416992
