id,nc,sent,type label,type pred,input,output,time
0,çürük elma,"Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.",,idiomatic,"In the Turkish language, determine whether the expression [çürük elma] in this context [Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.955716848373413
1,çürük elma,Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.,,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.025838375091553
2,çürük elma,"Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.",,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""çürük elma"" in this context is used **literally**, as it refers to actual rotten apples being sent to factories for juice production.  

**Answer:** literal",1.6854782104492188
3,çürük elma,"Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.",,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.482603073120117
4,kara kutu,Derin öğrenme neden kara kutu olarak görülüyor?,,idiomatic,"In the Turkish language, determine whether the expression [kara kutu] in this context [Derin öğrenme neden kara kutu olarak görülüyor?] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.123476505279541
5,kara kutu,"Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.",,idiomatic,"In the Turkish language, determine whether the expression [kara kutu] in this context [Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.276566982269287
6,kara kutu,Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu,,literal,"In the Turkish language, determine whether the expression [kara kutu] in this context [Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.8150663375854492
7,kara kutu,Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.,,literal,"In the Turkish language, determine whether the expression [kara kutu] in this context [Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.837658166885376
8,ekmek teknesi,Bu kahve de bizim ekmek teknemiz.,,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Bu kahve de bizim ekmek teknemiz.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.5399014949798584
9,ekmek teknesi,Açın gözü ekmek teknesinde olur.,,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Açın gözü ekmek teknesinde olur.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.480271100997925
