id,nc,sent,type label,type pred,input,output,time
0,çürük elma,"Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.",,idiomatic,"In the Turkish language, determine whether the expression [çürük elma] in this context [Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.64883828163147
1,çürük elma,Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.,,idiomatic,"In the Turkish language, determine whether the expression [çürük elma] in this context [Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.953264951705933
2,çürük elma,"Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.",,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.413949966430664
3,çürük elma,"Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.",,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.6887359619140625
4,kara kutu,Derin öğrenme neden kara kutu olarak görülüyor?,,idiomatic,"In the Turkish language, determine whether the expression [kara kutu] in this context [Derin öğrenme neden kara kutu olarak görülüyor?] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.3799312114715576
5,kara kutu,"Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.",,idiomatic,"In the Turkish language, determine whether the expression [kara kutu] in this context [Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.126896858215332
6,kara kutu,Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu,,literal,"In the Turkish language, determine whether the expression [kara kutu] in this context [Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.9833967685699463
7,kara kutu,Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.,,literal,"In the Turkish language, determine whether the expression [kara kutu] in this context [Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.4091272354125977
8,ekmek teknesi,Bu kahve de bizim ekmek teknemiz.,,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Bu kahve de bizim ekmek teknemiz.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.3338067531585693
9,ekmek teknesi,Açın gözü ekmek teknesinde olur.,,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Açın gözü ekmek teknesinde olur.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.9864089488983154
10,ekmek teknesi,"Günlük hayatta kullandığımız ""ekmek teknesi"" aslında minyatürde görülen fırıncı esnafının omuzunda taşıdıklarıdır ve bu ifade zaman içinde bir meslek ya da geçim vasıtası olarak deyimleşmiştir.",,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Günlük hayatta kullandığımız ""ekmek teknesi"" aslında minyatürde görülen fırıncı esnafının omuzunda taşıdıklarıdır ve bu ifade zaman içinde bir meslek ya da geçim vasıtası olarak deyimleşmiştir.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4490911960601807
11,ekmek teknesi,"Kadın ondan, birkaç ekmek teknesi yapmasını istemişti.",,literal,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Kadın ondan, birkaç ekmek teknesi yapmasını istemişti.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,14.709900140762329
12,devede kulak,Büyük kentler bir yana bırakılırsa hayvansal besin tüketimi devede kulak denecek kadar azdır.,,idiomatic,"In the Turkish language, determine whether the expression [devede kulak] in this context [Büyük kentler bir yana bırakılırsa hayvansal besin tüketimi devede kulak denecek kadar azdır.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.505792856216431
13,devede kulak,"Kitaptan öğrendikleri, hayattan gözlediklerinin yanında devede kulak kalır.",,idiomatic,"In the Turkish language, determine whether the expression [devede kulak] in this context [Kitaptan öğrendikleri, hayattan gözlediklerinin yanında devede kulak kalır.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.8054137229919434
14,devede kulak,"Deve kulakları, özellikle yuvarlak şekliyle dikkat çeker.",,literal,"In the Turkish language, determine whether the expression [devede kulak] in this context [Deve kulakları, özellikle yuvarlak şekliyle dikkat çeker.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,6.788609981536865
15,devede kulak,"Deve beş kere hamile kalıp beşincisinde erkek yavru doğurunca, Araplar o devenin kulağını kesip onu kutsal sayarak kendilerine haram sayarlardı ve onu emekliye ayırırlardı.",,literal,"In the Turkish language, determine whether the expression [devede kulak] in this context [Deve beş kere hamile kalıp beşincisinde erkek yavru doğurunca, Araplar o devenin kulağını kesip onu kutsal sayarak kendilerine haram sayarlardı ve onu emekliye ayırırlardı.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.8117339611053467
16,kıl payı 1,"Emirgân iskelesinin oralarda, ansızın sollayan serseri bir kamyondan kıl payı kurtuldu.",,idiomatic,"In the Turkish language, determine whether the expression [kıl payı 1] in this context [Emirgân iskelesinin oralarda, ansızın sollayan serseri bir kamyondan kıl payı kurtuldu.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.423351764678955
17,kıl payı 1,"Araba o hızla virajı alamadı, uçuruma yuvarlanmasına kıl payı kalmıştı.",,idiomatic,"In the Turkish language, determine whether the expression [kıl payı 1] in this context [Araba o hızla virajı alamadı, uçuruma yuvarlanmasına kıl payı kalmıştı.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.772725820541382
18,kıl payı 1,Kaliteli bir kaşmir kazak üretmek için yün balyalarının içindeki kaba kıl payının en aza indirilmesi gerekir.,,literal,"In the Turkish language, determine whether the expression [kıl payı 1] in this context [Kaliteli bir kaşmir kazak üretmek için yün balyalarının içindeki kaba kıl payının en aza indirilmesi gerekir.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.7376320362091064
19,kıl payı 1,Kargo geldiğinde kapalı kutuyu dikkatlice salladı ama içindekiler hakkında fikir edinemedi.,,literal,"In the Turkish language, determine whether the expression [kıl payı 1] in this context [Kargo geldiğinde kapalı kutuyu dikkatlice salladı ama içindekiler hakkında fikir edinemedi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,9.276462078094482
20,şeytanın avukatı,Toplantıda herkes projeyi onayladı ama Ayşe şeytanın avukatı gibi davranarak olası riskleri sıraladı.,,idiomatic,"In the Turkish language, determine whether the expression [şeytanın avukatı] in this context [Toplantıda herkes projeyi onayladı ama Ayşe şeytanın avukatı gibi davranarak olası riskleri sıraladı.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.3908660411834717
