id,nc,sent,type label,type pred,input,output,time
0,çürük elma,"Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.",,idiomatic,"In the Turkish language, determine whether the expression [çürük elma] in this context [Bir kuruluş içinden birkaç çürük elma çıktı diye, şaibeli sayılır mı; sayılmaz elbet.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.904310941696167
1,çürük elma,Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.,,idiomatic,"In the Turkish language, determine whether the expression [çürük elma] in this context [Çürük elmaların var olduğu bir toplumsal sözleşme varlığını sürdüremez.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.9137420654296875
2,çürük elma,"Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.",,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Sosyal medyada paylaşılan görüntüde, çürük elmaların meyve suyu yapılması için fabrikalara gönderildiği, halk sağlığının tehlikeye atıldığı ileri sürüldü.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.5619237422943115
3,çürük elma,"Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.",,literal,"In the Turkish language, determine whether the expression [çürük elma] in this context [Çürük elma, insan sağlığı için tehlikeli olabilir çünkü: Mikotoksin içerebilir.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.1239211559295654
4,kara kutu,Derin öğrenme neden kara kutu olarak görülüyor?,,idiomatic,"In the Turkish language, determine whether the expression [kara kutu] in this context [Derin öğrenme neden kara kutu olarak görülüyor?] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8554291725158691
5,kara kutu,"Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.",,idiomatic,"In the Turkish language, determine whether the expression [kara kutu] in this context [Maalesef ki, yapay zekanın ""insanüstü"" zihinleri biz insanlarınkine yetişemiyor. Yapay zekalar korkunç birer öğretmenlerdir ve bilgisayar bilimi dünyasında onları ""kara kutular"" olarak adlandırırız.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.09688401222229
6,kara kutu,Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu,,literal,"In the Turkish language, determine whether the expression [kara kutu] in this context [Gürcistan’da Düşen Uçağın Kara Kutusu Bulundu] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.1822311878204346
7,kara kutu,Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.,,literal,"In the Turkish language, determine whether the expression [kara kutu] in this context [Azerbaycan-Gürcistan sınırında düşen C-130E Askeri Nakliye Uçağı’na ait kara kutu Ankara’ya getirildi. Karakutu (FDR ve CVDR) cihazlarının incelemeleri başladı.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9823658466339111
8,ekmek teknesi,Bu kahve de bizim ekmek teknemiz.,,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Bu kahve de bizim ekmek teknemiz.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.069502830505371
9,ekmek teknesi,Açın gözü ekmek teknesinde olur.,,idiomatic,"In the Turkish language, determine whether the expression [ekmek teknesi] in this context [Açın gözü ekmek teknesinde olur.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.432422161102295
