id,nc,sent,type label,type pred,input,output,time
0,tirriq buzoq,"Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.336876392364502
1,tirriq buzoq,"Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.21555233001709
2,tirriq buzoq,"Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.858749628067017
3,tirriq buzoq,Og'ilda ikki tirriq buzoq va bir sigir bor edi.,,literal,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Og'ilda ikki tirriq buzoq va bir sigir bor edi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.0892999172210693
4,ko'zini moshdek ochmoq,"Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!",,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8990328311920166
5,ko'zini moshdek ochmoq,Mana bugungi majlis ko‘zimni moshdek ochdi.,,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Mana bugungi majlis ko‘zimni moshdek ochdi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8735032081604004
6,ko'zini moshdek ochmoq,"Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.",,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.891038179397583
7,ko'zini moshdek ochmoq,U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.,,literal,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.2555065155029297
9,qora quti,Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.,,idiomatic,"In the Uzbek language, determine whether the expression [qora quti] in this context [Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""qora quti"" (black box) in this context is used **idiomatically**, referring to a flight recorder in an aircraft. 

Return: idiomatic",1.8978757858276367
10,qora quti,Meizu 16 va Meizu 16 Plus smartfonlarining taqdimotiga bag‘ishlangan tadbir taklifnomasi qora qutiga joylashtirildi.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Meizu 16 va Meizu 16 Plus smartfonlarining taqdimotiga bag‘ishlangan tadbir taklifnomasi qora qutiga joylashtirildi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.346212863922119
11,qora quti,"Moviy quti – shisha, metall bankalar, plastmassa, sut qutilari va plastik qoplar, qora quti – qog‘oz, gazeta, jurnal va karton, yashil quti – oziq-ovqat va boshqa kichik chiqindilar uchun mo‘ljallangan.",,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Moviy quti – shisha, metall bankalar, plastmassa, sut qutilari va plastik qoplar, qora quti – qog‘oz, gazeta, jurnal va karton, yashil quti – oziq-ovqat va boshqa kichik chiqindilar uchun mo‘ljallangan.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.4635560512542725
12,bir burda non,U o‘ziga bir burda non topish maqsadida soatlab sabzavot va mevalar uchun savat to‘qirdi.,,literal,"In the Uzbek language, determine whether the expression [bir burda non] in this context [U o‘ziga bir burda non topish maqsadida soatlab sabzavot va mevalar uchun savat to‘qirdi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.277496814727783
13,bir burda non,Mehnatkash bo‘lsalaring hamisha bir burda nonlaringni topib yeysizlar.,,literal,"In the Uzbek language, determine whether the expression [bir burda non] in this context [Mehnatkash bo‘lsalaring hamisha bir burda nonlaringni topib yeysizlar.] is used idiomatically or literally. Return only: idiomatic or literal.","**literal**

Explanation: The phrase ""bir burda non"" refers to a single piece/slice of bread, which is meant literally in this context about working to earn one's daily bread.",9.526951313018799
14,bir burda non,Bir burda non bir kunga hamdam.,,idiomatic,"In the Uzbek language, determine whether the expression [bir burda non] in this context [Bir burda non bir kunga hamdam.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.6025514602661133
15,bir burda non,"Har kuni go‘sht yemasak ham, bir burda nonga ham qorin to‘yaveradi.",,idiomatic,"In the Uzbek language, determine whether the expression [bir burda non] in this context [Har kuni go‘sht yemasak ham, bir burda nonga ham qorin to‘yaveradi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7424437999725342
16,arzimagan pul,"Yeganimizcha yeb, qolganini arzimagan pulga sotardik yoki mollarga berardik.",,literal,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Yeganimizcha yeb, qolganini arzimagan pulga sotardik yoki mollarga berardik.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.523087501525879
17,arzimagan pul,"Nahotki, bola qadri shu arzimagan pul bilan o‘lchansa.",,idiomatic,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Nahotki, bola qadri shu arzimagan pul bilan o‘lchansa.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[arzimagan pul]"" in the given context is used **idiomatically**.  

idiomatic",1.3006839752197266
18,arzimagan pul,Mehnatimga arzimagan pul berishingizga noroziman.,,idiomatic,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Mehnatimga arzimagan pul berishingizga noroziman.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.688692569732666
