id,nc,sent,type label,type pred,input,output,time
0,tirriq buzoq,"Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,12.33384084701538
1,tirriq buzoq,"Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,12.977478265762329
2,tirriq buzoq,"Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.",,literal,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,9.379907131195068
3,tirriq buzoq,Og'ilda ikki tirriq buzoq va bir sigir bor edi.,,literal,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Og'ilda ikki tirriq buzoq va bir sigir bor edi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,6.229480028152466
4,ko'zini moshdek ochmoq,"Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!",,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.4085681438446045
5,ko'zini moshdek ochmoq,Mana bugungi majlis ko‘zimni moshdek ochdi.,,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Mana bugungi majlis ko‘zimni moshdek ochdi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.2875168323516846
6,ko'zini moshdek ochmoq,"Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.",,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.932753086090088
7,ko'zini moshdek ochmoq,U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.,,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.034866094589233
8,qora quti,U aviahalokat sabablari bortdagi maxsus qurilma hamda qora quti ma’lumotlari asosida aniqlanishini qayd etgan.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [U aviahalokat sabablari bortdagi maxsus qurilma hamda qora quti ma’lumotlari asosida aniqlanishini qayd etgan.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.736735105514526
9,qora quti,Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.3300368785858154
10,qora quti,Meizu 16 va Meizu 16 Plus smartfonlarining taqdimotiga bag‘ishlangan tadbir taklifnomasi qora qutiga joylashtirildi.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Meizu 16 va Meizu 16 Plus smartfonlarining taqdimotiga bag‘ishlangan tadbir taklifnomasi qora qutiga joylashtirildi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.1508848667144775
11,qora quti,"Moviy quti – shisha, metall bankalar, plastmassa, sut qutilari va plastik qoplar, qora quti – qog‘oz, gazeta, jurnal va karton, yashil quti – oziq-ovqat va boshqa kichik chiqindilar uchun mo‘ljallangan.",,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Moviy quti – shisha, metall bankalar, plastmassa, sut qutilari va plastik qoplar, qora quti – qog‘oz, gazeta, jurnal va karton, yashil quti – oziq-ovqat va boshqa kichik chiqindilar uchun mo‘ljallangan.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,7.616464853286743
12,bir burda non,U o‘ziga bir burda non topish maqsadida soatlab sabzavot va mevalar uchun savat to‘qirdi.,,idiomatic,"In the Uzbek language, determine whether the expression [bir burda non] in this context [U o‘ziga bir burda non topish maqsadida soatlab sabzavot va mevalar uchun savat to‘qirdi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.450700044631958
13,bir burda non,Mehnatkash bo‘lsalaring hamisha bir burda nonlaringni topib yeysizlar.,,idiomatic,"In the Uzbek language, determine whether the expression [bir burda non] in this context [Mehnatkash bo‘lsalaring hamisha bir burda nonlaringni topib yeysizlar.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.505748987197876
14,bir burda non,Bir burda non bir kunga hamdam.,,literal,"In the Uzbek language, determine whether the expression [bir burda non] in this context [Bir burda non bir kunga hamdam.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.9205498695373535
15,bir burda non,"Har kuni go‘sht yemasak ham, bir burda nonga ham qorin to‘yaveradi.",,literal,"In the Uzbek language, determine whether the expression [bir burda non] in this context [Har kuni go‘sht yemasak ham, bir burda nonga ham qorin to‘yaveradi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,8.493561744689941
16,arzimagan pul,"Yeganimizcha yeb, qolganini arzimagan pulga sotardik yoki mollarga berardik.",,literal,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Yeganimizcha yeb, qolganini arzimagan pulga sotardik yoki mollarga berardik.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,7.863461017608643
17,arzimagan pul,"Nahotki, bola qadri shu arzimagan pul bilan o‘lchansa.",,literal,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Nahotki, bola qadri shu arzimagan pul bilan o‘lchansa.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,5.20235800743103
18,arzimagan pul,Mehnatimga arzimagan pul berishingizga noroziman.,,literal,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Mehnatimga arzimagan pul berishingizga noroziman.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.704077959060669
19,arzimagan pul,"Ishchilarga mehnatiga arzimagan pul berilsa, ular ishni shunga yarasha sifatsiz qilishi tabiiy.",,literal,"In the Uzbek language, determine whether the expression [arzimagan pul] in this context [Ishchilarga mehnatiga arzimagan pul berilsa, ular ishni shunga yarasha sifatsiz qilishi tabiiy.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,10.220703840255737
20,bir bahya qolmoq,Oʻlishimga bir baxya qoldi.,,idiomatic,"In the Uzbek language, determine whether the expression [bir bahya qolmoq] in this context [Oʻlishimga bir baxya qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.712385892868042
21,bir bahya qolmoq,"Oyogʻim uzilib, jagʻim osilib tushishiga bir baxya qoldi.",,idiomatic,"In the Uzbek language, determine whether the expression [bir bahya qolmoq] in this context [Oyogʻim uzilib, jagʻim osilib tushishiga bir baxya qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.328567028045654
22,bir bahya qolmoq,Bir baxya ham suvli yerlar boʻsh qolmasin.,,idiomatic,"In the Uzbek language, determine whether the expression [bir bahya qolmoq] in this context [Bir baxya ham suvli yerlar boʻsh qolmasin.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.3310699462890625
23,bir bahya qolmoq,"Shunday yoshlarimizning ishini eshitganda, kishining koʻngli yana bir baxya koʻtarilib, koʻngling quvonchga toʻladi.",,idiomatic,"In the Uzbek language, determine whether the expression [bir bahya qolmoq] in this context [Shunday yoshlarimizning ishini eshitganda, kishining koʻngli yana bir baxya koʻtarilib, koʻngling quvonchga toʻladi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.38972282409668
24,ishtiyoqi baland,"Suyagi mehnatda qotgan suhbatdoshimiz dadasidan o‘rganganlari va yillar davomida to‘plagan tajribasini ishsiz, tadbirkorlikka ishtiyoqi baland yoshlarga o‘rgatish maqsadida bir qancha loyihalarga qo‘l urgan.",,literal,"In the Uzbek language, determine whether the expression [ishtiyoqi baland] in this context [Suyagi mehnatda qotgan suhbatdoshimiz dadasidan o‘rganganlari va yillar davomida to‘plagan tajribasini ishsiz, tadbirkorlikka ishtiyoqi baland yoshlarga o‘rgatish maqsadida bir qancha loyihalarga qo‘l urgan.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.7648251056671143
25,ishtiyoqi baland,Film tomosha qilishga unchalik ishtiyoqim baland emas.,,idiomatic,"In the Uzbek language, determine whether the expression [ishtiyoqi baland] in this context [Film tomosha qilishga unchalik ishtiyoqim baland emas.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.6570911407470703
26,olovga benzin sepmoq,"Ularning janjaliga aralashib, salom aytgan odam olovga benzin sepgan bo‘ldi — bahs yanada kuchaydi.",,idiomatic,"In the Uzbek language, determine whether the expression [olovga benzin sepmoq] in this context [Ularning janjaliga aralashib, salom aytgan odam olovga benzin sepgan bo‘ldi — bahs yanada kuchaydi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.310798168182373
27,olovga benzin sepmoq,Do‘stining g‘azablangan paytida kinoya bilan gapirish — bu holatda olovga benzin sepish bilan barobar edi.,,idiomatic,"In the Uzbek language, determine whether the expression [olovga benzin sepmoq] in this context [Do‘stining g‘azablangan paytida kinoya bilan gapirish — bu holatda olovga benzin sepish bilan barobar edi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.9838778972625732
28,olovga benzin sepmoq,"Bola o‘ynab yurib, olovga benzin sepib yubordi va katta alangalanish yuz berdi.",,literal,"In the Uzbek language, determine whether the expression [olovga benzin sepmoq] in this context [Bola o‘ynab yurib, olovga benzin sepib yubordi va katta alangalanish yuz berdi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.031890869140625
