id,nc,sent,type label,type pred,input,output,time
0,tirriq buzoq,"Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Boshqa tarafdan olib qaraganda, bitta tirraqi buzoq butun podani buzadi degan gap bor.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.7003300189971924
1,tirriq buzoq,"Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Hamma oʻlib-tirilib ishlab yursa-yu, bir tirraqi buzoq podani bulgʻasa, hali koʻra-san, buning isnodi butun brigadaga tegadi] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.109236001968384
2,tirriq buzoq,"Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.",,idiomatic,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Shodiyor mol bozorga chiqib, bitta tirriq buzoq bo'lsa ham sotib olishga had qildi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.2204320430755615
3,tirriq buzoq,Og'ilda ikki tirriq buzoq va bir sigir bor edi.,,literal,"In the Uzbek language, determine whether the expression [tirriq buzoq] in this context [Og'ilda ikki tirriq buzoq va bir sigir bor edi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0237929821014404
4,ko'zini moshdek ochmoq,"Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!",,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Shoshmay turing, ko‘zingizni moshday ochib qo‘yganimda bilasiz!] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7181057929992676
5,ko'zini moshdek ochmoq,Mana bugungi majlis ko‘zimni moshdek ochdi.,,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Mana bugungi majlis ko‘zimni moshdek ochdi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.705322265625
6,ko'zini moshdek ochmoq,"Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.",,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [Bola qo‘rqib ketganidan ko‘zini moshdek ochib, jim turib qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.6932647228240967
7,ko'zini moshdek ochmoq,U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.,,idiomatic,"In the Uzbek language, determine whether the expression [ko'zini moshdek ochmoq] in this context [U filmning eng hayajonli joyida ko‘zini moshdek ochib ekranga tikilib qoldi.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7247219085693359
8,qora quti,U aviahalokat sabablari bortdagi maxsus qurilma hamda qora quti ma’lumotlari asosida aniqlanishini qayd etgan.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [U aviahalokat sabablari bortdagi maxsus qurilma hamda qora quti ma’lumotlari asosida aniqlanishini qayd etgan.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.3466382026672363
9,qora quti,Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Mamlakat transport va yo‘llar vaziri Jamshid Kalilov uchta qora qutidan bittasi topilgani haqidagi ma’lumotni tasdiqladi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.9883408546447754
10,qora quti,Meizu 16 va Meizu 16 Plus smartfonlarining taqdimotiga bag‘ishlangan tadbir taklifnomasi qora qutiga joylashtirildi.,,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Meizu 16 va Meizu 16 Plus smartfonlarining taqdimotiga bag‘ishlangan tadbir taklifnomasi qora qutiga joylashtirildi.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.6965150833129883
11,qora quti,"Moviy quti – shisha, metall bankalar, plastmassa, sut qutilari va plastik qoplar, qora quti – qog‘oz, gazeta, jurnal va karton, yashil quti – oziq-ovqat va boshqa kichik chiqindilar uchun mo‘ljallangan.",,literal,"In the Uzbek language, determine whether the expression [qora quti] in this context [Moviy quti – shisha, metall bankalar, plastmassa, sut qutilari va plastik qoplar, qora quti – qog‘oz, gazeta, jurnal va karton, yashil quti – oziq-ovqat va boshqa kichik chiqindilar uchun mo‘ljallangan.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7658600807189941
